year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2020,648325.0,838475.0,87800.0,704375.0,166600.0,552675.0,37.0,400.0,36.5,180.0,170100.0,61925.0
2030,434025.0,862375.0,41100.0,754625.0,250275.0,655850.0,37.0,400.0,36.5,180.0,300.0,500.0
2040,310875.0,881675.0,23650.0,799425.0,282650.0,699975.0,37.0,400.0,36.5,180.0,10150.0,21125.0
2050,237000.0,882250.0,16275.0,807225.0,310850.0,744650.0,37.0,400.0,36.5,180.0,0.0,0.0
2015,809375.0,803500.0,164525.0,610475.0,111475.0,498900.0,37.0,400.0,36.5,180.0,0.0,0.0
2016,769275.0,813850.0,142600.0,640825.0,118450.0,513250.0,37.0,400.0,36.5,180.0,0.0,0.0
2017,735025.0,821200.0,124300.0,662650.0,125150.0,529925.0,37.0,400.0,36.5,180.0,125.0,28275.0
2018,705800.0,826300.0,109225.0,680075.0,130025.0,546825.0,37.0,400.0,36.5,180.0,0.0,7550.0
2019,680775.0,830025.0,97450.0,693375.0,133675.0,562950.0,37.0,400.0,36.5,180.0,134250.0,37350.0
2020,647000.0,838550.0,87800.0,704375.0,169175.0,551350.0,37.0,400.0,36.5,180.0,168625.0,62450.0
2021,616650.0,842050.0,79250.0,713525.0,191000.0,555775.0,37.0,400.0,36.5,180.0,158250.0,47575.0
2022,590900.0,845125.0,72325.0,720900.0,204000.0,565000.0,37.0,400.0,36.5,180.0,50.0,1400.0
2023,566350.0,847700.0,66675.0,726925.0,213950.0,576650.0,37.0,400.0,36.5,180.0,125.0,1225.0
2024,545000.0,849825.0,61725.0,732150.0,221175.0,588375.0,37.0,400.0,36.5,180.0,600.0,550.0
2025,524350.0,851600.0,57375.0,736750.0,228150.0,600025.0,37.0,400.0,36.5,180.0,100.0,825.0
2026,505275.0,853575.0,53450.0,740800.0,234325.0,610825.0,37.0,400.0,36.5,180.0,0.0,350.0
2027,486825.0,855650.0,49975.0,744375.0,240100.0,621325.0,37.0,400.0,36.5,180.0,6125.0,27850.0
2028,468975.0,857125.0,46550.0,747875.0,245775.0,631950.0,37.0,400.0,36.5,180.0,168275.0,36825.0
2029,451050.0,858775.0,43525.0,751025.0,251450.0,642425.0,37.0,400.0,36.5,180.0,325.0,50.0
2030,434775.0,860950.0,41100.0,754600.0,256675.0,650150.0,37.0,400.0,36.5,180.0,325.0,600.0
2031,418850.0,862275.0,38675.0,757050.0,262250.0,659150.0,37.0,400.0,36.5,180.0,2600.0,700.0
2032,403925.0,862800.0,36300.0,759425.0,267675.0,668125.0,37.0,400.0,36.5,180.0,145150.0,34750.0
2033,388750.0,864025.0,34125.0,761600.0,273225.0,676525.0,37.0,400.0,36.5,180.0,0.0,2100.0
2034,374550.0,865250.0,31975.0,763750.0,277950.0,684775.0,37.0,400.0,36.5,180.0,425.0,250.0
2035,361275.0,866025.0,30175.0,765575.0,282250.0,692950.0,37.0,400.0,36.5,180.0,225.0,25325.0
2036,348025.0,867025.0,28575.0,767275.0,286725.0,700625.0,37.0,400.0,36.5,180.0,5800.0,6575.0
2037,336075.0,867775.0,27075.0,768800.0,290375.0,708150.0,37.0,400.0,36.5,180.0,5375.0,14950.0
2038,324350.0,868800.0,25800.0,770075.0,294200.0,715025.0,37.0,400.0,36.5,180.0,175.0,21600.0
2039,313650.0,869750.0,24700.0,771175.0,297875.0,721100.0,37.0,400.0,36.5,180.0,202125.0,34125.0
2040,302250.0,880625.0,23650.0,798375.0,298050.0,695300.0,37.0,400.0,36.5,180.0,10025.0,20825.0
2041,292425.0,880375.0,22700.0,799575.0,301775.0,701400.0,37.0,400.0,36.5,180.0,176350.0,31600.0
2042,283475.0,880400.0,21700.0,800700.0,305550.0,706425.0,37.0,400.0,36.5,180.0,12400.0,28875.0
2043,274125.0,880825.0,20825.0,801600.0,309500.0,711375.0,37.0,400.0,36.5,180.0,221575.0,31800.0
2044,265500.0,880875.0,20000.0,802425.0,313250.0,716200.0,37.0,400.0,36.5,180.0,176700.0,29625.0
2045,256725.0,880450.0,19150.0,803275.0,317200.0,721450.0,37.0,400.0,36.5,180.0,5950.0,15675.0
2046,248500.0,880100.0,18425.0,804000.0,321125.0,726100.0,37.0,400.0,36.5,180.0,113875.0,28025.0
2047,241250.0,879925.0,17775.0,804650.0,324550.0,730100.0,37.0,400.0,36.5,180.0,218350.0,27700.0
2048,234225.0,880175.0,17250.0,805175.0,327800.0,733625.0,37.0,400.0,36.5,180.0,212850.0,26575.0
2049,227750.0,880150.0,16775.0,805650.0,330800.0,737125.0,37.0,400.0,36.5,180.0,70400.0,26700.0
