'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt'
2020,'M1',1.0,425.9375690059972,15753.575788617296,2862.204775705985,157.28890845750036,29587.906441552863,150.26795406700006,415.0348948724955,2726.6272278054803,1108.7691846849941,7372.617328980199,74.51421121199978,0.0,0.0,1050.9935629874906,51463.300785482585,8120.44993649166,60634.74428496089
2020,'M1',0.5,407.02030038549776,15620.97359469435,2684.457993842486,134.26239155,29623.341045680863,140.57324735300006,438.42022124049555,2967.185768419981,1324.8666279059928,6955.355624094165,77.67590166349973,0.0,4.847353357000001,1070.81540306149,51372.312334302034,7935.852332823656,60378.98007018652
2020,'M1',0.1,382.2169598314986,15483.306885667835,2714.108687753486,120.94253649999979,29053.320539394917,111.48912721100005,451.3361661054946,2754.1789292139815,1273.3129448024931,7220.251838865176,82.77927210049971,0.0,0.0,952.6240442664923,50559.33683091765,8135.28301226216,59647.24388744552
2020,'M1',0.2,381.8077676649986,15546.091978560316,2779.2961475089855,138.88282699850012,29718.053582753862,92.09971378300004,404.006276577996,2586.827097946981,1013.7104470854946,6974.937173790673,92.69010654199967,0.0,0.0,951.2346517119922,51066.90713419806,7710.261333302637,59728.40311921217
2030,'M1',0.5,441.74786331699704,36151.108201213,2844.689211225013,189.27094445999992,69443.05038092866,310.8178309390004,965.1019901849946,14525.134529886573,5975.132763587444,12626.148266779506,297.37093347549757,0.0,4.847353357000001,2427.9559137039514,122396.22569573938,18950.23865987745,143774.420269338
2030,'M1',0.1,406.84132463049815,36143.68368937904,2885.6278318660143,182.7286699799996,68665.01464383546,315.38249311800035,988.2771208074917,14222.698783347505,5598.2174963394655,12802.969572410477,315.6437706504973,0.0,0.0,2273.384091746469,121032.88984411112,19220.811460472425,142527.08539634748
2030,'M1',0.2,419.21752726299775,36363.02170010149,2955.823213479519,196.70541111600014,68945.37930348709,296.06510164000036,932.108764725999,13872.611736680961,5360.672794801489,12664.461851883962,329.9297200724975,0.0,0.0,2354.0895900844566,120900.91558350922,19080.99195162591,142335.99712523652
2030,'M1',1.0,464.07676451049633,36453.73252881351,3047.8979133080206,224.7175779485003,68695.3021533953,306.81334545400034,975.5534371694955,13919.559253752972,5570.608078500469,12928.917604349435,281.0641739244983,0.0,0.0,2255.11578593545,121022.27314235234,19590.85390280694,142868.2428311116
2040,'M1',0.2,1240.846553963995,58539.31346055591,6328.991685962439,386.9824757459995,107831.48320101635,500.3142164790004,1538.4432592874803,24182.73955422115,10739.659547951562,23400.551068071643,529.7632366964971,0.0,0.0,4895.961292104008,198138.13269532606,32184.994272467426,235219.08825998232
2040,'M1',1.0,1195.4399557104964,57952.56051743924,6431.030452497935,405.37053193349874,107624.39569385155,510.1259493330004,1571.335489522481,24326.98037573208,10670.556401392987,22944.699734522095,494.21010726299585,0.0,0.0,4740.675696349501,197056.1271171269,32329.90239566717,234126.70520922946
2040,'M1',0.5,1151.522609962499,57883.34710611815,6390.9735415054365,427.2157799339993,108709.88504210157,456.5407320320004,1519.9099878734778,25002.251439671494,11349.343318391411,22445.783750406263,482.67634771049484,0.0,10.631199194,4864.520343702002,199379.40403940805,31586.156471739378,235830.080854931
2040,'M1',0.1,1145.643881778002,58401.58762613541,6375.946559434435,399.32011254999907,108657.61455952979,489.8051235000004,1595.7763874494754,25706.917674316148,10985.487507533464,25106.560433027746,524.1561887404962,0.0,0.0,4628.124766283002,202395.96706625842,32364.72422139552,239388.81605402433
2050,'M1',1.0,3563.434617653531,113755.80710593794,25585.20020695891,1175.650813991497,221384.98605377748,1670.8020518419978,2784.338192070023,73949.08345217069,22525.78273416454,47628.08127260814,958.2010533285072,0.0,0.0,11762.893989740365,440959.2545374375,62259.21902701581,514981.36755405576
2050,'M1',0.1,3637.4725976875447,114766.72705098309,27566.69299016338,1095.6774295524979,227162.04616174413,1600.5529499959985,2898.6592280305267,78507.84910899714,24428.04757179911,55879.43245301557,1165.775513208502,0.0,0.0,10438.88353365937,465234.62688292604,63035.42263823951,538708.9330545254
2050,'M1',0.2,3703.274143877042,115841.80675874803,25659.37735215927,980.0731045305039,223626.09861738855,1648.6190354479988,2812.93227840453,76750.12241044117,23954.554719990447,52926.78284471437,969.0145369965064,0.0,0.0,11919.245165928405,454366.64266754733,62586.76796888733,528872.6558021742
2050,'M1',0.5,3589.168375574041,113801.53532153617,25174.44923037597,1098.674451744499,221560.47127152747,1400.3353377859996,2697.991207180024,75730.08685663129,23410.448536265652,47566.411801239585,1016.3569542470048,0.0,16.400470702,11463.470300078405,443303.1968538303,62295.662660589296,517062.3298143555
