year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,807750.0,803000.0,164525.0,610475.0,111725.0,500775.0,37.0,400.0,36.5,180.0,0.0,0.0
2016,768225.0,814000.0,142600.0,640825.0,118200.0,514400.0,37.0,400.0,36.5,180.0,0.0,0.0
2017,734625.0,821325.0,124300.0,662650.0,124400.0,530950.0,37.0,400.0,36.5,180.0,150.0,30625.0
2018,705625.0,826250.0,109225.0,680050.0,129400.0,547700.0,37.0,400.0,36.5,180.0,0.0,7825.0
2019,679100.0,829775.0,97450.0,693350.0,133025.0,565550.0,37.0,400.0,36.5,180.0,135200.0,37650.0
2020,655525.0,831450.0,87800.0,704375.0,135525.0,583575.0,37.0,400.0,36.5,180.0,169475.0,63175.0
2021,635175.0,832575.0,79250.0,713525.0,137825.0,599900.0,37.0,400.0,36.5,180.0,160925.0,47900.0
2022,614475.0,834250.0,72325.0,720900.0,139850.0,616450.0,37.0,400.0,36.5,180.0,125.0,1600.0
2023,596425.0,834625.0,66675.0,726925.0,141450.0,632150.0,37.0,400.0,36.5,180.0,125.0,1375.0
2024,579725.0,834400.0,61725.0,732150.0,143200.0,647050.0,37.0,400.0,36.5,180.0,675.0,1000.0
2025,563425.0,833925.0,57375.0,736750.0,144900.0,661875.0,37.0,400.0,36.5,180.0,150.0,1225.0
2026,548125.0,832700.0,53450.0,740800.0,146125.0,677050.0,37.0,400.0,36.5,180.0,0.0,500.0
2027,534300.0,831475.0,49975.0,744375.0,147225.0,690900.0,37.0,400.0,36.5,180.0,5975.0,30925.0
2028,519925.0,830400.0,46550.0,747875.0,148150.0,705350.0,37.0,400.0,36.5,180.0,168800.0,37350.0
2029,507500.0,829825.0,43525.0,751025.0,148875.0,717500.0,37.0,400.0,36.5,180.0,350.0,225.0
2030,494450.0,828375.0,41100.0,753525.0,149650.0,731150.0,37.0,400.0,36.5,180.0,300.0,950.0
2031,482350.0,826825.0,38675.0,755975.0,149775.0,744650.0,37.0,400.0,36.5,180.0,2825.0,650.0
2032,470625.0,824825.0,36300.0,758350.0,150375.0,757775.0,37.0,400.0,36.5,180.0,142525.0,36750.0
2033,459825.0,823250.0,34125.0,760525.0,150550.0,769975.0,37.0,400.0,36.5,180.0,0.0,2675.0
2034,449725.0,821425.0,31975.0,762675.0,150975.0,781475.0,37.0,400.0,36.5,180.0,425.0,400.0
2035,440625.0,819400.0,30175.0,764500.0,151200.0,792350.0,37.0,400.0,36.5,180.0,225.0,25675.0
2036,431500.0,817225.0,28575.0,766200.0,151275.0,803475.0,37.0,400.0,36.5,180.0,5900.0,7525.0
2037,423200.0,815000.0,27075.0,767725.0,151500.0,813750.0,37.0,400.0,36.5,180.0,5150.0,17450.0
2038,414775.0,813450.0,25800.0,769000.0,151775.0,823450.0,37.0,400.0,36.5,180.0,25.0,22875.0
2039,406725.0,811700.0,24700.0,770100.0,151750.0,833275.0,37.0,400.0,36.5,180.0,202450.0,37975.0
2040,399100.0,809500.0,23650.0,771175.0,151825.0,843000.0,37.0,400.0,36.5,180.0,7400.0,23250.0
2041,392500.0,807275.0,22700.0,772150.0,151800.0,851825.0,37.0,400.0,36.5,180.0,172650.0,35775.0
2042,385525.0,805250.0,21700.0,773150.0,151700.0,860925.0,37.0,400.0,36.5,180.0,12475.0,33400.0
2043,379075.0,802525.0,20825.0,774025.0,151775.0,870025.0,37.0,400.0,36.5,180.0,211750.0,34525.0
2044,372800.0,800625.0,20000.0,774850.0,151700.0,878275.0,37.0,400.0,36.5,180.0,169225.0,35500.0
2045,366875.0,798150.0,19150.0,775700.0,151525.0,886850.0,37.0,400.0,36.5,180.0,5925.0,19625.0
2046,361250.0,795800.0,18425.0,776425.0,151425.0,894925.0,37.0,400.0,36.5,180.0,112600.0,33725.0
2047,355625.0,793875.0,17775.0,777075.0,151375.0,902525.0,37.0,400.0,36.5,180.0,212200.0,32925.0
2048,350225.0,791850.0,17250.0,777600.0,151075.0,910250.0,37.0,400.0,36.5,180.0,204900.0,32175.0
2049,345750.0,789900.0,16775.0,778075.0,150950.0,916800.0,37.0,400.0,36.5,180.0,65675.0,29850.0
2050,340925.0,787600.0,16275.0,778575.0,150825.0,924050.0,37.0,400.0,36.5,180.0,0.0,0.0
2051,336175.0,785525.0,15925.0,778950.0,150700.0,930975.0,37.0,400.0,36.5,180.0,0.0,0.0
