year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,809475.0,803875.0,164525.0,610475.0,111325.0,498575.0,37.0,400.0,36.5,180.0,0.0,0.0
2016,770525.0,815150.0,142600.0,640825.0,117875.0,511275.0,37.0,400.0,36.5,180.0,0.0,0.0
2017,736600.0,822450.0,124300.0,662650.0,124450.0,527800.0,37.0,400.0,36.5,180.0,250.0,29450.0
2018,706925.0,827750.0,109225.0,680050.0,129400.0,544900.0,37.0,400.0,36.5,180.0,0.0,6475.0
2019,680950.0,831950.0,97450.0,693350.0,133175.0,561375.0,37.0,400.0,36.5,180.0,134625.0,37150.0
2020,656650.0,834325.0,87800.0,704375.0,135700.0,579400.0,37.0,400.0,36.5,180.0,171025.0,63125.0
2021,634800.0,835750.0,79250.0,713525.0,137875.0,597050.0,37.0,400.0,36.5,180.0,158875.0,46950.0
2022,614175.0,837475.0,72325.0,720900.0,139900.0,613475.0,37.0,400.0,36.5,180.0,125.0,1475.0
2023,595125.0,838300.0,66675.0,726925.0,141175.0,630050.0,37.0,400.0,36.5,180.0,150.0,1125.0
2024,578450.0,838175.0,61725.0,732150.0,142450.0,645300.0,37.0,400.0,36.5,180.0,625.0,925.0
2025,562075.0,837825.0,57375.0,736750.0,143825.0,660400.0,37.0,400.0,36.5,180.0,175.0,1100.0
2026,546500.0,836425.0,53450.0,740800.0,145250.0,675825.0,37.0,400.0,36.5,180.0,0.0,375.0
2027,532200.0,834975.0,49975.0,744375.0,146450.0,690275.0,37.0,400.0,36.5,180.0,6200.0,30400.0
2028,518550.0,834275.0,46550.0,747875.0,147400.0,703600.0,37.0,400.0,36.5,180.0,164400.0,38925.0
2029,505625.0,833250.0,43525.0,751025.0,147950.0,716875.0,37.0,400.0,36.5,180.0,475.0,125.0
2030,493500.0,832000.0,41100.0,753525.0,148850.0,729275.0,37.0,400.0,36.5,180.0,300.0,1250.0
2031,481975.0,830025.0,38675.0,755975.0,149325.0,742275.0,37.0,400.0,36.5,180.0,3175.0,750.0
2032,470850.0,828875.0,36300.0,758350.0,149800.0,754075.0,37.0,400.0,36.5,180.0,142775.0,37525.0
2033,459725.0,827225.0,34125.0,760525.0,150475.0,766175.0,37.0,400.0,36.5,180.0,0.0,2250.0
2034,449475.0,825875.0,31975.0,762675.0,150750.0,777500.0,37.0,400.0,36.5,180.0,275.0,225.0
2035,440275.0,824225.0,30175.0,764500.0,151175.0,787900.0,37.0,400.0,36.5,180.0,200.0,25325.0
2036,430575.0,823100.0,28575.0,766200.0,151400.0,798400.0,37.0,400.0,36.5,180.0,5575.0,7800.0
2037,421700.0,821000.0,27075.0,767725.0,151675.0,809075.0,37.0,400.0,36.5,180.0,5450.0,16575.0
2038,413500.0,818950.0,25800.0,769000.0,151825.0,819175.0,37.0,400.0,36.5,180.0,100.0,23050.0
2039,405650.0,816725.0,24700.0,770100.0,151950.0,829125.0,37.0,400.0,36.5,180.0,203300.0,38775.0
2040,398450.0,814125.0,23650.0,771175.0,152150.0,838700.0,37.0,400.0,36.5,180.0,8100.0,22950.0
2041,391600.0,812025.0,22700.0,772150.0,152225.0,847550.0,37.0,400.0,36.5,180.0,173200.0,35925.0
2042,384875.0,810125.0,21700.0,773150.0,152400.0,856000.0,37.0,400.0,36.5,180.0,12250.0,31625.0
2043,378050.0,807475.0,20825.0,774025.0,152400.0,865475.0,37.0,400.0,36.5,180.0,211800.0,36175.0
2044,372450.0,805050.0,20000.0,774850.0,152225.0,873675.0,37.0,400.0,36.5,180.0,169675.0,35000.0
2045,366825.0,802775.0,19150.0,775700.0,152375.0,881425.0,37.0,400.0,36.5,180.0,5750.0,18800.0
2046,361225.0,800700.0,18425.0,776425.0,152525.0,888950.0,37.0,400.0,36.5,180.0,112750.0,32025.0
2047,354950.0,798975.0,17775.0,777075.0,152525.0,896950.0,37.0,400.0,36.5,180.0,209900.0,33750.0
2048,349550.0,797050.0,17250.0,777600.0,152550.0,904250.0,37.0,400.0,36.5,180.0,202650.0,32000.0
2049,344850.0,794800.0,16775.0,778075.0,152575.0,911175.0,37.0,400.0,36.5,180.0,66225.0,31225.0
2050,339750.0,792250.0,16275.0,778575.0,152725.0,918675.0,37.0,400.0,36.5,180.0,0.0,0.0
2051,334650.0,790200.0,15925.0,778925.0,152725.0,925825.0,37.0,400.0,36.5,180.0,0.0,0.0
