'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2020,'M1',0.1,14356.0,25768.0,26342.0,8291.0,49864.0,14072.0,11205.0,40975.0,21226.0,19446.0,21032.0,25043.0,13997.0,41089.0,129889.0,120639.0,291617.0
2020,'M1',0.2,14361.0,25786.0,26448.0,8250.0,49824.0,14163.0,11310.0,40661.0,21278.0,19468.0,20997.0,24999.0,13851.0,41099.0,129941.0,120356.0,291396.0
2020,'M1',0.5,14190.0,25621.0,26630.0,8328.0,50069.0,14057.0,11268.0,40840.0,21106.0,19434.0,20937.0,25116.0,13823.0,41049.0,130359.0,120011.0,291419.0
2020,'M1',1.0,14303.0,25746.0,26445.0,8286.0,49832.0,14052.0,11209.0,40973.0,21164.0,18941.0,20984.0,24982.0,13894.0,40962.0,129567.0,120282.0,290811.0
2030,'M1',0.1,17983.0,31010.0,27619.0,8586.0,65059.0,16592.0,9762.0,44167.0,23214.0,21279.0,20681.0,20796.0,14158.0,47252.0,158308.0,115346.0,320906.0
2030,'M1',0.2,17753.0,35152.0,30988.0,9032.0,69453.0,16644.0,12160.0,47427.0,24535.0,26085.0,21860.0,27968.0,16042.0,46983.0,170400.0,137716.0,355099.0
2030,'M1',0.5,17708.0,37881.0,31024.0,9093.0,71899.0,16562.0,12091.0,47453.0,24637.0,26008.0,21824.0,28106.0,16064.0,47131.0,174528.0,138691.0,360350.0
2030,'M1',1.0,17860.0,37978.0,31025.0,9135.0,71825.0,16505.0,12063.0,47427.0,24506.0,26026.0,21892.0,27921.0,16156.0,47030.0,174495.0,138794.0,360319.0
2040,'M1',0.2,19776.0,31572.0,30028.0,9398.0,66826.0,18408.0,11529.0,46942.0,25939.0,24109.0,21897.0,24458.0,16349.0,50304.0,164665.0,132262.0,347231.0
2040,'M1',0.1,19283.0,31556.0,24582.0,5984.0,62046.0,16615.0,8737.0,41892.0,22866.0,20187.0,17494.0,22273.0,12694.0,47693.0,150190.0,108326.0,306209.0
2040,'M1',0.5,19699.0,38420.0,31358.0,9519.0,72974.0,18356.0,12307.0,49259.0,26358.0,26045.0,22161.0,29795.0,17284.0,50380.0,177709.0,145446.0,373535.0
2040,'M1',1.0,20009.0,38474.0,31356.0,9560.0,72961.0,18287.0,12314.0,49267.0,26371.0,25824.0,22310.0,29629.0,17336.0,50523.0,177543.0,145632.0,373698.0
2050,'M1',0.1,21516.0,32049.0,24758.0,6406.0,62668.0,18173.0,8917.0,42953.0,23899.0,22725.0,17698.0,23193.0,13212.0,51541.0,153838.0,112788.0,318167.0
2050,'M1',0.2,21881.0,32130.0,30139.0,9756.0,67568.0,20111.0,11602.0,48191.0,27006.0,27088.0,22096.0,25417.0,16942.0,54290.0,168879.0,136758.0,359927.0
2050,'M1',0.5,21795.0,39171.0,31476.0,9868.0,73694.0,19990.0,12428.0,50518.0,27629.0,29440.0,22370.0,30674.0,17841.0,54230.0,182244.0,150420.0,386894.0
2050,'M1',1.0,22124.0,39292.0,31472.0,9967.0,73681.0,19892.0,12407.0,50552.0,27492.0,29335.0,22578.0,30615.0,17934.0,54458.0,182301.0,150582.0,387341.0
