'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt','total_wu'
2020,'M1',0.1,397.8921674404981,15966.622208222769,2875.0785907904847,128.41287238799984,29276.56613404389,164.81001413800007,467.3117720829941,2642.255030896481,1070.4391497974946,7010.591751457669,86.27869774849974,0.0,0.0,1015.7800131779904,51174.090809078574,7896.387566750149,60086.258389006056,240635.79999980537
2020,'M1',0.2,362.32392527549905,15740.730208011337,2881.090568005985,134.76889457399997,29603.558194284866,130.87854063900005,422.49157743099596,2910.15424913698,1014.7397212374943,7132.956791550673,76.03913299749979,0.0,0.0,943.2886330309921,51527.42178315454,7939.021386958653,60409.73180314353,240594.099999805
2020,'M1',0.5,388.70108185449783,15742.217218194835,2698.464956464986,143.0537505305002,29319.92497402989,126.03118728200006,436.59192067499515,2783.429896519481,1181.2004730319936,6821.125461117663,77.24289050699979,0.0,0.0,963.8196868599912,50611.824394027586,8142.339729320169,59717.9838102071,240505.4999998055
2020,'M1',1.0,415.0782384334974,15955.859658769286,2852.541545312485,169.32868229650052,29308.601038945882,116.33648056800006,446.5642375709945,2647.0392659474815,1162.969950540494,7433.053922731704,82.62534131249971,0.0,0.0,1002.7039117709903,51389.57880933813,8197.715641319657,60589.99836242793,240528.99999980564
2030,'M1',0.1,467.5514605034975,36410.64032274995,3054.2717054675168,191.51923741949972,68291.09577481983,380.98309295200045,971.869835255991,14074.442611807986,5428.561747252985,12572.558948912943,328.85032811499707,0.0,0.0,2362.8691787934513,120783.1955829432,19026.280303486983,142172.34506524008,234111.39999976355
2030,'M1',0.2,423.01039125599846,36362.71606410602,3037.8600937860133,207.29473063249984,68824.02400704024,341.67551910800046,936.772200328998,14371.999239264542,5527.504182287481,12806.185742520362,298.38675814749746,0.0,0.0,2308.5985991289563,121717.81522301795,19111.015106297888,143137.42892846157,234029.39999976382
2030,'M1',0.5,474.99605546549697,36179.73907163463,2886.8823992880207,203.52135104800018,68229.34827962588,315.75220122600035,1010.4205944359958,14146.697813351986,5832.226285516953,12694.978828922462,299.9553188469976,0.0,0.0,2317.4848640589603,120454.15236159091,19502.88097367736,142274.51819934318,234063.29999976343
2030,'M1',1.0,484.3645658104969,36123.14104655296,3044.0063878150154,229.23358506650038,68697.72382818937,340.28746952200044,984.0989422834942,13976.518039729977,5574.932493876477,13071.939522117382,337.7560474869967,0.0,0.0,2509.7257600249495,121149.18372208132,19205.0924463114,142864.0019284351,234051.99999976426
2040,'M1',0.2,1343.0811197439896,58622.80176430214,6458.719326021426,425.8733700384993,107643.3821297046,523.0087504950004,1495.1377797994824,24919.58931031139,10832.374471338542,23045.741664932022,539.1155667289969,0.0,0.0,4953.7189223445175,198596.9094947392,32298.196836276453,235848.82525344306,233266.99999974112
2040,'M1',0.1,1382.6424523219896,58692.05609552828,6536.233323608427,404.6444998154988,106872.5043130734,572.7572608449999,1493.0871844864748,24348.4714525606,10577.93097290856,22759.515918554083,556.2242571599974,0.0,0.0,5019.362515572513,197270.9988687664,31905.70634646653,234196.06773088986,233219.6999997419
2040,'M1',0.5,1391.5273661604822,58135.59056797555,6191.546064166957,407.8404928174993,107648.99864784261,478.6071399340004,1636.515991646482,24549.652557660553,11018.867783507952,22657.636001755134,511.01391857899506,0.0,0.0,4892.598409229024,197105.1874711332,32630.01065162639,234627.79653207428,233283.59999974133
2040,'M1',1.0,1392.6020510929836,58593.16839764036,6350.0815567779355,432.1076669209986,108244.80996132405,509.36525385900046,1571.3370857879784,24698.422598016157,10622.627332054515,23298.74224987764,555.1325879114976,0.0,0.0,5156.174664549026,198815.57941002253,32296.642666635984,236268.39674129346,233358.79999974227
2050,'M1',0.1,4218.511996152985,113785.136565964,25431.45367149869,1234.607539616,220081.13454728652,1796.7731436269955,2753.6909594980216,74062.47118019247,22732.796785520168,48017.19229263829,1117.8875436110047,0.0,0.0,12564.816603827956,440049.7419962192,62617.09762524941,515231.6562251522,234042.79999972842
2050,'M1',0.2,4382.981407652895,114183.63460704967,25769.065715365145,1220.7188384085016,220535.6877236692,1648.9043468589991,2793.2094523400347,75280.27641627913,22914.761606484502,48479.802025646604,1041.1476200545073,0.0,0.0,12533.086587879523,442680.81281813426,63036.29035348285,518250.18975935003,234098.2999997275
2050,'M1',0.5,4496.343783108343,113571.69775327657,25137.019192779397,1136.635364263998,219713.75504179078,1518.472718301,2881.59468285603,73537.2451830372,23171.590214715932,47910.38741448659,1069.0257021925042,0.0,0.0,12582.165227581709,438701.19706138934,62860.40476153461,514143.7670503613,234098.79999972772
2050,'M1',1.0,4342.302805196903,114251.2531885532,25051.126647034806,1232.3369573195018,221758.70829259022,1717.5460676989985,2827.062125309525,75135.94608507813,22096.581094699617,48298.351658466505,1050.8527480645046,0.0,0.0,12768.342034888614,442388.3197928615,62605.40584194554,517762.0676695547,234192.89999972715
