year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,807550.0,804125.0,164525.0,610475.0,111250.0,500325.0,37.0,400.0,36.5,180.0,0.0,0.0
2016,768375.0,815150.0,142600.0,640825.0,117750.0,513550.0,37.0,400.0,36.5,180.0,0.0,0.0
2017,735100.0,822075.0,124300.0,662650.0,123950.0,530175.0,37.0,400.0,36.5,180.0,175.0,28450.0
2018,705250.0,827100.0,109225.0,680050.0,129250.0,547375.0,37.0,400.0,36.5,180.0,0.0,8025.0
2019,678900.0,830875.0,97450.0,693350.0,133100.0,564575.0,37.0,400.0,36.5,180.0,136450.0,36275.0
2020,644500.0,840225.0,87800.0,704375.0,167775.0,553575.0,37.0,400.0,36.5,180.0,170150.0,62800.0
2021,613975.0,844450.0,79250.0,713525.0,188700.0,558350.0,37.0,400.0,36.5,180.0,160750.0,44725.0
2022,587325.0,846925.0,72325.0,720900.0,202950.0,567825.0,37.0,400.0,36.5,180.0,175.0,1725.0
2023,562950.0,850025.0,66675.0,726925.0,212325.0,579350.0,37.0,400.0,36.5,180.0,50.0,1325.0
2024,541000.0,851875.0,61725.0,732150.0,219800.0,591700.0,37.0,400.0,36.5,180.0,675.0,450.0
2025,521050.0,853900.0,57375.0,736750.0,226375.0,602800.0,37.0,400.0,36.5,180.0,150.0,1100.0
2026,501850.0,855450.0,53450.0,740800.0,232925.0,613775.0,37.0,400.0,36.5,180.0,0.0,325.0
2027,483625.0,857200.0,49975.0,744375.0,238825.0,624250.0,37.0,400.0,36.5,180.0,5650.0,27650.0
2028,466550.0,858375.0,46550.0,747875.0,244650.0,634250.0,37.0,400.0,36.5,180.0,168075.0,36075.0
2029,448625.0,859700.0,43525.0,751025.0,250325.0,645050.0,37.0,400.0,36.5,180.0,450.0,75.0
2030,432625.0,860475.0,41100.0,753525.0,255950.0,654575.0,37.0,400.0,36.5,180.0,250.0,900.0
2031,416300.0,861100.0,38675.0,755975.0,262225.0,663975.0,37.0,400.0,36.5,180.0,2775.0,575.0
2032,400875.0,861625.0,36300.0,758350.0,267875.0,673225.0,37.0,400.0,36.5,180.0,144600.0,34575.0
2033,386925.0,862400.0,34125.0,760525.0,273175.0,681100.0,37.0,400.0,36.5,180.0,0.0,1925.0
2034,373625.0,863100.0,31975.0,762675.0,277850.0,689025.0,37.0,400.0,36.5,180.0,575.0,175.0
2035,361400.0,863600.0,30175.0,764500.0,282350.0,696225.0,37.0,400.0,36.5,180.0,225.0,24700.0
2036,349625.0,864025.0,28575.0,766200.0,286175.0,703650.0,37.0,400.0,36.5,180.0,6000.0,6425.0
2037,338600.0,863950.0,27075.0,767750.0,289625.0,711250.0,37.0,400.0,36.5,180.0,5375.0,14150.0
2038,327200.0,864050.0,25775.0,769075.0,293325.0,718825.0,37.0,400.0,36.5,180.0,75.0,22075.0
2039,316950.0,864275.0,24625.0,770225.0,297150.0,725025.0,37.0,400.0,36.5,180.0,199800.0,35350.0
2040,306775.0,865675.0,23575.0,773550.0,300400.0,728275.0,37.0,400.0,36.5,180.0,8025.0,20275.0
2041,298050.0,865275.0,22625.0,774525.0,303475.0,734300.0,37.0,400.0,36.5,180.0,169200.0,32425.0
2042,289750.0,865050.0,21625.0,775525.0,306525.0,739775.0,37.0,400.0,36.5,180.0,12975.0,29200.0
2043,282425.0,864825.0,20750.0,776400.0,309175.0,744675.0,37.0,400.0,36.5,180.0,213075.0,32125.0
2044,275125.0,864275.0,19925.0,777225.0,311900.0,749800.0,37.0,400.0,36.5,180.0,170775.0,29275.0
2045,267500.0,864100.0,19075.0,778075.0,314600.0,754900.0,37.0,400.0,36.5,180.0,6050.0,16575.0
2046,259825.0,863375.0,18350.0,778800.0,317925.0,759975.0,37.0,400.0,36.5,180.0,110450.0,28900.0
2047,252675.0,862925.0,17700.0,779450.0,321125.0,764375.0,37.0,400.0,36.5,180.0,212325.0,30375.0
2048,245750.0,862325.0,17175.0,779975.0,324375.0,768650.0,37.0,400.0,36.5,180.0,200400.0,27125.0
2049,239500.0,861850.0,16700.0,780450.0,327200.0,772550.0,37.0,400.0,36.5,180.0,65900.0,27500.0
2050,232525.0,866200.0,16200.0,800625.0,328250.0,754450.0,37.0,400.0,36.5,180.0,0.0,0.0
2051,226575.0,865975.0,15850.0,801100.0,330675.0,758075.0,37.0,400.0,36.5,180.0,0.0,0.0
