year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,808150.0,803575.0,164525.0,610475.0,111350.0,500175.0,37.0,400.0,36.5,180.0,0.0,0.0
2016,768125.0,815200.0,142600.0,640825.0,117975.0,513525.0,37.0,400.0,36.5,180.0,0.0,0.0
2017,734100.0,822275.0,124300.0,662650.0,124250.0,530675.0,37.0,400.0,36.5,180.0,125.0,29750.0
2018,705325.0,827000.0,109225.0,680050.0,129400.0,547250.0,37.0,400.0,36.5,180.0,0.0,7050.0
2019,678750.0,830425.0,97450.0,693350.0,133350.0,564925.0,37.0,400.0,36.5,180.0,135175.0,36875.0
2020,645825.0,839475.0,87800.0,704375.0,168075.0,552700.0,37.0,400.0,36.5,180.0,166625.0,60550.0
2021,615550.0,842975.0,79250.0,713525.0,190325.0,556625.0,37.0,400.0,36.5,180.0,158425.0,46850.0
2022,589250.0,846200.0,72325.0,720900.0,203800.0,565775.0,37.0,400.0,36.5,180.0,100.0,1475.0
2023,563825.0,849050.0,66675.0,726925.0,213525.0,578250.0,37.0,400.0,36.5,180.0,125.0,1150.0
2024,541575.0,851775.0,61725.0,732150.0,221400.0,589625.0,37.0,400.0,36.5,180.0,525.0,450.0
2025,521575.0,854600.0,57375.0,736750.0,227350.0,600600.0,37.0,400.0,36.5,180.0,125.0,875.0
2026,501900.0,856000.0,53450.0,740800.0,233525.0,612575.0,37.0,400.0,36.5,180.0,0.0,275.0
2027,482850.0,857650.0,49975.0,744375.0,239650.0,623750.0,37.0,400.0,36.5,180.0,6900.0,27350.0
2028,464375.0,859025.0,46550.0,747875.0,244875.0,635550.0,37.0,400.0,36.5,180.0,168025.0,35975.0
2029,446400.0,860325.0,43525.0,751025.0,250450.0,646525.0,37.0,400.0,36.5,180.0,350.0,25.0
2030,429175.0,863300.0,41100.0,754550.0,255550.0,654575.0,37.0,400.0,36.5,180.0,325.0,825.0
2031,413325.0,864625.0,38675.0,757000.0,260400.0,664225.0,37.0,400.0,36.5,180.0,3100.0,575.0
2032,397975.0,865725.0,36300.0,759375.0,265225.0,673650.0,37.0,400.0,36.5,180.0,144350.0,36475.0
2033,383650.0,866675.0,34125.0,761550.0,269650.0,682600.0,37.0,400.0,36.5,180.0,0.0,1675.0
2034,370325.0,867575.0,31975.0,763700.0,273175.0,691500.0,37.0,400.0,36.5,180.0,350.0,100.0
2035,358875.0,867725.0,30175.0,765525.0,276975.0,698975.0,37.0,400.0,36.5,180.0,225.0,25025.0
2036,347050.0,867750.0,28575.0,767225.0,280675.0,706975.0,37.0,400.0,36.5,180.0,5100.0,6000.0
2037,335575.0,867925.0,27075.0,768750.0,284725.0,714200.0,37.0,400.0,36.5,180.0,5550.0,14625.0
2038,324700.0,868850.0,25800.0,770025.0,288175.0,720700.0,37.0,400.0,36.5,180.0,150.0,20850.0
2039,314500.0,869050.0,24700.0,771125.0,291800.0,727075.0,37.0,400.0,36.5,180.0,202475.0,35950.0
2040,303600.0,880225.0,23650.0,798100.0,291825.0,700850.0,37.0,400.0,36.5,180.0,9700.0,20825.0
2041,294325.0,880300.0,22700.0,799325.0,295225.0,706375.0,37.0,400.0,36.5,180.0,180875.0,32475.0
2042,285450.0,880200.0,21700.0,800425.0,298525.0,711950.0,37.0,400.0,36.5,180.0,13250.0,30525.0
2043,277525.0,879900.0,20825.0,801300.0,302050.0,716650.0,37.0,400.0,36.5,180.0,216450.0,31350.0
2044,269400.0,879675.0,20000.0,802125.0,305325.0,721725.0,37.0,400.0,36.5,180.0,176325.0,31950.0
2045,262000.0,879375.0,19150.0,802975.0,308800.0,725950.0,37.0,400.0,36.5,180.0,6400.0,16125.0
2046,254375.0,879375.0,18425.0,803700.0,312325.0,730050.0,37.0,400.0,36.5,180.0,117075.0,29050.0
2047,247525.0,879025.0,17775.0,804350.0,315425.0,734150.0,37.0,400.0,36.5,180.0,221025.0,27700.0
2048,240400.0,879050.0,17250.0,804875.0,318450.0,738225.0,37.0,400.0,36.5,180.0,211700.0,27425.0
2049,234150.0,878825.0,16775.0,805350.0,321125.0,742025.0,37.0,400.0,36.5,180.0,69275.0,28500.0
2050,228100.0,879000.0,16275.0,805850.0,323775.0,745250.0,37.0,400.0,36.5,180.0,0.0,0.0
2051,221525.0,879450.0,15925.0,806200.0,326325.0,748825.0,37.0,400.0,36.5,180.0,0.0,0.0
