year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,808650.0,803625.0,164525.0,610475.0,111450.0,499525.0,37.0,400.0,36.5,180.0,0.0,0.0
2016,769300.0,814100.0,142600.0,640850.0,118225.0,513175.0,37.0,400.0,36.5,180.0,0.0,0.0
2017,734850.0,821325.0,124300.0,662700.0,124875.0,530200.0,37.0,400.0,36.5,180.0,150.0,29650.0
2018,706750.0,826600.0,109225.0,680100.0,130000.0,545575.0,37.0,400.0,36.5,180.0,0.0,7375.0
2019,680700.0,829450.0,97450.0,693375.0,133650.0,563625.0,37.0,400.0,36.5,180.0,133400.0,37775.0
2020,657175.0,831925.0,87800.0,704375.0,136400.0,580575.0,37.0,400.0,36.5,180.0,167350.0,62900.0
2021,635875.0,833225.0,79250.0,713550.0,139050.0,597300.0,37.0,400.0,36.5,180.0,159575.0,47575.0
2022,614350.0,833775.0,72325.0,720925.0,141350.0,615525.0,37.0,400.0,36.5,180.0,25.0,1725.0
2023,597125.0,834325.0,66675.0,726950.0,143075.0,630100.0,37.0,400.0,36.5,180.0,200.0,1500.0
2024,580175.0,833900.0,61725.0,732175.0,144525.0,645750.0,37.0,400.0,36.5,180.0,775.0,1000.0
2025,564550.0,834000.0,57375.0,736775.0,145850.0,659700.0,37.0,400.0,36.5,180.0,75.0,1325.0
2026,550125.0,833475.0,53450.0,740825.0,146950.0,673425.0,37.0,400.0,36.5,180.0,0.0,550.0
2027,535075.0,832900.0,49975.0,744400.0,148275.0,687625.0,37.0,400.0,36.5,180.0,6425.0,30750.0
2028,521050.0,832125.0,46550.0,747900.0,149425.0,701200.0,37.0,400.0,36.5,180.0,167225.0,38650.0
2029,507250.0,830800.0,43525.0,751050.0,150150.0,715475.0,37.0,400.0,36.5,180.0,475.0,175.0
2030,494375.0,830100.0,41100.0,753550.0,150625.0,728500.0,37.0,400.0,36.5,180.0,275.0,1175.0
2031,482850.0,828575.0,38675.0,756000.0,151175.0,740975.0,37.0,400.0,36.5,180.0,2825.0,850.0
2032,471425.0,826800.0,36300.0,758375.0,151325.0,754025.0,37.0,400.0,36.5,180.0,141575.0,37375.0
2033,461075.0,825475.0,34125.0,760550.0,151625.0,765400.0,37.0,400.0,36.5,180.0,0.0,2775.0
2034,451850.0,823850.0,31975.0,762700.0,151725.0,776150.0,37.0,400.0,36.5,180.0,500.0,400.0
2035,442300.0,822250.0,30175.0,764525.0,152175.0,786825.0,37.0,400.0,36.5,180.0,175.0,25150.0
2036,433450.0,820575.0,28575.0,766225.0,152425.0,797000.0,37.0,400.0,36.5,180.0,5325.0,7625.0
2037,425500.0,818775.0,27075.0,767750.0,152425.0,806725.0,37.0,400.0,36.5,180.0,6025.0,16850.0
2038,417450.0,817450.0,25800.0,769025.0,152175.0,816350.0,37.0,400.0,36.5,180.0,50.0,21625.0
2039,410075.0,815675.0,24700.0,770125.0,152175.0,825500.0,37.0,400.0,36.5,180.0,200500.0,38975.0
2040,402750.0,813275.0,23650.0,771200.0,152150.0,835225.0,37.0,400.0,36.5,180.0,7500.0,24050.0
2041,396325.0,811325.0,22700.0,772175.0,152100.0,843625.0,37.0,400.0,36.5,180.0,172200.0,37150.0
2042,389075.0,809525.0,21700.0,773175.0,152000.0,852775.0,37.0,400.0,36.5,180.0,12925.0,33725.0
2043,382975.0,807500.0,20825.0,774050.0,151975.0,860925.0,37.0,400.0,36.5,180.0,210875.0,35725.0
2044,376850.0,805000.0,20000.0,774875.0,151975.0,869550.0,37.0,400.0,36.5,180.0,169575.0,34750.0
2045,370950.0,803075.0,19150.0,775725.0,151850.0,877500.0,37.0,400.0,36.5,180.0,5500.0,18500.0
2046,365250.0,801200.0,18425.0,776450.0,151825.0,885100.0,37.0,400.0,36.5,180.0,112000.0,34175.0
2047,359800.0,799350.0,17775.0,777100.0,151650.0,892575.0,37.0,400.0,36.5,180.0,212250.0,33700.0
2048,354275.0,797900.0,17250.0,777625.0,151550.0,899650.0,37.0,400.0,36.5,180.0,206200.0,33900.0
