year,tong_luc,tong_luk,tong_lua_tom,tong_tsl,tong_bhk,tong_lnk,climate_maxTAS_thuysan,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,dt_tsl_risk,dt_lua_caqrisk,,
2015,860025,717000,184200,573250,145950,504150,33,300,33,120,281725,185625,,
2016,859275,717025,184825,573100,146200,504025,33,300,33,120,282175,186350,,
2017,807300,724350,179400,587500,172150,502925,33,300,33,120,285025,175500,,
2018,785850,731775,174775,583550,191075,505225,33,300,33,120,292050,168900,,
2019,759450,741025,170450,602150,203025,506300,33,300,33,120,296725,159950,,
2020,741600,746675,167575,604325,209675,512325,33,300,33,120,296375,153825,,
2021,726050,752725,164400,609575,214950,516850,33,300,33,120,298800,149000,,
2022,709200,756375,161450,610725,218525,521375,33,300,33,120,299975,144575,,
2023,697450,763975,158650,615925,221475,526925,33,300,33,120,301550,144300,,
2024,684625,760450,156575,595550,224200,530950,33,300,33,120,300550,137650,,
2025,672200,774425,154175,617350,226375,535450,33,300,33,120,269125,127150,,
2026,660750,779375,152150,620450,228125,538450,33,300,33,120,307475,133000,,
2027,650425,771525,150225,623750,229925,543175,33,300,33,120,303625,132050,,
2028,630275,786075,148525,626850,230900,546825,33,300,33,120,310450,128625,,
2029,631950,793150,147275,625675,231775,550675,33,300,33,120,309875,126837.5,309875,126837.5
2030,623350,798275,146075,621625,232375,553225,33,300,33,120,309300,125050,,
2031,615000,804450,145075,627450,232775,552775,33,300,33,120,307225,120250,,
2032,605725,806050,144150,628050,233175,559500,33,300,33,120,310250,120500,,
2033,596025,812200,143575,632225,233575,562725,33,300,33,120,309625,119875,,
2034,592450,805350,142825,632625,231000,566050,33,300,33,120,308350,118475,,
2035,585750,818700,141700,633275,234525,567675,33,300,33,120,311200,116650,,
2036,578950,822950,141300,632750,234600,570850,33,300,33,120,311625,114500,,
2037,572075,826850,140600,635275,234875,573800,33,300,33,120,311350,115825,,
2038,566925,828800,140025,636450,234950,577150,33,300,33,120,310425,113175,,
2039,560200,830800,139400,635175,235525,579475,33,300,33,120,313700,112225,,
2040,555900,834000,138700,625875,235525,582150,33,300,33,120,313425,111700,,
2041,550425,834100,138175,630075,235750,584100,33,300,33,120,312725,108450,,
2042,546150,837175,137400,636925,235700,586650,33,300,33,120,310025,109975,,
2043,542150,840100,136950,638975,235325,589350,33,300,33,120,309475,106675,,
2044,537900,839775,136400,638300,235375,590850,33,300,33,120,314100,108175,,
2045,534850,843775,135875,640250,235250,593175,33,300,33,120,315925,106525,,
2046,531750,846350,135250,640800,235275,595350,33,300,33,120,311425,105175,,
2047,518550,847450,134325,641400,234725,596850,33,300,33,120,313575,103750,,
2048,524200,845875,134475,639500,235000,598525,33,300,33,120,298975,101275,,
2049,509250,849225,133125,642025,234900,599300,33,300,33,120,308950,102400,,
2050,518550,850900,133850,641000,234900,597625,33,300,33,120,315650,100600,,
,514625,851025,133350,640600,231700,602225,33,300,33,120,0,0,,
2051,511925,854000,133100,642700,234900,606950,33,300,33,120,0,0,,
