year,tong_luc,tong_luk,tong_lua_tom,tong_tsl,tong_bhk,tong_lnk,climate_maxTAS_thuysan,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,dt_tsl_risk,dt_lua_caqrisk
2015,737825.0,814625.0,319350.0,422650.0,153425.0,516400.0,33.0,300.0,33.0,120.0,115900.0,72750.0
2016,601500.0,896600.0,330050.0,435925.0,180125.0,531125.0,33.0,300.0,33.0,120.0,120825.0,41425.0
2017,495075.0,951175.0,326925.0,443700.0,196850.0,546000.0,33.0,300.0,33.0,120.0,124175.0,15125.0
2018,450075.0,985650.0,323100.0,449425.0,206400.0,561100.0,33.0,300.0,33.0,120.0,124625.0,7600.0
2019,420775.0,998650.0,316500.0,457950.0,212800.0,575150.0,33.0,300.0,33.0,120.0,126000.0,4000.0
2020,399800.0,996150.0,312325.0,460675.0,217225.0,587775.0,33.0,300.0,33.0,120.0,127750.0,2275.0
2021,383150.0,996375.0,305175.0,469300.0,222575.0,603325.0,33.0,300.0,33.0,120.0,127675.0,1100.0
2022,370800.0,982250.0,308675.0,466050.0,227050.0,616675.0,33.0,300.0,33.0,120.0,130650.0,875.0
2023,359650.0,984475.0,303575.0,470000.0,231150.0,630800.0,33.0,300.0,33.0,120.0,132350.0,650.0
2024,350325.0,976475.0,281775.0,495875.0,234775.0,643450.0,33.0,300.0,33.0,120.0,121050.0,500.0
2025,340975.0,970925.0,301000.0,476325.0,237775.0,654575.0,33.0,300.0,33.0,120.0,131525.0,275.0
2026,332325.0,951275.0,298775.0,477625.0,241050.0,666825.0,33.0,300.0,33.0,120.0,134200.0,200.0
2027,325825.0,945250.0,299025.0,479050.0,243200.0,677725.0,33.0,300.0,33.0,120.0,133625.0,75.0
2028,320150.0,949600.0,133825.0,642125.0,244300.0,689850.0,33.0,300.0,33.0,120.0,26650.0,75.0
2029,313975.0,940725.0,293250.0,485900.0,245950.0,700800.0,33.0,300.0,33.0,120.0,137550.0,75.0
2030,309175.0,924925.0,296775.0,481800.0,246850.0,708825.0,33.0,300.0,33.0,120.0,136450.0,25.0
2031,304675.0,923550.0,289500.0,486700.0,248075.0,721675.0,33.0,300.0,33.0,120.0,134950.0,25.0
2032,300475.0,919900.0,292225.0,487025.0,249225.0,731800.0,33.0,300.0,33.0,120.0,139275.0,25.0
2033,289600.0,913275.0,297225.0,480900.0,250075.0,742275.0,33.0,300.0,33.0,120.0,132725.0,25.0
2034,292600.0,908250.0,293450.0,484825.0,250775.0,748825.0,33.0,300.0,33.0,120.0,135925.0,0.0
2035,279975.0,889675.0,291425.0,487200.0,251550.0,743625.0,33.0,300.0,33.0,120.0,138125.0,0.0
2036,285500.0,890350.0,291900.0,486475.0,252325.0,767825.0,33.0,300.0,33.0,120.0,135275.0,0.0
2037,282025.0,885475.0,291225.0,488900.0,253200.0,771800.0,33.0,300.0,33.0,120.0,134500.0,0.0
2038,278575.0,883825.0,286950.0,487375.0,254100.0,785050.0,33.0,300.0,33.0,120.0,135400.0,0.0
2039,273775.0,865625.0,290475.0,488450.0,253925.0,793900.0,33.0,300.0,33.0,120.0,137600.0,0.0
2040,272400.0,873000.0,291700.0,487625.0,255950.0,802050.0,33.0,300.0,33.0,120.0,135775.0,0.0
2041,269425.0,864225.0,290450.0,488250.0,256475.0,808850.0,33.0,300.0,33.0,120.0,137775.0,0.0
2042,267900.0,842675.0,290600.0,489000.0,256800.0,817350.0,33.0,300.0,33.0,120.0,134400.0,0.0
2043,265400.0,849250.0,289025.0,488625.0,254025.0,821700.0,33.0,300.0,33.0,120.0,135025.0,0.0
2044,263100.0,848000.0,289450.0,489525.0,257525.0,829950.0,33.0,300.0,33.0,120.0,136225.0,0.0
2045,261525.0,837200.0,293875.0,486375.0,257775.0,827400.0,33.0,300.0,33.0,120.0,135275.0,0.0
2046,255075.0,840475.0,288500.0,489425.0,258450.0,843750.0,33.0,300.0,33.0,120.0,138550.0,0.0
2047,257175.0,835275.0,284100.0,494650.0,259025.0,846550.0,33.0,300.0,33.0,120.0,130525.0,0.0
2048,255500.0,830225.0,289500.0,487200.0,259375.0,857600.0,33.0,300.0,33.0,120.0,137275.0,0.0
2049,254050.0,826575.0,289625.0,489925.0,259775.0,862750.0,33.0,300.0,33.0,120.0,138625.0,0.0
2050,251675.0,820475.0,85625.0,690675.0,259725.0,868625.0,33.0,300.0,33.0,120.0,0.0,0.0
