'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt'
2020,'B1',0.1,388.1659844059983,15672.852432635336,2871.427337612485,132.14532198799992,29420.48360412487,169.65736749500007,419.50494164449566,2642.926872813482,1159.789180249494,7181.76766733168,90.6518030399997,0.0,4.847353357000001,992.6874163234922,51281.426432479086,7880.106017895149,60154.21986669699
2020,'B1',1.0,383.91668113849823,15872.07611473779,2698.4334801444857,128.35620838449987,29156.436516281894,92.09971378300004,447.98663172699435,2732.053007506481,1078.3406771454943,7171.043694413182,63.58207611299981,0.0,0.0,932.4037115894912,50858.74039940008,8033.180690385659,59824.32480137466
2020,'B1',0.2,367.67489976049836,15317.142502775383,2788.9593779024854,161.88762817400035,29308.727136686888,169.65736749500007,448.7306493064946,2764.307489875481,1249.2246442929934,6920.10214452367,85.55684563499975,0.0,0.0,1020.2338428144908,50734.43456226209,7827.30228135114,59581.97068642716
2020,'B1',0.5,417.2501045479977,15987.732092332339,2581.0268046794863,148.29106990450038,29091.973268509908,111.48912721100005,429.40894326649465,2829.1558196724804,1187.7043695754937,7006.3220439936695,76.00765667699973,0.0,0.0,979.7198559554915,50782.19113067856,8104.450313736164,59866.36130036966
2030,'B1',0.2,397.5702704664978,36232.14333949464,2988.3432521560203,222.91962502800035,69463.34972437755,352.1456530130004,964.874530736493,14322.32362154454,5773.693998862959,12550.085436116975,353.56586864299726,0.0,0.0,2275.165765359963,121962.09817219498,19383.751382851442,143621.01532042347
2030,'B1',0.1,431.26179169849746,36462.41875867857,3045.844048226014,189.78696558549987,68660.16796969538,352.6548237520004,951.2448250139965,14280.475112057506,5798.227436483458,12873.211339552947,297.31728147749754,0.0,4.847353357000001,2265.009566163467,121556.13264068226,19526.315498699456,143347.45770556183
2030,'B1',1.0,421.58751937199764,36933.27067097546,2858.351885498015,186.93292912799987,68285.38715313181,336.5094635980004,981.8160839914929,14439.571836028566,5515.576280684481,12895.436075858945,321.7992084864968,0.0,0.0,2362.39235143245,121571.14865616443,19242.698099123452,143176.23910673772
2030,'B1',0.5,453.7961253459971,36519.49309291603,2737.5835327335158,214.02967632900032,68184.81289596396,239.79784759700024,938.8449212809952,14258.250140757526,5691.838332636461,12332.499985427483,276.47859753849815,0.0,0.0,2148.7441795349564,120750.00433901537,18948.676629941983,141847.4251485099
2040,'B1',0.2,1183.8873752140023,57930.90955167185,6397.212927268937,428.9400169609995,108993.73857198421,534.6348952560002,1558.2070216689779,24881.46816708399,11125.051782130437,23788.991260475686,597.5930353424972,0.0,0.0,4737.285363978002,200296.80245295927,32386.54678806801,237420.63460508984
2040,'B1',0.1,1068.981002732008,59107.51843212646,6544.235436868421,358.4630225389993,108743.05499614959,527.2969540300003,1517.758626639484,25682.57894991108,11231.692112900426,25577.396817044162,499.27007897599555,0.0,4.847353357000001,4463.819354224478,203798.48403958784,32600.79038940708,240863.09378330526
2040,'B1',1.0,1184.6880087229997,58796.83880775474,6231.345093788447,399.2561571619991,107654.01947380666,510.46383850000046,1566.8670175794769,24541.53282822101,10752.035413417,22702.52763787303,527.7342907314957,0.0,0.0,4947.340666108505,197840.68613149482,32079.2817698991,234867.3085675875
2040,'B1',0.5,1178.2854315934974,58891.719460688895,6041.064374503963,385.7928673669998,107598.87057484775,420.6920791920002,1478.5277187404804,24939.387125123143,10580.942670765506,22253.034435172278,454.4817965044961,0.0,0.0,4604.5876409454995,197638.75141568197,31979.459477815886,234222.7985345286
2050,'B1',0.2,3805.9518462070505,113610.49009482267,25324.5450200048,1176.985062346,225566.94917811183,1556.892898638,2810.0491430575225,78208.41787506374,24924.66694857405,55961.98741796238,1134.7943823525031,0.0,11.678044300999998,11869.17203716285,460149.4254723786,62074.81040156489,534093.4079108527
2050,'B1',0.5,3658.723480421034,114743.14991678376,25020.26571965501,1101.8242085114991,219945.8260842253,1605.9724080399992,2648.2794824975244,74620.04108028462,22415.560681050043,47324.67848286797,872.1612718025002,0.0,0.0,11662.944462886891,440058.5186502571,62235.01970268235,513956.4828156859
2050,'B1',0.1,3253.46606050404,116215.04852675057,28054.576334084704,899.8945403344991,226665.52296018697,1580.5630413649992,2705.0365107810308,78727.71569474919,24742.18076535059,56137.79994565068,1152.6507409640008,0.0,22.294669166,9904.111448033387,466916.2492497478,63336.38909175542,540156.7497892114
2050,'B1',1.0,3793.5538359425445,113464.1272087295,25304.799673727863,1183.9715095219972,221852.772299397,1750.106958907999,2749.435520208025,73678.09455401725,22361.40175304862,48183.01531301506,1004.2173936425044,0.0,0.0,12104.152975766418,441205.00579821144,62016.33724587104,515325.4960197054
