'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2020,'B2',0.5,13237.0,26117.0,26242.0,8254.0,50012.0,13615.0,11343.0,40855.0,20380.0,19382.0,21014.0,25082.0,13856.0,38788.0,130130.0,120471.0,289389.0
2020,'B2',1.0,13307.0,26194.0,26458.0,8216.0,49871.0,13467.0,11200.0,40807.0,20411.0,19300.0,21101.0,25140.0,13806.0,38842.0,130117.0,120319.0,289278.0
2020,'B2',0.1,13319.0,26163.0,26264.0,8245.0,50651.0,13587.0,11258.0,40692.0,20445.0,19510.0,21023.0,24993.0,13906.0,38815.0,130923.0,120318.0,290056.0
2020,'B2',0.2,13276.0,25994.0,26764.0,8239.0,50163.0,13559.0,11239.0,40911.0,20650.0,19640.0,20907.0,24943.0,13888.0,38831.0,131299.0,120043.0,290173.0
2030,'B2',0.5,15186.0,38122.0,30899.0,8973.0,71639.0,15331.0,12147.0,47514.0,23246.0,26577.0,21981.0,28039.0,16108.0,41733.0,175214.0,138815.0,355762.0
2030,'B2',1.0,15142.0,38392.0,30979.0,8985.0,71750.0,15252.0,12045.0,47387.0,23225.0,26797.0,21978.0,28116.0,16117.0,41705.0,175635.0,138825.0,356165.0
2030,'B2',0.1,15135.0,38450.0,31082.0,8990.0,71261.0,15236.0,12106.0,47809.0,22703.0,26972.0,21931.0,28270.0,16248.0,41525.0,175681.0,138987.0,356193.0
2030,'B2',0.2,15134.0,38341.0,31020.0,8972.0,71612.0,15303.0,12034.0,47258.0,23365.0,26877.0,21864.0,27900.0,16152.0,41738.0,175439.0,138655.0,355832.0
2040,'B2',0.5,15795.0,38695.0,31268.0,9435.0,72814.0,16739.0,12315.0,49293.0,24687.0,26616.0,22364.0,29816.0,17364.0,42862.0,178558.0,145781.0,367201.0
2040,'B2',1.0,15790.0,39074.0,31314.0,9367.0,72844.0,16656.0,12217.0,49224.0,24566.0,26946.0,22448.0,29811.0,17326.0,42901.0,178923.0,145759.0,367583.0
2040,'B2',0.2,15725.0,38865.0,31415.0,9357.0,72640.0,16500.0,12307.0,49630.0,24227.0,26265.0,22269.0,29861.0,17430.0,42765.0,178137.0,145589.0,366491.0
2040,'B2',0.1,15786.0,38872.0,31814.0,9486.0,71894.0,16547.0,12320.0,49754.0,23529.0,25442.0,22773.0,29886.0,17387.0,42606.0,177321.0,145563.0,365490.0
2050,'B2',0.1,16042.0,39520.0,31942.0,9824.0,72324.0,16847.0,12432.0,50670.0,23926.0,29002.0,22917.0,30897.0,17914.0,42505.0,181059.0,150693.0,374257.0
2050,'B2',0.5,16477.0,39529.0,31399.0,9747.0,73770.0,17798.0,12397.0,50710.0,25599.0,30355.0,22564.0,30820.0,17882.0,44502.0,183937.0,150608.0,379047.0
2050,'B2',1.0,16594.0,39832.0,31469.0,9694.0,73520.0,17567.0,12338.0,50457.0,25529.0,30026.0,22666.0,30671.0,17859.0,44520.0,183049.0,150653.0,378222.0
2050,'B2',0.2,16335.0,39421.0,31976.0,9688.0,73413.0,17319.0,12401.0,50892.0,24759.0,30324.0,22604.0,30772.0,17883.0,43826.0,183572.0,150389.0,377787.0
