'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2020,'M1',1.0,13240.0,25769.0,26642.0,8351.0,50439.0,13552.0,11251.0,40803.0,20492.0,19596.0,21109.0,25171.0,13709.0,38791.0,131234.0,120099.0,290124.0
2020,'M1',0.5,13399.0,25967.0,26473.0,8235.0,50407.0,13589.0,11232.0,40494.0,20705.0,19701.0,21070.0,25153.0,13936.0,38997.0,130934.0,120430.0,290361.0
2020,'M1',0.2,13301.0,26150.0,26519.0,8223.0,49699.0,13572.0,11243.0,40861.0,20462.0,19241.0,21047.0,25051.0,13759.0,38793.0,129967.0,120368.0,289128.0
2020,'M1',0.1,13278.0,25703.0,26582.0,8256.0,49873.0,13559.0,11245.0,40753.0,20588.0,19122.0,20937.0,25101.0,13849.0,38904.0,129904.0,120038.0,288846.0
2030,'M1',0.1,15114.0,38337.0,30978.0,8961.0,71520.0,15174.0,12122.0,47714.0,22979.0,27257.0,21966.0,28224.0,16145.0,41641.0,176073.0,138777.0,356491.0
2030,'M1',0.5,15205.0,38272.0,30923.0,8933.0,71895.0,15238.0,12089.0,47290.0,23371.0,26849.0,21973.0,28135.0,16044.0,41787.0,175499.0,138931.0,356217.0
2030,'M1',1.0,15139.0,38252.0,30897.0,9058.0,71825.0,15144.0,12030.0,47268.0,23224.0,26802.0,22000.0,28142.0,15875.0,41657.0,175361.0,138638.0,355656.0
2030,'M1',0.2,15107.0,38212.0,30976.0,8917.0,71826.0,15262.0,12139.0,47365.0,23258.0,26633.0,21949.0,28159.0,16018.0,41483.0,175305.0,139033.0,355821.0
2040,'M1',0.1,15750.0,38702.0,31845.0,9429.0,71976.0,16654.0,12343.0,49735.0,23830.0,25667.0,22627.0,29859.0,17399.0,42865.0,177508.0,145443.0,365816.0
2040,'M1',0.5,15821.0,39010.0,31284.0,9346.0,73055.0,16827.0,12288.0,49115.0,24762.0,26802.0,22341.0,29757.0,17268.0,43126.0,178809.0,145741.0,367676.0
2040,'M1',0.2,15700.0,38940.0,31303.0,9379.0,73084.0,16571.0,12308.0,49487.0,24541.0,26647.0,22301.0,29987.0,17272.0,42532.0,179047.0,145941.0,367520.0
2040,'M1',1.0,15678.0,38892.0,31245.0,9462.0,73025.0,16395.0,12255.0,49059.0,24671.0,26883.0,22415.0,29845.0,17157.0,42606.0,178718.0,145658.0,366982.0
2050,'M1',0.1,16379.0,39264.0,31979.0,9760.0,72383.0,17712.0,12469.0,50754.0,24248.0,29275.0,22846.0,30765.0,17931.0,44012.0,181601.0,150152.0,375765.0
2050,'M1',0.5,16573.0,39898.0,31435.0,9651.0,73722.0,17820.0,12398.0,50338.0,25666.0,30178.0,22575.0,30634.0,17869.0,44755.0,183115.0,150887.0,378757.0
2050,'M1',1.0,16325.0,39572.0,31449.0,9751.0,73725.0,17464.0,12419.0,50323.0,25682.0,30245.0,22673.0,30803.0,17774.0,44170.0,183158.0,150877.0,378205.0
2050,'M1',0.2,16348.0,39684.0,31432.0,9666.0,73724.0,17553.0,12409.0,50743.0,25395.0,30416.0,22508.0,30787.0,17848.0,44039.0,183563.0,150911.0,378513.0
