'year','tong_luc','total_2rice_luk','total_rice_shrimp','tong_tsl','tong_bhk','total_fruit_tree_lnk','climate_maxTAS_shrimp','climate_maxPR_thuysan','climate_maxTAS_caytrong','climate_minPR_caytrong','area_shrimp_tsl_risk','area_rice_fruit_tree_risk'
year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,868975.0,795575.0,172200.0,579850.0,110725.0,470925.0,37.0,400.0,36.0,200.0,0.0,575.0
2016,849075.0,813325.0,151725.0,602050.0,111600.0,470475.0,37.0,400.0,36.0,200.0,0.0,1025.0
2017,839250.0,821600.0,135775.0,618700.0,112200.0,470725.0,37.0,400.0,36.0,200.0,150.0,50175.0
2018,834450.0,825475.0,121775.0,632900.0,112750.0,470900.0,37.0,400.0,36.0,200.0,0.0,42575.0
2019,831725.0,827350.0,110900.0,643850.0,113275.0,471150.0,37.0,400.0,36.0,200.0,126800.0,65475.0
2020,830400.0,828100.0,102600.0,652250.0,113600.0,471300.0,37.0,400.0,36.0,200.0,157175.0,77050.0
2021,829475.0,828600.0,95375.0,659575.0,113800.0,471425.0,37.0,400.0,36.0,200.0,149450.0,76675.0
2022,828775.0,828925.0,89000.0,666025.0,113850.0,471675.0,37.0,400.0,36.0,200.0,150.0,65475.0
2023,828275.0,829050.0,83775.0,671275.0,114050.0,471825.0,37.0,400.0,36.0,200.0,200.0,43900.0
2024,827825.0,829175.0,79400.0,675675.0,114175.0,472000.0,37.0,400.0,36.0,200.0,650.0,58950.0
2025,827425.0,829300.0,75600.0,679475.0,114325.0,472125.0,37.0,400.0,36.0,200.0,150.0,30025.0
2026,827100.0,829425.0,72650.0,682425.0,114275.0,472375.0,37.0,400.0,36.0,200.0,0.0,30975.0
2027,826875.0,829500.0,70225.0,684850.0,114325.0,472475.0,37.0,400.0,36.0,200.0,5525.0,80200.0
2028,826575.0,829625.0,67900.0,687175.0,114375.0,472600.0,37.0,400.0,36.0,200.0,154950.0,77950.0
2029,826350.0,829800.0,65650.0,689425.0,114350.0,472675.0,37.0,400.0,36.0,200.0,575.0,59650.0
2030,826150.0,829900.0,63650.0,691425.0,114300.0,472825.0,37.0,400.0,36.0,200.0,275.0,65900.0
2031,826050.0,829950.0,61575.0,693500.0,114200.0,472975.0,37.0,400.0,36.0,200.0,2450.0,23125.0
2032,826000.0,829925.0,59675.0,695400.0,114175.0,473075.0,37.0,400.0,36.0,200.0,134175.0,71400.0
2033,825850.0,829900.0,58000.0,697075.0,114100.0,473325.0,37.0,400.0,36.0,200.0,0.0,56300.0
2034,825825.0,829925.0,56300.0,698775.0,114100.0,473325.0,37.0,400.0,36.0,200.0,400.0,15725.0
2035,825825.0,829925.0,54625.0,700450.0,114075.0,473350.0,37.0,400.0,36.0,200.0,150.0,66625.0
2036,825825.0,829900.0,53075.0,702000.0,114050.0,473400.0,37.0,400.0,36.0,200.0,5175.0,59075.0
2037,825825.0,829850.0,52000.0,703075.0,114050.0,473450.0,37.0,400.0,36.0,200.0,5125.0,77150.0
2038,825825.0,829825.0,51075.0,704000.0,114025.0,473500.0,37.0,400.0,36.0,200.0,200.0,79600.0
2039,825800.0,829800.0,50175.0,704900.0,114025.0,473550.0,37.0,400.0,36.0,200.0,186700.0,77900.0
2040,825775.0,829800.0,49275.0,705800.0,113975.0,473625.0,37.0,400.0,36.0,200.0,4125.0,78825.0
2041,825775.0,829800.0,48325.0,706750.0,113975.0,473625.0,37.0,400.0,36.0,200.0,159900.0,78900.0
2042,825775.0,829800.0,47625.0,707450.0,113975.0,473625.0,37.0,400.0,36.0,200.0,7675.0,75950.0
2043,825775.0,829725.0,47000.0,708075.0,113975.0,473700.0,37.0,400.0,36.0,200.0,192550.0,78725.0
2044,825775.0,829725.0,46425.0,708650.0,113975.0,473700.0,37.0,400.0,36.0,200.0,159350.0,78325.0
2045,825775.0,829725.0,45675.0,709400.0,113975.0,473700.0,37.0,400.0,36.0,200.0,5375.0,76025.0
2046,825775.0,829725.0,45000.0,710075.0,113975.0,473700.0,37.0,400.0,36.0,200.0,105675.0,78800.0
2047,825775.0,829700.0,44350.0,710725.0,113950.0,473750.0,37.0,400.0,36.0,200.0,189900.0,78075.0
2048,825775.0,829700.0,43625.0,711450.0,113950.0,473750.0,37.0,400.0,36.0,200.0,185050.0,77400.0
2049,825775.0,829700.0,42875.0,712200.0,113950.0,473750.0,37.0,400.0,36.0,200.0,56825.0,76375.0
2050,825775.0,829700.0,42150.0,712925.0,113950.0,473750.0,37.0,400.0,36.0,200.0,0.0,0.0
2051,825775.0,829700.0,41400.0,713675.0,113950.0,473750.0,37.0,400.0,36.0,200.0,0.0,0.0
