'year','sc','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit','total_benefit_5','total_benefit_34'
2015,'B2',10,16553.91625,39471.4065,34425.366,10177.3365,76305.0025,16562.046,13227.7305,45781.6195,23671.98475,26941.465,23779.09025,26407.82025,14622.99475,48747.66,178110.4715,138046.5337,367927.7788,51487.254,173358.8497
2016,'B2',10,16722.241,40196.5225,34896.375,10186.98175,78687.39875,16598.9465,13250.74875,49032.103,24113.0215,27295.71175,23899.2085,27264.3785,14816.292,48884.45175,185361.364,139691.0002,376959.9295,100875.076,359012.85
2017,'B2',10,16857.18575,40504.5785,35279.0555,10145.84275,80385.675,16696.023,12775.18475,51582.44075,24311.3645,26523.293,23752.18275,27869.33775,15044.3405,49014.721,190661.7287,139026.9412,381726.5045,146053.8,553919.4015
2018,'B2',10,17155.56225,41182.0705,35509.577,10165.38475,81451.1075,16785.5255,12902.05325,53929.675,24827.4095,26914.2485,24051.901,28147.639,15232.9785,49418.26125,194875.958,140937.7995,388255.1323,190669.654,755548.7805
2019,'B2',10,16997.843,30051.12025,35406.278,10172.848,60782.58325,16894.1475,12869.77575,53179.15825,24783.14225,22324.53,23966.59225,28387.3635,15470.90575,48780.07575,162140.3677,137474.415,351286.2878,233139.292,921651.135
2020,'B2',10,16727.6925,30425.34925,31432.122,10158.9215,59050.131,16765.1485,12993.86825,53429.54525,23671.82275,22522.46775,24041.0505,28660.8975,15661.3615,48056.27775,157214.9497,137696.536,345540.3783,274475.88,1081869.283
2021,'B2',10,17267.262,30923.2775,35756.02575,10286.6195,59385.6305,17154.82275,13101.02425,48719.307,24037.35775,25074.0885,24125.3875,28912.064,15836.52875,49102.42875,159058.8445,139498.9702,350579.3958,315271.528,1246370.634
2022,'B2',10,17743.47825,43039.422,35849.94425,10443.8905,83213.174,17244.282,13230.3225,58224.50125,25723.9525,28231.22025,24225.56825,29161.572,16051.75025,49841.76975,203417.8642,146100.3305,402383.078,356279.166,1460884.277
2023,'B2',10,18270.96175,42988.61975,35969.87075,10489.7385,83401.45625,17412.9875,13498.514,59511.70625,25901.1565,28527.5415,24273.62625,29416.278,16212.707,51213.68375,204248.9332,147389.4335,405875.164,398026.576,1676409.81
2024,'B2',10,18154.938,43130.752,36257.37025,10438.5965,83573.9925,17537.198,13397.73725,58895.36025,26046.437,28816.11075,24537.678,29691.2915,16366.648,50755.13875,204957.6885,148115.1,406844.11,438446.49,1892510.595
2025,'B2',10,18611.3775,43728.76975,36327.504,10583.5685,83690.796,17680.83275,13694.9995,59706.2605,26389.1865,29116.8265,24452.4095,29898.622,16541.0755,51816.09975,205536.784,150046.2312,410422.2285,480221.678,2109228.217
2026,'B2',10,18879.85575,43592.974,36258.99775,10618.59475,83768.665,17784.8515,13711.9135,59727.902,26667.56475,29665.69875,24512.735,30114.066,16680.06625,52247.41525,205895.9322,150817.424,411983.885,521561.19,2326375.545
