'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt','total_debt_5','total_debt_34','total_wu'
2015,'B2',0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.296816996630003,0.0,0.0,0.0,0.0,12.161900179980002,0.0,10.134916816650001,22.296816996630003,22.296816996630003,0.0,13239529.549998695
2016,'B2',0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.112297764,42.34056524063,0.6465725240000001,0.0,0.0,0.0,31.559075899979998,0.0,18.54035962865,50.099435528629996,27.802618531999993,0.0,13088538.44999874
2017,'B2',0.1,35.97482159446503,206.5221239682244,0.0,25.31561519610502,0.0,0.6662003998975,226.50813596514914,125.02976854585793,145.02292054970272,497.6320708475305,99.26385958472773,0.0,0.0,93.22635975292751,161.2204967751955,1107.488660123538,1361.9355166516634,1280.4371686030017,31.398912520040003,13021023.49999876
2018,'B2',0.1,35.97482159446503,439.58325640495127,0.0,57.16247801354498,0.0,0.6662003998975,493.5875082295981,255.31238916265775,171.80323700982268,1032.5146077131499,99.26385958472773,0.0,0.0,109.14979116164749,326.24514955647567,2150.4734173946676,2585.8683581129426,1223.9328414611405,0.0,12983106.749998763
2019,'B2',0.1,205.79318870842656,7961.472784951276,135.06484082087206,109.29276745317966,12940.972680126557,3.03575901079,811.3836252860192,1265.8895006199155,360.614009731083,4248.176266617693,216.95193725905438,0.0,0.0,570.8886288634449,21290.64022471267,6285.4380523798945,28258.647360582407,2112.8564280457267,23559.922574424985,12962602.199998762
2020,'B2',0.1,796.9191172248258,15984.857387359942,3031.840059331993,241.96498621587247,27738.890855180845,115.41330536790258,1133.4770358040414,3089.565502038476,1422.3016442079381,7379.685358350069,345.29159788652527,0.0,0.0,1811.1077498738316,47862.51530282349,11189.341609409097,61280.20684894146,2494.487382912706,30527.072105470525,12947476.749998763
2021,'B2',0.1,1129.4934764826887,24610.392636960067,3182.9312825979277,301.8804713040998,43613.077979730835,115.41330536790258,1412.0257177428955,6965.274646787322,2410.6597267697093,10072.637738380414,468.5959295173698,0.0,0.0,2657.4567422174805,75059.22283481708,16061.493316243144,94282.3829115928,2568.5507955213943,30433.62526715844,12932125.899998765
2022,'B2',0.1,1342.6854565862834,24782.976620853453,3345.363267438762,310.1866523470975,43613.077979730835,116.33621437268008,1727.660597376789,7615.002586150658,2584.0874022824514,10710.367860681643,579.3450100906684,0.0,0.0,3316.012921072515,75287.18135899714,17619.685349478164,96727.0896478535,2390.3343223736615,54.372413896449984,12914782.799998764
2023,'B2',0.1,1391.6833767615651,25122.962189417096,3522.3557546025345,320.1862278930722,43613.077979730835,116.33621437268008,1940.6515565060747,7615.002586150658,2743.429138002182,11379.339464707124,698.3399590877676,0.0,0.0,3394.792410213757,75542.17053541935,19022.191483234295,98463.36444716978,1700.9278003703844,35.34699894963,12899152.449998766
2024,'B2',0.1,1670.2978428524182,25459.891311201525,3522.3557546025345,394.69939905691285,43613.077979730835,122.69836118676008,2322.936521607478,8175.47122142668,3042.752683056889,12115.831968094883,700.4997611504876,0.0,0.0,4130.865009434186,75787.30806953799,20718.129706630712,101140.51280391432,2505.370392755064,171.77796398016008,12885778.799998768
2025,'B2',0.1,1732.732107195277,25459.891311201525,3522.3557546025345,402.6455781550953,43613.077979730835,122.69836118676008,2513.644819963885,8175.47122142668,3223.76333137261,12890.016845946177,843.5309849177785,0.0,0.0,4238.212969481028,75978.01636789432,21779.38893995917,102499.82829565436,1325.8767409538796,33.438750778025,12871860.799998768
2026,'B2',0.1,1732.732107195277,25588.57158188972,3671.903096212903,402.6455781550953,43613.077979730835,122.69836118676008,2695.652049675729,8184.745475169959,3353.6028837785116,13418.649309313061,986.1226362207021,0.0,0.0,4252.124350095948,76217.98768350168,22796.07900656617,103770.40105847755,1270.5727628293523,0.0,12860761.199998766
2027,'B2',0.1,2191.943643157891,25958.694961979327,3799.2798776127515,481.5433519672151,43613.077979730835,279.91677248721993,3095.9422256342386,9114.114840221097,4737.9446497350145,14182.101297082905,1173.9589945367757,0.0,0.0,5665.202713991042,77321.89176761598,25123.54292797365,108628.51859407754,3415.8095015129174,1442.3080341042157,12848330.949998774
2028,'B2',0.1,2628.21058915376,37986.165105859596,3914.6944135904946,570.4125446700845,64950.069267661034,300.3154257261549,3502.2013922758942,15309.292440057348,6172.848058401028,17633.372989233914,1321.5642795092672,0.0,0.0,6864.814472982658,114881.60340578537,31868.45776797432,154289.1465060141,3347.0215433546264,42313.60636863558,12835169.249998774
2029,'B2',0.1,2929.5733868693383,38340.43892912787,3914.6944135904946,649.7790829997754,64950.069267661034,300.3154257261549,3890.982406122709,15883.262043340299,6440.90623882138,18424.737893157853,1322.7145191952047,0.0,0.0,7592.692567004677,115113.95182234498,33666.55835786699,157047.4736064687,2636.349360168723,121.97774030625001,12822168.199998774
2030,'B2',0.1,3196.224251019064,38482.88063006267,4006.996635796169,718.151099448423,64950.069267661034,301.4549593336324,4227.14482032856,16654.726295603155,6650.3588768738955,19181.38820852349,1469.7143545597971,0.0,0.0,8429.631096077512,115333.8818085883,35394.612167987754,159839.10939903255,2717.787653833764,73.84813876269502,12813675.049998773
2031,'B2',0.1,3484.3625141519788,38482.88063006267,4006.996635796169,748.4224344857362,64950.069267661034,301.4549593336324,4227.14482032856,17024.70927939235,7559.951657156942,19181.38820852349,1597.526658050662,0.0,0.0,9090.263648342316,116015.3410273561,35771.7128388227,161564.90706476825,952.98647339689,772.8111923366259,12799962.299998775
2032,'B2',0.1,3767.935892524142,50088.21902291594,4061.9527168760455,869.7088560111808,83178.27330672569,302.5540809552299,4624.430115286813,19049.960738890728,7853.969527512662,23787.258939704927,1731.619495885561,0.0,0.0,10021.269669662674,146424.7401928053,42098.103297267524,199315.88269305928,2893.9872296662834,34856.98839866562,12793298.749998776
2033,'B2',0.1,3958.6604759773763,50429.79920910141,4061.9527168760455,948.3692774354126,83178.27330672569,302.5540809552299,4995.103881998183,19627.52218934749,7959.5684494246225,24454.25621178093,1732.697035905071,0.0,0.0,10562.194759456755,146620.85247635632,43693.940066161435,201648.7568352724,2332.8741422391367,0.0,12786065.199998777
2034,'B2',0.1,4228.4022248544625,50429.79920910141,4061.9527168760455,1018.1847889094745,83178.27330672569,302.5540809552299,5193.97230862129,19628.5800001274,8154.942925626135,24454.25621178093,1733.754846684981,0.0,0.0,10932.337735820398,146620.85247635632,44059.712874533376,202384.6726200158,661.1317374437606,74.78404729176002,12780796.649998777
2035,'B2',0.1,4616.886981199406,50735.18562184316,4061.9527168760455,1092.9732981523514,83178.27330672569,302.5540809552299,5533.636788099356,20330.76100357441,8350.02208553237,25124.2366070817,1734.793575980021,0.0,0.0,11837.545737069642,146792.2428100381,45653.59839839411,205061.27606579085,2609.287989140398,67.31545661631999,12777144.549998775
2036,'B2',0.1,4860.56999631341,50998.24092686209,4107.834456123437,1150.0705736602097,83178.27330672569,302.5540809552299,5858.8873396531935,20490.8372938373,9873.211430860656,25797.16878270913,1863.262445872702,0.0,0.0,12246.117269810447,147984.23380851897,47466.66358054342,208480.91063332284,2032.051251556478,1387.583315996957,12773072.449998775
2037,'B2',0.1,5230.477157097826,51283.94157950046,4141.9180427539795,1225.254955933465,83178.27330672569,302.5540809552299,6211.7527071223385,21271.752411048845,11191.401723080016,26436.737261246955,1982.4461486899202,0.0,0.0,13268.88817935245,149031.2741389231,49372.4510811788,212456.50937388552,2770.795101376947,1204.8036392047193,12770241.799998775
2038,'B2',0.1,5603.5313379745885,51569.91680038398,4189.415657295318,1285.6165077463882,83178.27330672569,302.5540809552299,6534.3406725489285,22001.038700986315,11340.284067302757,27098.735263917468,2093.2739159529924,0.0,0.0,14198.8349035108,149233.13900072378,50981.11043285363,215196.98031153256,2711.3221634002484,29.148774233224998,12768161.149998777
