'year','tong_luc','total_2rice_luk','total_rice_shrimp','tong_tsl','tong_bhk','total_fruit_tree_lnk','climate_maxTAS_shrimp','climate_maxPR_thuysan','climate_maxTAS_caytrong','climate_minPR_caytrong','area_shrimp_tsl_risk','area_rice_fruit_tree_risk'
year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,868775.0,795825.0,172200.0,579825.0,110725.0,470900.0,37.0,400.0,36.0,200.0,0.0,825.0
2016,848850.0,813625.0,151725.0,602025.0,111525.0,470500.0,37.0,400.0,36.0,200.0,0.0,1075.0
2017,839025.0,821975.0,135775.0,618675.0,112000.0,470800.0,37.0,400.0,36.0,200.0,200.0,48050.0
2018,833250.0,826575.0,121775.0,632875.0,112875.0,470900.0,37.0,400.0,36.0,200.0,0.0,42275.0
2019,829750.0,829225.0,110900.0,643825.0,113400.0,471150.0,37.0,400.0,36.0,200.0,126775.0,66875.0
2020,826975.0,831000.0,102600.0,652225.0,114125.0,471325.0,37.0,400.0,36.0,200.0,157650.0,75750.0
2021,824025.0,832900.0,95375.0,659550.0,114800.0,471600.0,37.0,400.0,36.0,200.0,149000.0,73950.0
2022,820975.0,835100.0,89000.0,666000.0,115350.0,471825.0,37.0,400.0,36.0,200.0,250.0,64750.0
2023,818275.0,837150.0,83775.0,671250.0,115775.0,472025.0,37.0,400.0,36.0,200.0,150.0,42525.0
2024,815850.0,838975.0,79400.0,675650.0,116100.0,472275.0,37.0,400.0,36.0,200.0,675.0,58000.0
2025,813575.0,840850.0,75600.0,679450.0,116350.0,472425.0,37.0,400.0,36.0,200.0,125.0,29200.0
2026,811800.0,842425.0,72650.0,682400.0,116400.0,472575.0,37.0,400.0,36.0,200.0,0.0,27400.0
2027,809625.0,844225.0,70225.0,684825.0,116525.0,472825.0,37.0,400.0,36.0,200.0,5275.0,73600.0
2028,807500.0,846075.0,67900.0,687150.0,116625.0,473000.0,37.0,400.0,36.0,200.0,155950.0,72500.0
2029,805575.0,847875.0,65650.0,689400.0,116650.0,473100.0,37.0,400.0,36.0,200.0,450.0,57300.0
2030,804000.0,849150.0,63650.0,691400.0,116725.0,473325.0,37.0,400.0,36.0,200.0,275.0,59625.0
2031,802050.0,850875.0,61575.0,693550.0,116850.0,473350.0,37.0,400.0,36.0,200.0,2925.0,21250.0
2032,800750.0,851900.0,59675.0,695475.0,116875.0,473575.0,37.0,400.0,36.0,200.0,134775.0,65825.0
2033,799550.0,852950.0,58000.0,697150.0,116900.0,473700.0,37.0,400.0,36.0,200.0,0.0,54125.0
2034,798700.0,853700.0,56300.0,698850.0,116925.0,473775.0,37.0,400.0,36.0,200.0,300.0,15625.0
2035,798050.0,854225.0,54625.0,700525.0,116975.0,473850.0,37.0,400.0,36.0,200.0,275.0,62800.0
2036,797300.0,854825.0,53075.0,702075.0,117025.0,473950.0,37.0,400.0,36.0,200.0,5775.0,49825.0
2037,796700.0,855250.0,52000.0,703150.0,117100.0,474050.0,37.0,400.0,36.0,200.0,5100.0,69100.0
2038,796200.0,855575.0,51075.0,704075.0,117175.0,474150.0,37.0,400.0,36.0,200.0,125.0,68500.0
2039,795650.0,855975.0,50175.0,704975.0,117250.0,474225.0,37.0,400.0,36.0,200.0,182900.0,67900.0
2040,795200.0,856350.0,49275.0,705875.0,117325.0,474225.0,37.0,400.0,36.0,200.0,3700.0,67725.0
2041,792200.0,859300.0,48325.0,706900.0,117450.0,474075.0,37.0,400.0,36.0,200.0,158775.0,67350.0
2042,789975.0,861425.0,47625.0,707600.0,117600.0,474025.0,37.0,400.0,36.0,200.0,7975.0,68725.0
2043,787875.0,863450.0,47000.0,708225.0,117675.0,474025.0,37.0,400.0,36.0,200.0,191600.0,66350.0
2044,786075.0,865250.0,46425.0,708800.0,117775.0,473925.0,37.0,400.0,36.0,200.0,158775.0,66975.0
2045,784350.0,866950.0,45675.0,709550.0,117800.0,473925.0,37.0,400.0,36.0,200.0,4925.0,65225.0
2046,782950.0,868275.0,45000.0,710225.0,117825.0,473975.0,37.0,400.0,36.0,200.0,103650.0,64175.0
2047,781700.0,869525.0,44350.0,710875.0,117850.0,473950.0,37.0,400.0,36.0,200.0,195600.0,64625.0
2048,780700.0,870525.0,43625.0,711600.0,117875.0,473925.0,37.0,400.0,36.0,200.0,185200.0,64850.0
2049,779675.0,871525.0,42875.0,712350.0,117875.0,473950.0,37.0,400.0,36.0,200.0,54425.0,65125.0
2050,778750.0,872425.0,42150.0,713075.0,117900.0,473950.0,37.0,400.0,36.0,200.0,0.0,0.0
2051,776775.0,874475.0,41400.0,713825.0,117925.0,473850.0,37.0,400.0,36.0,200.0,0.0,0.0
