'year','sc','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit','total_benefit_5','total_benefit_34'
2015,'B2',0.1,16347.320749998133,39015.403999997514,33791.61449999734,10022.542750000768,72730.18924999466,16352.202499999687,12839.843249999954,41811.02724999666,22814.89424999631,24884.59724999786,23069.767249998895,25416.97449999869,14419.73400000038,47776.28574999201,167672.6434999907,135044.06874998528,353516.11150005256,50767.94999998766,157778.5237499902
2016,'B2',0.1,16334.35749999813,39408.36449999747,33932.217749997326,9994.036250000763,73853.74174999465,16277.185249999684,12835.500749999952,43496.24399999655,22932.152249996325,24997.69824999785,22994.37199999888,25981.604249998716,14418.12800000038,47635.164999992005,171073.99899999143,135723.32499998526,357455.6025000524,100347.29399997187,321711.5534999792
2017,'B2',0.1,16251.453749998143,39333.783499997546,34020.60224999731,9909.532750000753,74684.42174999461,16231.025749999671,12287.250749999987,44608.471499996456,22806.0769999964,24058.262249997722,22767.752249998975,26288.129499998722,14424.404000000382,47467.28074999199,173404.15549999237,133776.6172499859,357671.16700005176,146540.64599995717,490191.1552499679
2018,'B2',0.1,16335.595249998132,39757.455249997496,34114.247999997315,9901.90650000075,75374.69249999458,16210.197999999655,12323.309999999983,45737.071249996254,23111.339249996345,24071.772249997735,22990.304249998873,26488.82574999872,14427.542000000383,47537.390999992,175571.57224999298,134712.18349998578,360844.2602500514,192824.64199994243,662683.6612511186
2019,'B2',0.1,15977.734999998233,29737.811749998295,33912.43649999742,9849.17000000076,56594.60449999615,16189.939499999644,12272.03899999999,45126.89999999613,22917.01874999641,20155.08474999797,22778.041999998983,26629.976999998707,14433.818000000383,46658.19724999225,146108.3427499907,130875.02299998625,326574.5767500474,237501.8999999282,803266.9942522899
2020,'B2',0.1,14994.307249998383,29558.52974999827,30338.281749997892,9707.575250000733,55617.94749999629,15817.706749999737,12230.350249999985,44466.585249995944,21359.132249996535,20282.484249997742,22837.230249998873,26746.69774999872,14433.818000000383,44360.04099999264,140929.08199999094,130508.11624998644,318390.646250039,279891.1279999147,938049.2895034128
2021,'B2',0.1,15133.616999998356,29560.659499998274,34173.293999997404,9814.735000000755,55470.30374999632,15925.485749999674,12332.734499999984,42184.9869999956,21620.232499996506,21538.977249997664,22847.15749999887,26815.30374999872,14436.956000000384,44653.91974999258,143334.24874999077,130995.63799998636,321854.44350004103,322128.30799990124,1077246.4725045725
2022,'B2',0.1,15293.231749998315,41632.40299999728,34215.662499997416,9893.897000000748,76798.69099999449,15882.917999999663,12396.984749999972,47193.76824999562,22597.735999996417,24314.483249997476,22851.264499998866,26866.686249998726,14439.354250000384,44893.951499992545,180200.7912499944,136259.22424998588,364377.08050004917,364814.32199988764,1259019.2527560869
2023,'B2',0.1,15586.831249998222,41762.77824999731,34268.979749997416,9901.207000000746,76989.18024999449,15863.03399999966,12561.35099999998,48500.178249995195,22632.519999996428,24328.82574999748,22879.09274999885,26899.155499998724,14439.354250000384,45765.16824999226,180895.25574999483,136928.95049998575,366612.4880000501,408639.2339998737,1442247.4905076134
2024,'B2',0.1,15296.338249998318,42007.7502499973,34476.73824999737,9822.25900000076,77141.54749999447,15852.775499999658,12369.95999999998,48115.56699999525,22576.85949999645,24358.89324999748,23026.510249998773,26917.32899999872,14442.492250000385,44964.29274999251,181500.32174999485,136924.2227499858,366405.0200000488,451426.12599986006,1626570.786759149
2025,'B2',0.1,15593.569749998225,42557.51124999718,34511.02474999738,9900.895250000747,77284.50499999446,15850.556499999657,12641.684749999966,49136.7567499949,22756.776999996422,24356.605999997475,22860.126249998855,26921.206749998717,14448.028500000384,45741.86849999227,182041.9329999953,138012.3334999855,368819.2485000499,495675.01799984596,1812058.4490106944
2026,'B2',0.1,15659.946499998203,42557.09324999722,34434.5224999974,9914.053250000743,77401.18474999447,15847.826749999656,12636.164249999982,49356.67124999478,22821.337749996415,24703.950749997497,22869.55724999885,26930.620749998714,14450.426750000383,45832.43299999228,182477.88449999527,138249.92474998557,369583.35575005074,539980.9280004567,1998398.5935122469
2027,'B2',0.1,15046.01699999839,42419.1254999973,34413.6172499974,9817.56125000076,77501.25499999446,15667.821499999724,12354.602999999972,48532.9107499949,21525.483749996536,24397.567499997484,22853.452999998863,26935.238249998714,14456.702750000384,44162.46249999268,181991.45799999585,136751.25324998604,365921.35650004813,581598.2200021003,2183893.186510878
2028,'B2',0.1,15057.108999998389,30399.924249998145,34456.4727499974,9850.135750000756,56164.51549999631,15839.019499999655,12372.31899999998,44916.431999994995,21657.69349999653,21697.052999997657,22852.360499998864,26935.977999998715,14456.702750000384,44385.29049999264,147058.7697499906,132320.22599998635,326655.7155000416,623211.1260037438,2330235.972757181
2029,'B2',0.1,15305.557499998318,42648.05999999729,34550.44624999738,9838.439750000758,77714.46549999445,15836.060749999655,12385.355249999975,49192.79674999468,22781.57624999643,24410.58149999748,23039.843749998767,26936.717749998712,14456.702750000384,44949.8754999925,183482.12649999594,137655.34974998582,369096.6037500514,665562.3420054165,2518398.9045024277
2030,'B2',0.1,15314.301249998316,36466.80825000169,34543.97124999744,9776.145750000745,72567.19159999763,15839.990999999656,12359.698249999967,48131.95724999535,22480.542599996534,25128.75044999739,22862.494499998855,26902.37899999872,14456.702750000384,44549.526499992535,174251.24979999394,135007.04409998818,356830.9339001995,706888.1112070289,2699862.5733001856
2031,'B2',0.1,15295.899999998323,36670.65295000169,34624.329249997434,9823.17875000075,72721.27324999767,15832.848749999655,12858.578499999956,48831.95869999515,22057.117849996568,25843.432049997384,22852.00974999886,26919.302499998714,14456.702750000384,44680.62574999247,174275.31614999365,136808.2296499879,358787.2850502073,749815.9400087022,2881635.3535479433
2032,'B2',0.1,15313.860749998306,25809.661400000285,34606.06274999744,9698.93350000073,54824.458199997855,15827.513249999654,12322.494999999972,47751.604549995056,22378.745099996555,21360.966549997636,22860.273499998857,26923.629999998713,14456.702750000384,44286.69974999259,146341.62754999902,130559.70474998733,324134.9073001306,790557.2016102957,3030999.9467958547
2033,'B2',0.1,15428.741499998281,36411.90665000172,34668.69574999744,9721.238000000732,73003.23794999771,15831.242749999656,12387.109749999961,48940.038649995025,22637.034599996507,25143.299849997376,23047.944249998767,26926.767999998716,14456.702750000384,44778.61274999248,175559.00029999364,135243.2338999877,358603.96045020176,831627.9980119037,3214584.4250935772
2034,'B2',0.1,15312.796249998306,36748.33510000164,34692.120499997436,9722.770000000737,73122.30014999773,15841.459749999658,12620.307499999959,49838.04209999471,22505.67109999653,25853.33784999738,23048.478999998766,26933.043999998714,14456.702750000384,44899.64774999239,175934.43294999332,136845.10259998776,360695.36605021096,874438.5744135745,3398618.015991293
2035,'B2',0.1,15139.28074999836,36490.20970000169,34711.18149999744,9739.912500000737,73239.52529999775,15837.920249999657,12367.381499999963,49191.60354999483,22620.24384999652,25114.912649997386,23048.077499998766,26936.181999998713,14456.702750000384,44244.63174999259,176288.96754999345,135343.35174998763,358893.13380020234,914955.8576151608,3583271.215938998
2036,'B2',0.1,15323.045499998303,36487.13930000168,34687.69799999745,9735.526500000738,73371.99924999775,15819.377999999655,12379.077499999974,49986.46779999459,21435.60959999663,25141.377049997373,22873.69799999885,26936.181999998713,14459.101000000384,44827.52574999242,175832.77924999312,134966.74249998777,358636.2995002013,955971.098016767,3767317.2821867233
2037,'B2',0.1,15120.102499998367,36509.04535000167,34687.17224999745,9743.05050000074,73479.69389999777,15830.841249999656,12368.843499999968,49337.89329999468,21651.367849996594,25159.040649997372,22847.761249998865,26939.319999998712,14459.101000000384,44000.424999992625,176291.78814999323,134817.90664998782,358133.23330019816,995952.9968183325,3951977.4128844365
2038,'B2',0.1,15161.313499998356,36491.361750001655,34697.40624999745,9724.04450000074,73576.9049999978,15830.841249999656,12343.98949999997,49545.23024999459,22611.35084999653,25193.66344999737,22879.545999998856,26939.319999998712,14459.101000000384,44182.361249992595,177159.1021999929,135089.4963499877,359454.07330020407,1036031.9724199023,4137934.979982121
2039,'B2',0.1,14816.211999998422,26346.513550000436,30964.655999997878,9621.924500000734,53752.10774999768,15628.38749999973,12308.632249999977,45351.84394999458,21337.41184999664,21102.786749997653,22866.38799999886,26939.319999998712,14459.101000000384,43513.24549999267,139342.08829999994,130032.68279998738,315495.2851000815,1076001.8828214027,4280113.771630902
2040,'B2',0.1,14681.89974999823,34425.32205000273,30796.884899999906,8148.558800000562,69353.82365000126,14938.712749998958,10223.816850000718,45840.55319999978,21096.864149998157,20882.27305000099,21360.286649999398,21673.43719999978,12752.76244999999,42024.43244999257,164256.97694998898,116952.4554000025,326175.1954498671,1108572.0264210831,4454757.582428242
2041,'B2',0.1,14270.05599999826,24860.966500000945,27178.427150000127,8034.653050000563,52446.96400000003,14263.729749998556,10157.405650000728,44961.310949999475,20074.95239999815,18340.71700000078,21352.174099999393,21683.15419999978,12752.76244999999,40531.142349992726,134742.8111000024,112464.16980000168,290377.27319971926,1138221.678820668,4594692.197226267
2042,'B2',0.1,14492.275999998212,34415.85385000279,30820.30669999991,8068.698700000569,69563.94365000133,14225.333749998194,10213.114450000723,45369.96659999918,19860.46589999817,21600.79295000108,21342.0520499994,21682.832999999777,12752.76244999999,40663.7759999927,164169.24389998917,116610.48495000249,324408.40004986356,1166411.0856202086,4769153.036223582
2043,'B2',0.1,14246.208999998242,25034.55445000102,27153.567550000127,7948.079250000557,50921.83889999989,13980.979999998155,10156.410400000725,39311.38064999803,19928.806499998158,17972.5620500008,21342.523749999407,21687.85379999978,12752.76244999999,39843.9939999928,127935.68895000516,112276.5197500017,282437.5287496961,1194265.9868197418,4901753.531371467
2044,'B2',0.1,14166.941249998259,25216.28940000108,29114.692899999933,7983.512350000563,55450.0470000003,14045.480249998134,10175.413100000726,40174.459899998204,20112.69809999819,18142.226900000765,21356.441649999397,21687.85379999978,12752.76244999999,39895.30114999281,135015.19815000243,112691.94095000163,290378.819049716,1222091.6480192759,5042266.170719221
