year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,869100.0,795600.0,172200.0,579825.0,110725.0,470800.0,37.0,400.0,36.0,200.0,0.0,625.0
2016,849050.0,813425.0,151725.0,602025.0,111600.0,470425.0,37.0,400.0,36.0,200.0,0.0,1025.0
2017,839050.0,821850.0,135775.0,618675.0,112150.0,470750.0,37.0,400.0,36.0,200.0,100.0,49175.0
2018,833175.0,826550.0,121775.0,632875.0,112925.0,470950.0,37.0,400.0,36.0,200.0,0.0,41650.0
2019,829725.0,829125.0,110900.0,643825.0,113600.0,471075.0,37.0,400.0,36.0,200.0,128650.0,67525.0
2020,793675.0,863975.0,102600.0,652650.0,124125.0,461225.0,37.0,400.0,36.0,200.0,156875.0,68700.0
2021,790050.0,867875.0,95375.0,659975.0,126850.0,458125.0,37.0,400.0,36.0,200.0,144700.0,69425.0
2022,786975.0,870750.0,89000.0,666425.0,127775.0,457325.0,37.0,400.0,36.0,200.0,225.0,57425.0
2023,784575.0,872975.0,83775.0,671675.0,128200.0,457050.0,37.0,400.0,36.0,200.0,125.0,34925.0
2024,782300.0,874900.0,79400.0,676075.0,128700.0,456875.0,37.0,400.0,36.0,200.0,625.0,53050.0
2025,780275.0,876550.0,75600.0,679875.0,128925.0,457025.0,37.0,400.0,36.0,200.0,100.0,24150.0
2026,778875.0,877800.0,72650.0,682825.0,128925.0,457175.0,37.0,400.0,36.0,200.0,0.0,21650.0
2027,777425.0,878925.0,70225.0,685250.0,129100.0,457325.0,37.0,400.0,36.0,200.0,5050.0,65075.0
2028,776000.0,880075.0,67900.0,687575.0,129150.0,457550.0,37.0,400.0,36.0,200.0,150025.0,64500.0
2029,774275.0,881575.0,65650.0,689825.0,129450.0,457475.0,37.0,400.0,36.0,200.0,550.0,51900.0
2030,772950.0,882600.0,63650.0,691825.0,129600.0,457625.0,37.0,400.0,36.0,200.0,350.0,55400.0
2031,771150.0,884200.0,61575.0,693975.0,129700.0,457650.0,37.0,400.0,36.0,200.0,2575.0,20025.0
2032,769425.0,885750.0,59675.0,695900.0,129825.0,457675.0,37.0,400.0,36.0,200.0,130550.0,57750.0
2033,767925.0,886850.0,58000.0,697575.0,129950.0,457950.0,37.0,400.0,36.0,200.0,0.0,48800.0
2034,766725.0,887850.0,56300.0,699275.0,129975.0,458125.0,37.0,400.0,36.0,200.0,200.0,14925.0
2035,765800.0,888725.0,54625.0,700950.0,129975.0,458175.0,37.0,400.0,36.0,200.0,225.0,55400.0
2036,765000.0,889425.0,53075.0,702500.0,130025.0,458225.0,37.0,400.0,36.0,200.0,4425.0,43875.0
2037,764325.0,890025.0,52000.0,703575.0,130050.0,458275.0,37.0,400.0,36.0,200.0,4000.0,61750.0
2038,763750.0,890575.0,51075.0,704500.0,130050.0,458300.0,37.0,400.0,36.0,200.0,125.0,62575.0
2039,763275.0,890975.0,50175.0,705400.0,130075.0,458350.0,37.0,400.0,36.0,200.0,171125.0,61075.0
2040,762800.0,891400.0,49275.0,706300.0,130100.0,458375.0,37.0,400.0,36.0,200.0,3600.0,59675.0
2041,760025.0,894250.0,48325.0,707325.0,130150.0,458175.0,37.0,400.0,36.0,200.0,149325.0,60425.0
2042,757875.0,896450.0,47625.0,708025.0,130200.0,458075.0,37.0,400.0,36.0,200.0,6500.0,60575.0
2043,755775.0,898525.0,47000.0,708650.0,130225.0,458075.0,37.0,400.0,36.0,200.0,180875.0,60800.0
2044,753775.0,900475.0,46425.0,709225.0,130325.0,458025.0,37.0,400.0,36.0,200.0,147275.0,60900.0
2045,751950.0,902175.0,45675.0,709975.0,130425.0,458050.0,37.0,400.0,36.0,200.0,5050.0,59900.0
2046,750500.0,903400.0,45000.0,710650.0,130600.0,458100.0,37.0,400.0,36.0,200.0,101625.0,60225.0
2047,749050.0,904725.0,44350.0,711300.0,130725.0,458100.0,37.0,400.0,36.0,200.0,179750.0,58425.0
2048,747800.0,905925.0,43625.0,712025.0,130850.0,458025.0,37.0,400.0,36.0,200.0,171325.0,57350.0
2049,746550.0,907075.0,42875.0,712775.0,130850.0,458125.0,37.0,400.0,36.0,200.0,40650.0,55425.0
2050,745450.0,908275.0,42150.0,713500.0,130800.0,458075.0,37.0,400.0,36.0,200.0,0.0,0.0
2051,743350.0,910500.0,41400.0,714250.0,130875.0,457875.0,37.0,400.0,36.0,200.0,0.0,0.0
