'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2020,'B1',0.5,12849.0,19714.0,24348.0,8102.0,36731.0,13365.0,11033.0,30552.0,19837.0,16886.0,20996.0,24917.0,13860.0,37494.0,99200.0,116496.0,253190.0
2020,'B1',0.1,12862.0,19088.0,24095.0,8137.0,37125.0,13438.0,11047.0,30203.0,19775.0,16540.0,20852.0,24988.0,13716.0,37623.0,98109.0,116134.0,251866.0
2020,'B1',0.2,12995.0,19474.0,23940.0,8104.0,36902.0,13484.0,10942.0,30407.0,19563.0,16333.0,20903.0,24873.0,13906.0,37711.0,97981.0,116134.0,251826.0
2030,'B1',0.1,14401.0,20332.0,24957.0,8810.0,36631.0,15045.0,11637.0,31213.0,20482.0,18672.0,21742.0,28174.0,15988.0,39640.0,99708.0,128736.0,268084.0
2030,'B1',0.2,14214.0,20363.0,24836.0,8723.0,37902.0,14998.0,11523.0,31799.0,20915.0,19660.0,21731.0,27909.0,16211.0,39242.0,102969.0,128573.0,270784.0
2030,'B1',0.5,14238.0,20523.0,25626.0,8677.0,38359.0,14935.0,11645.0,31639.0,20997.0,19392.0,21835.0,27965.0,16113.0,39399.0,103917.0,128628.0,271944.0
2040,'B1',0.5,15007.0,21265.0,25403.0,9087.0,38670.0,16263.0,11949.0,32581.0,22456.0,21925.0,22246.0,29662.0,17312.0,40937.0,106558.0,136331.0,283826.0
2040,'B1',0.2,15056.0,20841.0,25612.0,9199.0,38082.0,16381.0,11855.0,32138.0,21625.0,20564.0,22070.0,29864.0,17452.0,41023.0,103630.0,136086.0,280739.0
2040,'B1',0.1,15298.0,20644.0,24700.0,9178.0,37124.0,16367.0,12009.0,32173.0,21332.0,20168.0,22589.0,29855.0,17344.0,41418.0,100968.0,136395.0,278781.0
2050,'B1',0.2,16512.0,39464.0,31895.0,9705.0,73815.0,17417.0,12368.0,51022.0,25010.0,30293.0,22516.0,30832.0,17975.0,44116.0,184214.0,150494.0,378824.0
2050,'B1',0.1,16218.0,39441.0,31973.0,9733.0,72371.0,17042.0,12499.0,50651.0,24119.0,29466.0,23095.0,30781.0,17861.0,43047.0,181458.0,150745.0,375250.0
2050,'B1',0.5,16401.0,39745.0,31450.0,9683.0,73722.0,17564.0,12464.0,50486.0,25587.0,30241.0,22608.0,30632.0,17908.0,44333.0,183427.0,150731.0,378491.0
