'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt'
2020,'M1',0.1,3518.893036049587,66871.9177473819,23197.193779325946,899.6495701849999,133700.51333866935,1219.0953424389977,1801.9715752729612,44975.67249587795,7984.987692160534,30064.17691367972,772.7128697944977,0.0,8.825629505000002,9428.534515675343,271005.77502225543,34581.3004526019,315015.60999077914
2020,'M1',0.2,3599.866820082091,66779.29214210193,23621.676944872946,925.2690575834996,132329.89058732346,1124.4146735884979,1753.614089700954,46091.65340815183,7998.135188625019,29939.5608824282,788.4775883399979,0.0,0.0,9571.201247643894,271186.9257927978,34193.72434254837,314951.85138323955
2020,'M1',0.5,3624.3294979045877,66394.87334754382,23961.21318379543,910.6684930459991,132842.4387600766,1111.5990730019978,1865.7202133834542,45132.482670584264,7973.339997210536,30481.05900153139,761.4925023764988,0.0,4.847353357000001,9576.059044002855,271264.0441040082,34223.960945991865,315064.0640942504
2030,'M1',0.1,11354.258903576403,250309.45214836916,84956.0643762794,3080.121035815071,482918.50383927376,4107.806030147997,5715.333129868397,196869.89839066725,31111.217894462025,106930.44544477481,2339.3195717725243,0.0,47.731539702,31221.055997111882,1014912.9599717256,133606.13633663335,1179740.1523068438
2030,'M1',0.5,11618.118351706391,248900.04108388934,84796.74186029901,3061.02511887158,484021.5896681188,3963.1604970209987,5808.052300586907,196477.91538039714,31070.148718497094,106228.46419711156,2378.876284780027,0.0,24.276215579000002,31387.08106468052,1013989.2107728847,132972.1178400673,1178348.4096789798
2030,'M1',0.2,11713.222649276871,250070.8890625475,85149.25448902162,3025.423093480075,482337.56628314435,3929.030354994495,5646.978374196388,197631.91217439724,30943.527000073984,104732.15000277471,2550.1287772925566,0.0,0.0,31371.19031416696,1013276.0874383106,133082.8045094915,1177730.0822633582
2040,'M1',0.1,18592.366426000528,433120.8795933344,145661.1695991665,4965.00142435605,830073.3345338285,6997.849743550978,8875.10309452572,371978.4566888496,56430.95967314396,194320.15086393472,3596.8457084170914,0.0,60.075916362,50816.82346473247,1793212.9541392252,230642.41566181416,2074672.1932702651
2040,'M1',0.5,18720.451212150067,429510.2812531395,143496.9074176622,5150.688075453531,827859.528603878,6796.834796168984,8996.254639563029,361414.8120574021,53336.60163662071,177587.71316019827,3624.8502504555904,0.0,54.51691483700001,51211.28324326842,1756017.0092652824,229321.14750933237,2036549.4400223093
2040,'M1',0.2,18737.3658697585,430131.50408054626,144097.30619354453,4973.770517724548,827163.8491419333,6737.789981744476,8730.917861330216,364234.45867721,53720.81883827646,178290.24697965916,3994.636366685124,0.0,0.0,50385.553159940304,1761726.4744502907,228700.6368985139,2040812.6645131751
2050,'M1',0.1,24482.81555490986,592429.5713988263,204922.48702802535,6471.586305687047,1146248.0839262304,9344.92053107396,11235.931024930085,533947.2015322086,78927.16470825321,270629.3536057441,5169.940758873064,0.0,101.62320660799999,64912.652123206324,2506770.061662461,312227.96579844184,2883910.679583731
2050,'M1',0.5,24421.88460165392,586505.0868546009,194726.73282608864,6810.618994307522,1133422.4622876572,9146.919404501949,11410.493529901407,513738.8541928599,73011.09220802649,241015.42602194872,4584.210977458091,0.0,89.765630955,67351.44036490688,2419483.1985958,312048.9085718658,2798883.5475341105
2050,'M1',0.2,24294.752924913988,590909.1005426062,195445.84284599466,6481.452125747537,1134034.4645282587,9253.420896002452,11089.734370084601,524369.718147607,75218.65273341342,252599.96101746307,5040.966475630605,0.0,0.0,66266.6474293464,2452113.2733272356,310358.1458538129,2828738.0666115233
