year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,869225.0,795425.0,172325.0,579650.0,110700.0,470925.0,37.0,400.0,36.0,200.0,0.0,575.0
2016,847875.0,814925.0,151900.0,601725.0,111400.0,470425.0,37.0,400.0,36.0,200.0,0.0,1225.0
2017,837050.0,824400.0,136025.0,618275.0,111725.0,470775.0,37.0,400.0,36.0,200.0,225.0,48525.0
2018,829850.0,830525.0,122050.0,632425.0,112425.0,470975.0,37.0,400.0,36.0,200.0,0.0,41775.0
2019,824325.0,834900.0,111250.0,643400.0,113025.0,471350.0,37.0,400.0,36.0,200.0,129050.0,64800.0
2020,787250.0,870775.0,102975.0,652125.0,123075.0,462050.0,37.0,400.0,36.0,200.0,157625.0,67375.0
2021,780975.0,877375.0,95775.0,659375.0,126075.0,458675.0,37.0,400.0,36.0,200.0,147600.0,66800.0
2022,775050.0,883150.0,89425.0,665725.0,127250.0,457650.0,37.0,400.0,36.0,200.0,75.0,55750.0
2023,769875.0,888075.0,84225.0,670950.0,127775.0,457350.0,37.0,400.0,36.0,200.0,125.0,33200.0
2024,765450.0,891975.0,79875.0,675325.0,128200.0,457425.0,37.0,400.0,36.0,200.0,600.0,49050.0
2025,761450.0,895625.0,76200.0,679000.0,128375.0,457600.0,37.0,400.0,36.0,200.0,175.0,21825.0
2026,758250.0,898550.0,73225.0,681975.0,128400.0,457850.0,37.0,400.0,36.0,200.0,0.0,19125.0
2027,755375.0,901050.0,70825.0,684375.0,128400.0,458225.0,37.0,400.0,36.0,200.0,5950.0,63550.0
2028,752400.0,903700.0,68475.0,686725.0,128525.0,458425.0,37.0,400.0,36.0,200.0,155700.0,58100.0
2029,749625.0,906300.0,66100.0,689100.0,128575.0,458550.0,37.0,400.0,36.0,200.0,300.0,44800.0
2030,740050.0,937600.0,64650.0,706675.0,111350.0,437925.0,37.0,400.0,36.0,200.0,300.0,49325.0
2031,731450.0,945725.0,62125.0,709600.0,111875.0,437475.0,37.0,400.0,36.0,200.0,2375.0,18575.0
2032,721200.0,955375.0,59750.0,712350.0,112300.0,437275.0,37.0,400.0,36.0,200.0,137075.0,47975.0
2033,712575.0,963700.0,57525.0,714900.0,112275.0,437275.0,37.0,400.0,36.0,200.0,0.0,39225.0
2034,704650.0,971475.0,55350.0,717225.0,111850.0,437700.0,37.0,400.0,36.0,200.0,400.0,13500.0
2035,697550.0,978300.0,53225.0,719400.0,112050.0,437725.0,37.0,400.0,36.0,200.0,175.0,42500.0
2036,691125.0,984375.0,51125.0,721650.0,112000.0,437975.0,37.0,400.0,36.0,200.0,5375.0,32025.0
2037,684400.0,990300.0,49600.0,723400.0,112575.0,437975.0,37.0,400.0,36.0,200.0,5225.0,43750.0
2038,677975.0,996400.0,48275.0,724850.0,112875.0,437875.0,37.0,400.0,36.0,200.0,125.0,41975.0
2039,671975.0,1001725.0,47000.0,726200.0,113100.0,438250.0,37.0,400.0,36.0,200.0,187275.0,42550.0
2040,591475.0,1110950.0,45725.0,734325.0,88325.0,427450.0,37.0,400.0,36.0,200.0,5975.0,37275.0
2041,531600.0,1171875.0,44500.0,735875.0,87950.0,426450.0,37.0,400.0,36.0,200.0,165425.0,32050.0
2042,505550.0,1198300.0,43475.0,736975.0,88075.0,425875.0,37.0,400.0,36.0,200.0,8125.0,29550.0
2043,496475.0,1207375.0,42800.0,737700.0,88275.0,425625.0,37.0,400.0,36.0,200.0,200150.0,27550.0
2044,486300.0,1217925.0,42175.0,738400.0,88500.0,424950.0,37.0,400.0,36.0,200.0,160500.0,24875.0
2045,476625.0,1227900.0,41475.0,739175.0,88475.0,424600.0,37.0,400.0,36.0,200.0,5250.0,22500.0
2046,468050.0,1236600.0,40825.0,739975.0,88350.0,424450.0,37.0,400.0,36.0,200.0,108850.0,20575.0
2047,460775.0,1244125.0,40250.0,740550.0,88650.0,423900.0,37.0,400.0,36.0,200.0,201325.0,17625.0
2048,454850.0,1250125.0,39625.0,741225.0,88575.0,423850.0,37.0,400.0,36.0,200.0,195250.0,17000.0
2049,449700.0,1255225.0,39000.0,741950.0,88750.0,423625.0,37.0,400.0,36.0,200.0,59000.0,15725.0
2050,422225.0,1285475.0,38325.0,745325.0,84925.0,421975.0,37.0,400.0,36.0,200.0,0.0,0.0
2051,403100.0,1304500.0,37650.0,746100.0,84650.0,422250.0,37.0,400.0,36.0,200.0,0.0,0.0
