'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2015,'B2',0.1,15192.14724999804,38982.65899999767,33532.86099999738,9009.993499999788,73364.3679999946,14465.9804999981,12704.77849999919,43041.027499997006,26500.830249997332,25254.847749997603,22626.829249998787,24102.861749998356,13533.896499999802,48124.863749992845,169795.8517499895,131237.55974998552,352313.08075005264
2016,'B2',0.1,15226.41249999804,39365.34924999764,33680.31124999736,9038.901499999773,74467.11899999456,14543.459249998132,12698.164249999189,44754.35024999697,26676.761499997345,25371.80574999761,22799.750999998843,24676.261249998366,13541.8417499998,48245.01449999287,173206.47574998942,132234.1927499855,356840.4885000512
2017,'B2',0.1,15184.891499998066,39403.991499997726,33785.96974999735,9013.58224999979,75293.88349999454,14585.957249998162,12297.295249999328,45935.8152499968,26661.627249997397,24718.09624999809,22749.927499998947,24989.13649999839,13552.460249999802,48246.18174999289,175626.61199998943,131145.03474998614,358172.6340000557
2018,'B2',0.1,15258.068249998036,39846.51724999766,33878.43249999734,9026.761749999789,75978.12824999451,14613.710999998186,12314.926749999331,47053.226249996515,26917.369499997352,24803.69999999808,22930.01449999887,25198.5177499984,13565.476999999804,48377.267249992874,177872.69599998946,131980.08199998603,361384.85075005493
2019,'B2',0.1,15047.873499998115,28953.94799999857,33770.78674999744,9004.486499999788,57026.5132499961,14624.769499998201,12294.28749999933,46527.21024999634,26781.037749997427,21182.339249998447,22826.95249999896,25345.500999998403,13572.555999999806,47844.996999993076,147943.93474999085,128125.41649998663,326958.26175004913
2020,'B2',0.1,14144.903499998267,30044.688499998465,30503.08074999786,8887.308999999823,55320.65399999628,14267.96749999819,12295.109999999333,45971.93924999623,25371.258749997574,21334.826749998443,23128.48899999903,25471.593499998424,13579.634999999807,45780.98174999362,143655.57274999146,128242.97099998673,320321.4555000493
2021,'B2',0.1,14226.625999998265,29851.529249998443,34151.027249997394,9005.520249999796,56231.74324999623,14415.415999998202,12363.622249999333,43968.086249996006,25218.962749997612,22529.675999998297,23145.263249999036,25556.798499998433,13596.19124999981,45973.53874999363,146717.10974999133,128588.27699998669,324260.4622500451
2022,'B2',0.1,14364.892249998205,41803.68099999734,34238.60074999739,9056.912749999776,77397.4082499944,14394.123749998207,12410.197749999325,48767.34199999576,26473.720249997525,25526.312999998103,23141.782499999048,25605.50774999843,13603.27024999981,46245.36674999348,183350.95199999004,134032.62799998603,366783.75225005456
2023,'B2',0.1,14543.066499998122,41968.109249997375,34347.08174999738,9059.033749999775,77588.72174999441,14380.790249998205,12554.497999999268,49811.92549999536,26502.491749997538,25584.462999998108,23173.490749999044,25656.530749998426,13613.88874999981,46777.521999993245,184037.85149999007,134813.91274998587,368784.091750051
2024,'B2',0.1,14324.788249998208,42227.27749999735,34497.20599999735,9027.786749999796,77737.1479999944,14373.08224999821,12429.324499999331,49632.79524999537,26400.771999997578,25653.301999998104,23306.629249998965,25680.18799999843,13617.428249999812,46160.61074999346,184632.58399999014,134966.65849998593,368907.7280000537
