'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2015,'B2',0.1,15641.386249998053,39207.009499997665,33990.397749997275,9220.538999999771,75463.01399999477,14993.493249998257,13100.513999999275,44930.82599999738,27226.142499997266,27093.64499999719,23482.088749998846,25068.448249998357,13933.92174999986,49455.650999992795,176181.58699998952,134559.38249998487,363351.4260000545
2016,'B2',0.1,16076.535249998047,39667.621999997624,34402.35349999724,9355.757249999788,77151.32874999504,15375.216999998313,13181.006749999291,46969.858749997235,27569.294249997274,27595.348249997143,23948.5034999989,26182.751249998393,14332.922999999922,50078.95649999279,181334.10824998995,137240.62924998451,371808.49950005446
2017,'B2',0.1,16541.954999998106,39750.8044999977,34724.751999997185,9411.630749999813,78217.416999995,15767.324749998379,12956.002999999417,48767.756749996675,27853.467249997284,27148.42674999746,24140.228999998988,27070.52474999841,14756.868999999982,50864.05174999272,184947.19624999046,138141.10699998474,377107.1605000555
2018,'B2',0.1,17097.522749998087,40257.35124999761,35054.75774999713,9536.44274999983,79072.96874999492,16148.380249998425,13080.828999999412,50232.82424999628,28280.622749997212,27518.0427499974,24456.132999998892,27769.040499998402,15107.395250000038,51703.33849999269,187947.23074999088,140806.93624998417,383612.31100005424
2019,'B2',0.1,17259.76524999817,29724.189249998526,35188.073749997166,9630.57774999983,59531.797499995875,16501.002249998455,13044.034499999423,49740.75924999603,28414.163249997207,23264.545249997802,24467.59324999897,28301.103999998377,15450.958250000092,51737.120749992915,156940.00674999107,138818.3147499843,350518.5635000572
2020,'B2',0.1,17282.58049999827,30252.65099999848,31209.782999997686,9629.388249999862,57528.58624999608,16713.139249998465,13168.083249999432,49293.21374999585,27389.148749997228,23528.23524999777,24550.45574999897,28821.42649999831,15772.25875000015,51682.53924999312,150615.11749999152,140150.84824998406,345138.9502500617
2021,'B2',0.1,18039.182499998184,30422.920249998457,35684.69549999712,9811.008749999844,58561.758499995965,17156.55599999845,13332.584499999433,46728.34399999567,27971.514999997158,25783.502249997506,24724.364499998923,29307.650499998264,16156.637250000222,52930.54899999306,155242.4057499912,142470.7819999835,353680.719500058
2022,'B2',0.1,18579.265499998102,42349.10749999735,35854.26724999709,9950.774749999833,81189.38549999462,17444.240999998412,13426.875999999444,53114.922749995356,29461.444999997035,28722.146749997326,24820.296499998913,29683.04999999822,16481.13000000024,53831.90424999287,195032.8219999922,149057.37674998248,401076.908500056
2023,'B2',0.1,19141.99624999798,42592.98899999737,36025.27699999706,10045.625249999839,81525.86699999454,17728.36499999839,13610.181249999398,54340.49149999497,29709.57449999697,28953.481499997324,24922.8314999989,30103.152749998164,16818.63950000017,55024.44424999264,196192.5104999924,151146.71174998197,405518.47200005257
2024,'B2',0.1,19347.417999997997,42880.79299999736,36218.16824999701,10102.033999999863,81762.15724999452,18003.857999998363,13557.368249999457,54450.50724999488,29911.795999996924,29286.969499997304,25089.85924999884,30422.268499998125,17106.596000000114,55138.78649999283,197277.7394999926,152575.39249998168,408139.79325005546
