'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt','total_wu'
2015,'B2',0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.418169204000003,0.0,0.0,0.0,0.0,9.661527788000003,0.0,1.756641416,11.418169204000003,1798537500.0
2016,'B2',0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.202536,20.243494803999997,0.0,0.0,0.0,0.0,19.74761418800001,0.0,4.698416616,24.446030803999985,1726568750.0
2017,'B2',0.1,16.454423946999988,132.9344250455001,0.0,16.021412790499987,0.0,0.0,135.965503141,73.48432104000011,73.61492167952008,287.5194079159974,50.229294154000065,0.0,0.0,48.354114173505,84.87018667400011,652.9994088660119,786.2237097135348,1665400000.0
2018,'B2',0.1,16.454423946999988,275.94948130150135,0.0,37.191404670500035,0.0,0.0,271.45345117300144,145.4622934319997,84.90558401551993,579.6652958599849,50.229294154000065,0.0,0.0,58.70388798150502,178.01815094599968,1224.5891896259898,1461.3112285535058,1612712500.0
2019,'B2',0.1,131.45192844300075,7870.773036386264,68.27976829450002,66.45416251100005,13578.481941966727,0.0,489.52230090146804,1196.9154611354725,242.85622678484935,3947.0332149204296,108.75480983500064,0.0,0.0,422.8364798176045,22602.726612718412,4586.5460653945565,27700.52285117638,1568337500.0
2020,'B2',0.1,519.1303446444505,15773.372609850789,3109.4013006969612,164.85732423733054,29530.744438772217,92.15353829105506,678.5832461686879,3194.793695966049,1347.3883270550937,7461.256749729565,206.4513281661067,0.0,0.0,1263.5095101268453,51710.51191151817,8690.735311546385,62078.13290355297,1528081250.0
2021,'B2',0.1,710.4607027179347,24340.08365127887,3166.405330683468,199.8498971003312,45942.08581664912,92.15353829105506,837.7430130616748,7754.732305377594,2319.6928198208116,9713.367783263566,255.0256008702125,0.0,0.0,1742.754375345581,80210.15013217999,12878.35194970205,95331.6004590762,1490625000.0
2022,'B2',0.1,829.8337160294366,24445.65978365479,3227.591498310469,201.0496258773312,45942.08581664912,92.15353829105506,1001.5059911221773,8115.250802865826,2403.9815293559714,10011.500384347844,318.01136166271345,0.0,0.0,2112.386224341021,80318.12572210983,13657.768099829049,96588.62404812063,1457062500.0
2023,'B2',0.1,846.0823094419353,24618.544817563325,3277.637166020974,203.64940082333123,45942.08581664912,92.15353829105506,1108.7467076446837,8115.250802865826,2498.59842691642,10346.221408645377,366.1071981637139,0.0,0.0,2161.2986960309413,80437.0654258893,14316.369469219113,97415.07759297802,1424968750.0
2024,'B2',0.1,984.357536129927,24803.847659419644,3277.637166020974,238.74463602333054,45942.08581664912,98.51568510513506,1304.5781200607037,8403.031731505675,2669.404459324092,10676.11661952509,366.1071981637139,0.0,0.0,2586.7161180783314,80545.15875030514,15125.845610843,98764.42662786927,1394637500.0
2025,'B2',0.1,996.9005940504275,24803.847659419644,3277.637166020974,240.22028989633054,45942.08581664912,98.51568510513506,1369.506890472696,8403.031731505675,2754.538403384217,10994.120029156553,436.9385840677166,0.0,0.0,2628.9141766401467,80635.17363655813,15546.548887829285,99317.34284967031,1365425000.0
2026,'B2',0.1,996.9005940504275,24881.45814644176,3343.945154932994,240.22028989633054,45942.08581664912,98.51568510513506,1460.680375226696,8406.045731001672,2792.9668969582285,11254.077485686317,506.2605724757165,0.0,0.0,2637.2026752541465,80740.66361891817,16038.584305551089,99923.15674836723,1340762500.0
2027,'B2',0.1,1260.1909834564642,25084.320898836064,3410.405884953049,285.46848745632997,45942.08581664912,255.73409640559487,1651.4769416046936,8849.478067089265,4405.168604606836,11567.79832210203,621.2278138898557,0.0,0.0,3541.5193997852575,81949.83652563134,17321.622676731837,103333.3559169879,1314731250.0
2028,'B2',0.1,1475.487301955941,37493.55898447315,3462.917182148059,323.7267182698287,68863.37250613692,262.53364748523984,1848.8655839464636,16129.517224038762,6031.5692410864995,14512.234283261418,689.5405988265034,0.0,0.0,4254.817416383059,123084.80255880023,23104.134511032367,151093.32327151985,1290431250.0
2029,'B2',0.1,1610.807031018425,37684.950424473536,3462.917182148059,362.6031045198301,68863.37250613692,262.53364748523984,2030.5379273839424,16443.518805288775,6174.384548511489,14772.407022011308,689.5405988265034,0.0,0.0,4667.189008411246,123181.24590161275,23852.79256123939,152357.5727976745,1267581250.0
2030,'B2',0.1,1761.1618572239172,37756.05418464964,3505.87570392107,404.8209621243311,68863.37250613692,262.53364748523984,2203.8533428129813,16808.666240359817,6280.821910688195,15026.45483180656,742.8684189585006,0.0,0.0,5120.807907039561,123260.49696764215,24572.119937784584,153616.48360602726,1247687500.0
2031,'B2',0.1,1913.4647996364356,37756.05418464964,3505.87570392107,425.2251840743304,68863.37250613692,262.53364748523984,2204.5820650254814,17033.841404022765,7174.526403438058,15026.45483180656,806.2672514459983,0.0,0.0,5518.148408666604,124082.45961589165,24701.925939516826,154972.19798149285,1228425000.0
2032,'B2',0.1,2052.057921717432,49046.41134178968,3543.0243758190804,477.46781521703895,88121.16249270114,269.00903080284485,2440.07690942508,19232.467060016224,7310.372036640434,18848.04797075303,855.5606814644965,0.0,0.0,5963.09914772785,155482.38084119,29996.33364672641,192195.6576361237,1210425000.0
2033,'B2',0.1,2171.1208410974623,49241.81460359522,3543.0243758190804,510.38521057503937,88121.16249270114,269.00903080284485,2596.95981496112,19524.52139755354,7334.88499063044,19060.26011529453,855.5606814644965,0.0,0.0,6276.864958799928,155562.92340430012,30635.071190693714,193228.70355428202,1192018750.0
2034,'B2',0.1,2303.129802505425,49241.81460359522,3543.0243758190804,537.8870775350405,88121.16249270114,269.00903080284485,2685.653335907095,19524.52139755354,7433.777255387183,19060.26011529453,855.5606814644965,0.0,0.0,6495.30217708276,155562.92340430012,30763.730586481714,193575.80016834778,1174231250.0
2035,'B2',0.1,2482.0430303453822,49401.148648010756,3543.0243758190804,572.3194345910381,88121.16249270114,269.00903080284485,2828.783918179061,19830.361745522292,7488.723672089899,19272.255411679052,855.5606814644965,0.0,0.0,6908.620327738028,155624.3615315962,31377.566581169773,194664.3924409948,1157837500.0
2036,'B2',0.1,2618.5606716244274,49554.23396420304,3567.5445346895885,604.7920774195377,88121.16249270114,275.01588498464986,2966.6269734511066,19916.51365506726,8877.504928439934,19449.19817974449,900.004541443301,0.0,0.0,7231.222975013016,156641.04060596423,32213.036613725402,196851.15790354693,1139881250.0
2037,'B2',0.1,2824.4565495683983,49725.596672745975,3591.001027113585,626.9454313755384,88121.16249270114,275.01588498464986,3094.3345433150885,20229.266887387217,10095.339952324573,19597.10439586247,943.0498879734822,0.0,0.0,7754.491711146018,157586.21843508523,33010.79996986198,199123.27372513665,1124293750.0
2038,'B2',0.1,3020.622938560936,49863.87789777409,3604.507565372088,654.6016763810388,88121.16249270114,275.01588498464986,3224.8977464806135,20521.90854965436,10143.18185117443,19747.605822171285,983.5695027489828,0.0,0.0,8184.25197681453,157641.530925096,33563.40541683366,200160.95192776973,1109187500.0
2039,'B2',0.1,3471.3550400431545,60266.20763755928,7343.571229322906,793.9698265884406,107705.13529920677,431.27098716406556,3422.080693870528,28315.21416248588,11373.225209415563,23926.83405056968,1050.1757456037062,0.0,0.0,9146.576134236908,198789.53447163882,39009.20875027304,248099.03988162903,1096631250.0
2040,'B2',0.1,3647.7268890336663,60411.4209592837,7356.305658852898,817.5285212189422,107705.13529920677,431.27098716406556,3542.4210529290363,28601.738826911514,11401.363429630273,25678.424869057613,1087.7423127172087,0.0,0.0,9545.24542869147,200401.27503594433,39528.89595034612,250681.07880581278,1084162500.0
2041,'B2',0.1,4121.091495356798,70737.69954593955,10979.492457181695,938.5498553118246,125623.4196683956,587.1323524889254,3737.155694749162,31028.069271735978,12732.851727821608,29692.020143472648,1159.9125276301124,0.0,0.0,10491.770469066847,234418.4159667608,44869.41468052847,291337.3947399785,1071862500.0
2042,'B2',0.1,4287.772059206692,70882.0283100407,10991.626291331688,965.3720150118265,125623.4196683956,621.8636683559254,3857.216790549171,32819.87556595083,13822.974546543228,29815.27435352292,1198.2708456246148,0.0,0.0,10974.708713712116,236804.2493260357,45543.15389840706,294885.6941144277,1060493750.0
2043,'B2',0.1,4721.603939458034,81150.5640780047,14451.303993682122,1081.630682485411,145187.26023992198,767.3413644560497,4037.4278648597247,42844.26371380629,15127.055534321333,34049.39528726598,1282.0181889181492,0.0,0.0,12056.271987322942,279754.75501752424,50958.65191177919,344699.86488732946,1050243750.0
2044,'B2',0.1,5164.77973467742,91032.08173095706,16115.802931384616,1241.1345464632511,159746.0797569675,878.7908289295691,4194.45089514849,51395.28212773327,16446.163190083218,38310.94947164136,1328.0481794063105,0.0,0.0,13193.432551885453,314456.9139935494,56079.460754930304,385853.5633935773,1040312500.0
2045,'B2',0.1,5349.022982377531,91167.97745975657,16125.603104134609,1267.9216853132486,159746.0797569675,896.5568126830691,4315.319692398563,51672.30034413228,17727.885508800686,38419.40471674097,1375.1308995408067,0.0,0.0,13744.721861751157,315432.40128281596,56756.4017306679,388063.2029630287,1029612500.0
