'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2015,'B2',0.1,15645.235999998065,39305.84574999766,34049.689499997265,9231.321499999767,75357.28499999478,14977.84924999825,13109.402499999278,45010.159249997414,27280.105999997235,27111.54124999718,23529.84099999883,25108.84324999836,13868.883999999847,49482.77024999281,176202.25774998957,134746.1707499848,363586.0042500548
2016,'B2',0.1,16054.4689999981,39746.30924999761,34434.81774999722,9361.457499999766,77072.80149999504,15361.632999998308,13184.474749999275,47065.997249997214,27646.47674999725,27624.539499997132,23954.3532499989,26228.0584999984,14251.444749999913,50113.8092499928,181347.03249999,137371.18549998445,371986.8327500544
2017,'B2',0.1,16467.142999998126,39843.86774999768,34751.394249997174,9463.966249999783,78139.593249995,15706.212749998369,12978.772249999407,48858.90374999666,27897.77274999726,27210.075499997463,24156.382749998982,27121.706499998403,14631.945499999967,50825.30524999278,185012.4982499905,138235.12724998468,377227.73625005654
2018,'B2',0.1,17020.05049999815,40325.696249997614,35065.75349999713,9542.530999999788,78998.28299999492,16094.266499998434,13051.149249999426,50339.73049999625,28357.798499997178,27541.348749997414,24449.483249998895,27870.862249998398,15042.643250000043,51670.34449999275,188029.9722499909,140844.4742499841,383699.59650005464
2019,'B2',0.1,17218.49499999822,29837.471749998524,35209.54524999715,9609.371999999796,58514.163249995945,16432.614749998476,13134.195749999426,49849.60374999604,28519.49549999717,23340.493499997818,24488.942749998958,28467.027499998352,15376.613250000104,51751.165499992974,156499.78474999111,138744.75474998428,349998.0340000579
2020,'B2',0.1,17170.473749998306,29922.84999999852,31040.510499997723,9625.057749999827,57887.32149999604,16585.06824999849,13200.390499999441,49565.98449999589,27633.979249997203,23548.482499997823,24601.00624999895,28891.56099999831,15707.275250000152,51561.53099999318,151191.65399999145,139950.1922499841,345379.96100006293
2021,'B2',0.1,17899.78374999823,30643.613499998442,35643.76424999711,9786.789249999822,58295.954999995985,17048.43099999845,13339.476499999437,46908.80874999564,27876.14699999716,25630.65149999757,24735.655999998926,29339.537749998264,16038.962750000208,52800.94374999313,154954.42974999116,142374.42849998357,353187.577000058
2022,'B2',0.1,18422.858249998157,42429.15324999733,35807.17474999709,9932.22024999981,81037.63124999462,17287.090999998454,13477.051499999441,53234.35749999533,29540.366249997,28866.86374999734,24845.495499998913,29741.59474999818,16367.110750000267,53664.90949999296,195174.0654999921,148995.18824998252,400988.9687500577
2023,'B2',0.1,18950.381999998055,42654.47774999734,35972.19299999706,10007.91749999982,81322.39399999457,17572.545999998434,13669.94974999939,54414.48149999495,29819.95599999695,29171.38124999735,24956.832249998897,30077.552499998157,16628.00825000022,54828.13249999273,196342.6834999923,150892.45024998207,405218.0717500532
2024,'B2',0.1,19088.754749998076,42920.56974999734,36192.280499997,10096.663999999859,81579.02299999453,17882.36674999842,13628.371999999445,54490.121249994874,29958.067999996936,29402.883499997344,25117.98949999883,30430.74299999812,16868.524250000166,54768.85974999294,197460.35099999252,152286.2054999818,407656.36025005474
2025,'B2',0.1,19639.897999997935,43450.32074999721,36304.65449999699,10239.04674999986,81841.92799999448,18223.81924999837,13839.089999999404,55410.61599999458,30349.83474999687,29718.658499997364,25105.93449999888,30818.481999998035,17128.164750000116,55998.00149999275,198502.7894999927,154414.85124998118,412070.4477500573
2026,'B2',0.1,19954.201499997893,43529.59824999725,36342.341749996995,10325.203249999862,82089.02649999445,18489.55849999834,13873.51924999942,55863.48624999442,30669.225749996767,30065.200249997295,25185.712749998867,31132.969499998,17402.818750000064,56576.00849999275,199365.07724999293,155826.97099998087,414922.86225005536
2027,'B2',0.1,19875.64474999801,43528.04349999731,36433.29774999697,10349.24199999989,82316.36049999441,18543.157749998376,13787.001749999477,55689.924249994474,29416.003249996847,30201.59024999738,25284.662249998848,31451.746999997926,17661.318000000025,55995.020499993116,199138.5719999933,156256.525749981,414537.9930000548
2028,'B2',0.1,20208.48724999793,31198.10649999841,36523.750249996956,10432.312999999898,59433.68824999576,18944.93299999827,13908.92199999945,49117.16924999449,29688.25949999678,27744.38749999754,25410.469499998817,31739.408749997892,17906.800499999983,56747.09649999307,159747.04649999138,152725.56949998107,372256.6952500595
2029,'B2',0.1,20569.734749997853,43872.35699999728,36655.448999996916,10518.783999999914,82726.97999999434,19202.081249998213,13946.064999999464,56654.63399999418,31260.20399999663,30782.03249999738,25556.945749998733,32059.55899999784,18062.53849999995,57462.6289999929,201908.19099999339,159348.66999998025,421867.3647500544
2030,'B2',0.1,20832.965499997812,44114.877999997225,36666.643749996925,10591.206499999935,82941.41249999429,19425.821999998185,13970.16549999947,57000.18574999406,31499.799749996557,31045.401999997386,25577.537499998765,32375.1352499978,18275.763999999912,57870.3602499929,202699.2429999936,160592.50924997998,424316.9180000556
2031,'B2',0.1,21169.27799999776,44318.274499997184,36776.370749996895,10683.617749999927,83091.45774999427,19681.935499998133,14261.786999999382,57518.36949999388,30863.995499996592,31638.49549999724,25648.40824999875,32606.280749997768,18452.738999999874,58543.090749992814,202672.2627499938,162347.78149997938,426711.00975005387
