'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt','total_wu'
2015,'B2',0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.418169204000003,0.0,0.0,0.0,0.0,5.709084602000002,0.0,5.709084602000002,11.418169204000003,1795800000.0
2016,'B2',0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5215216000000003,24.025777203999986,0.0,0.0,0.0,0.0,14.534410202000005,0.0,12.012888602000006,26.54729880399998,1724962500.0
2017,'B2',0.1,19.052490885999994,121.24312382000022,0.0,13.856357007999991,0.0,0.4330111565,135.09948082800003,75.70040704850011,90.0100549310301,284.0553186639973,47.63122721500006,0.0,0.0,49.691604848015004,84.43717551750011,652.9526911915111,787.0814715570449,1663993750.0
2018,'B2',0.1,19.052490885999994,270.37395550800176,0.0,30.32190624800002,0.0,0.4330111565,291.2869764760006,144.38526959249972,101.30071726702995,576.2012066079848,47.63122721500006,0.0,0.0,56.74826880801501,180.8782496374998,1243.3602425114882,1480.9867609570151,1612193750.0
2019,'B2',0.1,129.4295599335008,7834.611737869924,58.01213396449997,61.6381909545,14197.377794702075,0.4330111565,484.1013716128517,1212.3324858793826,199.23824533448933,3912.502888056789,100.50954401450053,0.0,0.0,365.04063332965427,23002.69471686443,4720.077863207983,28190.186963476455,1567168750.0
2020,'B2',0.1,568.4225623932805,16020.628193038148,3197.708374040015,153.5515649201404,29810.12725569839,121.68766680262509,687.1777781091067,3095.514471203216,1161.4753435203859,7445.489142752768,172.34983887088126,0.0,0.0,1288.3383754249858,51788.261644153594,8920.495572102822,62434.132191322686,1527600000.0
2021,'B2',0.1,756.930938784265,24463.85197202278,3262.0495564010225,189.67293045614107,46328.899484240734,121.68766680262509,855.9684704876983,7590.677645072486,2219.6188751043887,9869.951213555169,235.59841632398732,0.0,0.0,1769.9493892850346,80568.06521026048,13048.2354029192,95894.90716921209,1491562500.0
2022,'B2',0.1,864.9065287142666,24568.228375621704,3318.4368089200234,195.07170995264116,46328.899484240734,121.68766680262509,1018.5317197712008,7937.999126013728,2291.2335086947587,10153.687069315458,289.5862112889881,0.0,0.0,2114.9483364588295,80668.84242752836,13795.820278562558,97088.26820928958,1457687500.0
2023,'B2',0.1,874.6556847617659,24745.663015685725,3375.631857732029,198.3214286351412,46328.899484240734,121.68766680262509,1124.47254882071,7937.999126013728,2381.300800099707,10452.661188105487,343.53154141848864,0.0,0.0,2139.72954417204,80779.98280646982,14456.454824888331,97884.82434226805,1426912500.0
2024,'B2',0.1,1017.1423396737573,24947.10966573407,3375.631857732029,234.82047324314047,46328.899484240734,140.7741072448651,1306.9677718607286,8236.308625213796,2610.81496772018,10788.171636617195,343.53154141848864,0.0,0.0,2635.085576696231,80874.7399415097,15298.965492078269,99330.17247064006,1398093750.0
2025,'B2',0.1,1023.7827821022576,24947.10966573407,3375.631857732029,235.55830017964047,46328.899484240734,140.7741072448651,1384.4396001932196,8236.308625213796,2704.1596235360157,11116.504623359657,412.88727344949126,0.0,0.0,2675.117462175651,80958.1143853342,15751.442635061154,99906.0559429268,1369456250.0
2026,'B2',0.1,1023.7827821022576,25032.2551514962,3431.3908484080457,235.55830017964047,46328.899484240734,140.7741072448651,1482.3945838132195,8245.350623701788,2735.8066182440252,11356.11758329144,484.4697614794912,0.0,0.0,2682.6524609156513,81073.39986605624,16219.36605681498,100496.7998441437,1344337500.0
2027,'B2',0.1,1283.3024883782944,25229.838947508495,3489.5560755420984,275.52754135763996,46328.899484240734,311.66368474536506,1692.7987024672168,8674.454363895395,4221.951283588273,11668.330146455153,578.2244704335905,0.0,0.0,3521.7749613486167,82233.07035741923,17471.484826329754,103754.54718855006,1319606250.0
2028,'B2',0.1,1499.348968266271,37684.42340653761,3537.5664044061077,314.5359335596387,68964.60502838338,332.06233798430003,1863.883597628344,15954.68591517748,5668.562946443157,14667.162516251698,646.5853539533828,0.0,0.0,4141.523881357822,122851.27050853502,23496.81860683099,151133.42240848186,1295643750.0
2029,'B2',0.1,1641.3973026412543,37873.57197810049,3537.5664044061077,357.1504338721402,68964.60502838338,332.06233798430003,2030.6034848158245,16274.668478927346,5795.582303174397,14943.035334064081,648.0805995783828,0.0,0.0,4554.643096198511,122940.98524603502,24252.109390719303,152398.32368581754,1273937500.0
2030,'B2',0.1,1794.7147855207463,37948.3790591191,3576.0809411681175,408.25626149864144,68964.60502838338,332.06233798430003,2207.6222210873643,16600.56071306756,5902.85530880709,15217.081076408815,701.40841971038,0.0,0.0,5021.043244266303,123027.6429537494,24954.354001745276,153653.6261526154,1251200000.0
2031,'B2',0.1,1922.9698949207618,37948.3790591191,3576.0809411681175,426.4743168111408,68964.60502838338,332.06233798430003,2207.6222210873643,16796.58698823045,6780.4344649747045,15217.081076408815,754.6051412228782,0.0,0.0,5377.668749900591,123796.76381106989,25095.277732479517,154926.9014701625,1231500000.0
