year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,808550.0,803800.0,164525.0,610475.0,111400.0,499500.0,37.0,400.0,36.0,200.0,0.0,700.0
2016,768200.0,814200.0,142600.0,640825.0,118175.0,514250.0,37.0,400.0,36.0,200.0,0.0,825.0
2017,734550.0,821150.0,124300.0,662650.0,125075.0,530525.0,37.0,400.0,36.0,200.0,175.0,42875.0
2018,705575.0,826375.0,109225.0,680050.0,130125.0,546900.0,37.0,400.0,36.0,200.0,0.0,36400.0
2019,679450.0,830350.0,97450.0,693350.0,133700.0,563950.0,37.0,400.0,36.0,200.0,137450.0,55825.0
2020,656100.0,832575.0,87800.0,704375.0,136300.0,581100.0,37.0,400.0,36.0,200.0,168325.0,62850.0
2021,636050.0,833875.0,79250.0,713550.0,138500.0,597025.0,37.0,400.0,36.0,200.0,158825.0,62650.0
2022,616100.0,834850.0,72325.0,720925.0,140275.0,613775.0,37.0,400.0,36.0,200.0,125.0,50725.0
2023,597450.0,835725.0,66675.0,726950.0,141775.0,629675.0,37.0,400.0,36.0,200.0,175.0,30200.0
2024,580175.0,835450.0,61725.0,732175.0,143225.0,645500.0,37.0,400.0,36.0,200.0,650.0,44825.0
2025,564025.0,835375.0,57375.0,736775.0,144400.0,660300.0,37.0,400.0,36.0,200.0,100.0,16825.0
2026,549450.0,834600.0,53450.0,740825.0,145175.0,674750.0,37.0,400.0,36.0,200.0,0.0,19375.0
2027,535600.0,833050.0,49975.0,744400.0,146075.0,689150.0,37.0,400.0,36.0,200.0,5775.0,52675.0
2028,522900.0,831700.0,46550.0,747900.0,146775.0,702425.0,37.0,400.0,36.0,200.0,164975.0,51125.0
2029,511025.0,830650.0,43525.0,751050.0,147525.0,714475.0,37.0,400.0,36.0,200.0,500.0,38450.0
2030,498150.0,828925.0,41100.0,753550.0,147850.0,728675.0,37.0,400.0,36.0,200.0,275.0,40800.0
2031,486475.0,827275.0,38675.0,756000.0,148300.0,741525.0,37.0,400.0,36.0,200.0,2675.0,14700.0
2032,475375.0,825550.0,36300.0,758375.0,148550.0,754100.0,37.0,400.0,36.0,200.0,141550.0,41300.0
2033,463825.0,824175.0,34125.0,760550.0,148750.0,766825.0,37.0,400.0,36.0,200.0,0.0,38125.0
2034,453900.0,822800.0,31975.0,762700.0,149050.0,777825.0,37.0,400.0,36.0,200.0,375.0,9100.0
2035,444475.0,820525.0,30175.0,764525.0,149325.0,789225.0,37.0,400.0,36.0,200.0,275.0,36400.0
2036,435525.0,819025.0,28575.0,766225.0,149675.0,799225.0,37.0,400.0,36.0,200.0,5275.0,29575.0
2037,426300.0,817100.0,27075.0,767750.0,150000.0,810025.0,37.0,400.0,36.0,200.0,6025.0,40400.0
2038,417825.0,815275.0,25800.0,769025.0,150375.0,819950.0,37.0,400.0,36.0,200.0,125.0,38275.0
2039,409625.0,813475.0,24700.0,770125.0,150325.0,830000.0,37.0,400.0,36.0,200.0,202475.0,40225.0
2040,401800.0,811650.0,23650.0,771200.0,150150.0,839800.0,37.0,400.0,36.0,200.0,7000.0,39325.0
2041,394750.0,809150.0,22700.0,772175.0,149850.0,849625.0,37.0,400.0,36.0,200.0,169725.0,37750.0
2042,387525.0,806900.0,21700.0,773175.0,149700.0,859250.0,37.0,400.0,36.0,200.0,13375.0,36300.0
2043,381325.0,804425.0,20825.0,774050.0,149675.0,867950.0,37.0,400.0,36.0,200.0,211125.0,35875.0
2044,375400.0,801775.0,20000.0,774875.0,149575.0,876625.0,37.0,400.0,36.0,200.0,170800.0,34825.0
2045,369150.0,799250.0,19150.0,775725.0,149600.0,885375.0,37.0,400.0,36.0,200.0,5550.0,35525.0
2046,363225.0,796850.0,18425.0,776450.0,149425.0,893875.0,37.0,400.0,36.0,200.0,109825.0,35125.0
2047,357900.0,795000.0,17775.0,777100.0,149325.0,901150.0,37.0,400.0,36.0,200.0,213125.0,34275.0
2048,352700.0,792700.0,17250.0,777625.0,149150.0,908825.0,37.0,400.0,36.0,200.0,204325.0,32950.0
2049,347750.0,790400.0,16775.0,778100.0,149075.0,916150.0,37.0,400.0,36.0,200.0,66450.0,33475.0
2050,343350.0,788225.0,16275.0,778600.0,148750.0,923050.0,37.0,400.0,36.0,200.0,0.0,0.0
2051,338400.0,785975.0,15925.0,778950.0,148725.0,930275.0,37.0,400.0,36.0,200.0,0.0,0.0
