year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,868775.0,796025.0,172325.0,579700.0,110800.0,470625.0,37.0,400.0,36.0,200.0,0.0,875.0
2016,847350.0,815475.0,151900.0,601775.0,111375.0,470375.0,37.0,400.0,36.0,200.0,0.0,1000.0
2015,868700.0,795900.0,172325.0,579675.0,110575.0,471075.0,37.0,400.0,36.0,200.0,0.0,850.0
2016,847250.0,815400.0,151900.0,601750.0,111250.0,470700.0,37.0,400.0,36.0,200.0,0.0,1050.0
2017,836125.0,824975.0,136025.0,618300.0,111625.0,471200.0,37.0,400.0,36.0,200.0,200.0,48700.0
2018,828825.0,830925.0,122050.0,632450.0,112250.0,471750.0,37.0,400.0,36.0,200.0,0.0,41725.0
2019,823750.0,834950.0,111250.0,643425.0,112850.0,472025.0,37.0,400.0,36.0,200.0,126650.0,65725.0
2020,818475.0,839350.0,102975.0,651825.0,113375.0,472250.0,37.0,400.0,36.0,200.0,157775.0,74700.0
2021,812900.0,844175.0,95775.0,659075.0,113800.0,472525.0,37.0,400.0,36.0,200.0,152350.0,74225.0
2022,806675.0,849575.0,89425.0,665425.0,114275.0,472875.0,37.0,400.0,36.0,200.0,175.0,61100.0
2023,800525.0,855100.0,84225.0,670650.0,114650.0,473100.0,37.0,400.0,36.0,200.0,75.0,39375.0
2024,794625.0,860175.0,79875.0,675025.0,115025.0,473525.0,37.0,400.0,36.0,200.0,800.0,54250.0
2025,789875.0,864400.0,76200.0,678700.0,115250.0,473825.0,37.0,400.0,36.0,200.0,150.0,25775.0
2026,786625.0,867450.0,73225.0,681675.0,115250.0,474025.0,37.0,400.0,36.0,200.0,0.0,25200.0
2027,783775.0,869950.0,70825.0,684100.0,115275.0,474325.0,37.0,400.0,36.0,200.0,5300.0,66850.0
2028,780925.0,872575.0,68475.0,686475.0,115350.0,474450.0,37.0,400.0,36.0,200.0,153550.0,64725.0
2029,777925.0,875125.0,66100.0,688850.0,115400.0,474850.0,37.0,400.0,36.0,200.0,325.0,52500.0
2030,775600.0,877300.0,64125.0,690825.0,115450.0,474950.0,37.0,400.0,36.0,200.0,400.0,55650.0
2031,773550.0,879100.0,62025.0,692925.0,115475.0,475175.0,37.0,400.0,36.0,200.0,2525.0,19825.0
2032,771525.0,880825.0,60125.0,694825.0,115525.0,475425.0,37.0,400.0,36.0,200.0,132800.0,58250.0
2033,769550.0,882650.0,58400.0,696550.0,115550.0,475550.0,37.0,400.0,36.0,200.0,0.0,49800.0
2034,767825.0,884225.0,56625.0,698325.0,115675.0,475575.0,37.0,400.0,36.0,200.0,275.0,14550.0
2035,766150.0,885625.0,54875.0,700075.0,115775.0,475750.0,37.0,400.0,36.0,200.0,225.0,55850.0
2036,764625.0,886875.0,53250.0,701700.0,115900.0,475900.0,37.0,400.0,36.0,200.0,5700.0,44850.0
2037,763350.0,887950.0,52150.0,702800.0,115950.0,476050.0,37.0,400.0,36.0,200.0,4975.0,62225.0
2038,762025.0,889100.0,51200.0,703750.0,116075.0,476100.0,37.0,400.0,36.0,200.0,100.0,61900.0
2039,760600.0,890275.0,50275.0,704675.0,116175.0,476250.0,37.0,400.0,36.0,200.0,181800.0,59025.0
2040,759275.0,891400.0,49350.0,705600.0,116275.0,476350.0,37.0,400.0,36.0,200.0,4000.0,61825.0
2041,758200.0,892400.0,48425.0,706525.0,116300.0,476400.0,37.0,400.0,36.0,200.0,158950.0,59400.0
2042,757100.0,893400.0,47675.0,707275.0,116325.0,476475.0,37.0,400.0,36.0,200.0,7775.0,61725.0
2043,755950.0,894525.0,47025.0,707925.0,116350.0,476475.0,37.0,400.0,36.0,200.0,195975.0,58025.0
2044,754850.0,895575.0,46450.0,708500.0,116350.0,476525.0,37.0,400.0,36.0,200.0,156025.0,60150.0
2045,753875.0,896525.0,45700.0,709250.0,116350.0,476550.0,37.0,400.0,36.0,200.0,5050.0,60575.0
2046,752900.0,897425.0,45025.0,709925.0,116375.0,476600.0,37.0,400.0,36.0,200.0,105300.0,57950.0
2047,751925.0,898325.0,44375.0,710575.0,116350.0,476700.0,37.0,400.0,36.0,200.0,193475.0,57400.0
2048,751050.0,899225.0,43650.0,711300.0,116350.0,476675.0,37.0,400.0,36.0,200.0,184800.0,57375.0
2049,750050.0,900150.0,42900.0,712050.0,116325.0,476775.0,37.0,400.0,36.0,200.0,55775.0,58425.0
2050,749350.0,900875.0,42175.0,712775.0,116350.0,476725.0,37.0,400.0,36.0,200.0,0.0,0.0
2051,748600.0,901575.0,41425.0,713525.0,116375.0,476750.0,37.0,400.0,36.0,200.0,0.0,0.0
