year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,869025.0,795800.0,172325.0,579675.0,110400.0,471025.0,37.0,400.0,36.0,200.0,0.0,850.0
2016,847675.0,815100.0,151900.0,601750.0,111050.0,470775.0,37.0,400.0,36.0,200.0,0.0,1075.0
2017,836700.0,824600.0,136025.0,618300.0,111425.0,471200.0,37.0,400.0,36.0,200.0,250.0,47725.0
2018,829575.0,830450.0,122050.0,632450.0,112250.0,471475.0,37.0,400.0,36.0,200.0,0.0,41825.0
2019,824200.0,834600.0,111250.0,643425.0,112925.0,471850.0,37.0,400.0,36.0,200.0,123225.0,65550.0
2020,819350.0,838550.0,102975.0,651825.0,113375.0,472175.0,37.0,400.0,36.0,200.0,160450.0,76100.0
2021,813975.0,843200.0,95775.0,659075.0,113700.0,472525.0,37.0,400.0,36.0,200.0,147250.0,73375.0
2022,807125.0,849225.0,89425.0,665425.0,114125.0,472925.0,37.0,400.0,36.0,200.0,100.0,58550.0
2023,800750.0,854800.0,84225.0,670650.0,114575.0,473250.0,37.0,400.0,36.0,200.0,150.0,39750.0
2024,794875.0,860125.0,79875.0,675025.0,114750.0,473600.0,37.0,400.0,36.0,200.0,475.0,55875.0
2025,789750.0,864650.0,76200.0,678700.0,114975.0,473975.0,37.0,400.0,36.0,200.0,125.0,25950.0
2026,786050.0,868125.0,73225.0,681675.0,115050.0,474125.0,37.0,400.0,36.0,200.0,0.0,23850.0
2027,783325.0,870600.0,70825.0,684100.0,115100.0,474300.0,37.0,400.0,36.0,200.0,5350.0,67150.0
2028,780650.0,873000.0,68475.0,686475.0,115125.0,474525.0,37.0,400.0,36.0,200.0,155200.0,66450.0
2029,778150.0,875250.0,66100.0,688850.0,115175.0,474725.0,37.0,400.0,36.0,200.0,300.0,52675.0
2030,775675.0,877425.0,64125.0,690825.0,115275.0,474925.0,37.0,400.0,36.0,200.0,300.0,56550.0
2031,773300.0,879500.0,62025.0,692925.0,115325.0,475175.0,37.0,400.0,36.0,200.0,2725.0,21550.0
2032,771325.0,881250.0,60125.0,694825.0,115275.0,475450.0,37.0,400.0,36.0,200.0,137050.0,59825.0
2033,769675.0,882700.0,58400.0,696550.0,115400.0,475525.0,37.0,400.0,36.0,200.0,0.0,48975.0
2034,767975.0,884075.0,56625.0,698325.0,115525.0,475725.0,37.0,400.0,36.0,200.0,425.0,14075.0
2035,766325.0,885300.0,54875.0,700075.0,115725.0,475950.0,37.0,400.0,36.0,200.0,225.0,55325.0
2036,764850.0,886575.0,53250.0,701700.0,115800.0,476075.0,37.0,400.0,36.0,200.0,5575.0,45775.0
2037,763275.0,887875.0,52150.0,702800.0,115825.0,476325.0,37.0,400.0,36.0,200.0,5050.0,62325.0
2038,761775.0,889150.0,51200.0,703750.0,115850.0,476525.0,37.0,400.0,36.0,200.0,75.0,61750.0
2039,760350.0,890500.0,50275.0,704675.0,115800.0,476650.0,37.0,400.0,36.0,200.0,182775.0,61050.0
2040,758625.0,892000.0,49350.0,705600.0,115800.0,476875.0,37.0,400.0,36.0,200.0,3775.0,59950.0
2041,757125.0,893400.0,48425.0,706525.0,115825.0,476950.0,37.0,400.0,36.0,200.0,154925.0,60400.0
2042,755700.0,894750.0,47675.0,707275.0,115825.0,477025.0,37.0,400.0,36.0,200.0,8075.0,59275.0
2043,754250.0,896125.0,47025.0,707925.0,115825.0,477100.0,37.0,400.0,36.0,200.0,192150.0,59100.0
2044,752925.0,897375.0,46450.0,708500.0,115825.0,477175.0,37.0,400.0,36.0,200.0,158825.0,60000.0
2045,751625.0,898575.0,45700.0,709250.0,115825.0,477275.0,37.0,400.0,36.0,200.0,5700.0,59900.0
2046,750500.0,899700.0,45025.0,709925.0,115850.0,477250.0,37.0,400.0,36.0,200.0,103475.0,59400.0
2047,749500.0,900675.0,44375.0,710575.0,115900.0,477225.0,37.0,400.0,36.0,200.0,192425.0,58300.0
2048,748500.0,901625.0,43650.0,711300.0,115950.0,477225.0,37.0,400.0,36.0,200.0,186600.0,57025.0
2049,747775.0,902300.0,42900.0,712050.0,115950.0,477275.0,37.0,400.0,36.0,200.0,57125.0,53825.0
2050,747100.0,902900.0,42175.0,712775.0,116000.0,477300.0,37.0,400.0,36.0,200.0,0.0,0.0
2051,746600.0,903400.0,41425.0,713525.0,116000.0,477300.0,37.0,400.0,36.0,200.0,0.0,0.0
