'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt','total_wu'
2015,'M1',0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.053131328000005,0.0,0.0,0.0,0.0,8.783207080000002,0.0,5.2699242480000015,14.053131328000005,1910400000.0
2015,'M1',0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.979008850000003,0.0,0.439160354,0.0,0.0,7.026565664000002,0.0,4.391603540000001,11.418169204000003,1910868750.0
2015,'M1',0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.492291682000005,0.0,0.0,0.0,0.0,9.222367434000002,0.0,5.2699242480000015,14.492291682000005,1910837500.0
2015,'M1',1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.931452036000005,0.0,0.0,0.0,0.0,7.904886372000003,0.0,7.026565664000002,14.931452036000005,1910856250.0
2016,'M1',0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6227896,28.341753727999972,0.0,0.0,0.0,0.0,19.70980068000001,0.0,13.254742648000006,32.96454332799997,1867843750.0
2016,'M1',0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6227896,30.882182081999964,0.0,0.4202536,0.0,0.0,23.510989834000004,0.0,12.414235448000005,35.925225281999985,1867912500.0
2016,'M1',0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0430432,24.006870449999987,0.0,0.859413954,0.0,0.0,20.47468086400001,0.0,9.43464674,29.90932760399997,1868587500.0
2016,'M1',1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.463296799999999,27.539060035999974,0.0,0.0,0.0,0.0,20.09224077200001,0.0,12.910116064000007,33.00235683599997,1868418750.0
2017,'M1',0.1,23.382602451000004,136.3985142975,0.0,22.516580138000002,0.0,0.866022313,155.4510051834994,86.02888702200013,99.4944016765251,323.02632274899867,58.456506127500084,0.0,0.0,63.96022961251503,100.45858830800013,741.2020240375066,905.620841958044,1846056250.0
2017,'M1',1.0,25.114647077000008,127.30528001100024,0.0,22.0835689815,0.0,0.866022313,148.52282667949962,82.53928265700013,114.85193905755011,314.36609961899836,63.219628849000095,0.0,0.0,68.26753376952003,106.52074449900014,724.0810169760261,898.8692952445688,1846762500.0
2017,'M1',0.5,25.54765823350001,134.66646967150004,0.0,19.485502042499995,0.0,0.866022313,161.9461725309992,83.86383123950013,109.88455816053511,315.2321219319984,64.0728936055001,0.0,0.0,69.06045223601502,99.59256599500011,746.9122114980164,915.5652297290544,1846450000.0
2017,'M1',0.2,25.114647077000008,142.0276593319998,0.0,22.516580138000002,0.0,0.4330111565,147.22379320999966,89.91322987400015,105.55178615452513,326.0574008444988,59.31592008150009,0.0,0.0,64.72510979651503,110.41784490750015,743.0110731640068,918.1540278680445,1846781250.0
2018,'M1',0.1,23.382602451000004,289.76334436150063,0.0,45.09790481000005,0.0,0.866022313,332.33804844749784,166.00441190200024,115.4895066525249,644.8101993249849,58.456506127500084,0.0,0.0,72.42822636451504,196.4292181640002,1407.3511018614781,1676.208546390011,1832531250.0
2018,'M1',0.5,25.54765823350001,279.5633029835011,0.0,41.596382450500045,0.0,0.866022313,317.6632239149982,166.66202170350024,124.93877460853491,633.2524443959848,64.0728936055001,0.0,0.0,77.05800472401503,205.91296965900028,1371.19174982599,1654.1627242090226,1832112500.0
2018,'M1',0.2,25.114647077000008,281.2791614760007,0.0,48.86145892200006,0.0,0.4330111565,317.5246167779989,168.00697769800036,117.31289275452498,659.6023840204845,59.31592008150009,0.0,0.0,74.60443934051504,204.9771419715006,1397.8694886519788,1677.4510699640118,1832100000.0
2018,'M1',1.0,25.114647077000008,294.7834379950008,0.0,41.371783805500044,0.0,0.866022313,327.7620912634984,163.92614032900016,128.49482271354995,640.3839745709844,63.219628849000095,0.0,0.0,78.61730757752005,212.84114816300064,1394.4640931759982,1685.9225489165349,1832993750.0
2019,'M1',0.1,131.19276291600076,7910.3547357543775,91.89532725350033,77.44095294950021,12992.159555164819,1.3794040294999999,542.4757546345306,983.1510701626114,283.0956515522405,3525.6822023785226,132.38347330350086,0.0,0.0,398.4389038687942,21278.622446074238,4896.429142355821,26671.21089009724,1823006250.0
2019,'M1',0.5,142.08530787900062,7637.447606387508,84.19460150600023,85.29966200841027,12992.159555164819,1.3794040294999999,529.9861242788503,978.0956474272015,313.17893865136705,3747.437110287097,135.94633391550082,0.0,0.0,434.4178837624994,21196.743881333252,4913.674776363115,26647.210291533378,1821656250.0
2019,'M1',1.0,138.57200642350068,7437.586773260584,90.3551821040003,76.31465735520518,12517.517622991845,0.866022313,509.56505255991544,1099.8418467664167,302.26154821126653,3619.1080427356515,143.8205583395007,0.0,0.0,410.20935030788945,20742.924350837653,4703.568623220135,25935.809313059246,1822675000.0
2019,'M1',0.2,153.46007620200047,7630.370142044096,87.27489180500027,81.71788877800029,13061.959839307903,0.946392873,554.0093746450569,1057.3891613733674,271.98574425862495,3558.291450539771,129.1358335255009,0.0,0.0,443.7391810307953,21192.1485479748,4866.892725375118,26586.540795350455,1821925000.0
2020,'M1',1.0,615.6255461054702,15294.757832400312,2753.99221946214,183.24506906819087,27839.255910437434,117.27049173328008,719.563416697325,2866.6741314676406,1213.0811325707964,6791.732920739263,234.89005215253724,0.0,0.0,1418.6562050934094,47909.3934184575,8956.171868161515,58630.08872281514,1813281250.0
2020,'M1',0.5,557.7260281598304,15498.93375430458,2803.4270047104696,205.24395843212093,27668.82307457297,142.03480457900508,746.3713486089144,2674.3841469134413,1276.7811648573459,6868.315232151916,216.24526037984734,0.0,0.0,1393.3269905819143,47769.38414879548,9111.890087112553,58658.28577765068,1811381250.0
2020,'M1',0.2,578.6982413664846,15309.65529398371,2786.57145265759,168.21166987995076,27942.331180201563,136.7516071966601,799.4614071408462,2740.6637761488823,1257.7328209891741,6617.290273933623,231.97747120553768,0.0,0.0,1404.1506526276744,47752.91374400187,9066.61040090202,58569.34519468446,1812156250.0
2020,'M1',0.1,540.240767868106,15849.011693404487,2900.640090695869,184.94077130033088,27780.377357767415,113.46878467243509,756.2198009114401,2619.1312543340573,1185.75153742689,6830.400921755641,232.08314467122736,0.0,0.0,1320.0488856589134,48140.16780648218,9114.21674395537,58992.26612478802,1812800000.0
2021,'M1',0.1,773.9008511790868,24248.979473164065,2990.9435045358796,213.1605881253314,43542.01787685813,113.46878467243509,953.7585186864238,6277.879309378762,2039.539771482358,9443.639291209976,319.03636825733383,0.0,0.0,1864.7637259116584,75040.0508391656,13486.24623308613,90916.32433751631,1802393750.0
2021,'M1',1.0,844.7704587244514,23711.838441080417,2835.8296882546497,225.01039796919164,43544.62312679849,117.83488806978008,921.6534929294138,6457.187997420891,2118.663686429023,9292.880517775464,312.28472578324846,0.0,0.0,1979.2465182983833,74620.66648340941,13354.945111698418,90382.57742120228,1802781250.0
2021,'M1',0.2,806.1499649759659,23780.114848180765,2882.5188298626013,199.81786472395135,43320.29008977203,137.3160035331601,1006.6310504014345,6487.291328767264,2122.389336498561,9147.62014954748,300.8338242585389,0.0,0.0,1953.9088721438272,74367.47948868165,13421.599436642467,90190.97329048865,1801100000.0
