'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2015,'B2',0.5,15187.572249998042,39093.137999997656,33539.66274999737,9019.62049999979,73179.86249999463,14468.229499998097,12659.06424999919,43126.404499997014,26461.318249997334,25265.591749997602,22648.375749998784,24115.386749998353,13515.562749999805,48142.37774999283,169803.39724998953,131179.20899998554,352279.7895000527
2015,'B2',0.2,15202.945749998038,39095.703999997655,33542.08024999737,8996.284999999794,73278.37399999463,14443.7369999981,12706.268999999189,43037.05199999701,26493.99599999733,25244.214499997604,22639.44874999878,24124.414749998356,13512.116749999801,48135.28124999284,169800.26924998953,131226.2817499855,352316.6377500528
2015,'B2',1.0,15169.03274999805,38991.662249997666,33558.800499997364,8976.9359999998,73313.44324999461,14499.962499998095,12757.768249999188,43082.632999997,26412.97449999735,25244.404749997604,22694.08149999877,24083.797999998354,13579.877999999806,48135.09999999284,169801.29024998954,131274.17949998553,352365.37525005307
2015,'B2',0.1,15217.559499998037,39051.61999999766,33550.660999997366,8956.296499999806,73252.68749999463,14512.200249998097,12720.627749999196,43085.60099999701,26482.80249999733,25237.944749997612,22614.514749998783,24124.56299999836,13512.991999999802,48109.34199999284,169743.8109999895,131312.1119999855,352320.0705000528
2016,'B2',0.1,15248.686749998042,39429.14349999763,33705.30599999735,8988.743999999795,74350.67324999458,14590.88349999813,12719.549749999194,44796.609999996974,26683.349999997336,25359.667999997615,22790.831999998845,24703.900249998373,13524.8149999998,48232.13949999286,173159.9357499894,132345.28124998545,356892.1620000515
2016,'B2',0.2,15235.20349999804,39478.02899999763,33694.26374999736,9036.61449999978,74366.86549999457,14518.880749998129,12699.253249999187,44751.643999996995,26681.511999997336,25366.961999997606,22816.44474999884,24710.830999998372,13527.479249999804,48254.00274999287,173194.7527499894,132280.42224998548,356883.9832500515
2016,'B2',0.5,15218.699499998049,39489.72249999763,33691.90949999735,9052.469499999777,74273.08299999459,14545.708249998132,12655.989499999188,44831.945749996994,26642.615249997343,25377.382999997608,22823.294249998835,24688.786249998364,13537.665999999808,48261.97624999286,173222.4467499894,132190.0437499855,356829.2722500514
2016,'B2',1.0,15213.514999998051,39383.116249997634,33722.52124999734,9011.781749999782,74401.93474999457,14576.638249998128,12753.953749999186,44794.43674999699,26608.031999997358,25362.38699999761,22869.739749998815,24660.736999998368,13589.365999999804,48280.395499992854,173200.17374998942,132312.78474998547,356948.15950005176
2017,'B2',0.5,15181.062499998076,39535.80224999771,33790.37324999734,9023.691499999795,75102.98549999455,14588.607749998158,12286.276499999325,46019.336999996805,26671.042499997384,24755.352749998074,22765.139749998943,25008.740499998385,13541.205499999809,48293.614999992875,175675.71549998946,131145.4812499861,358269.6172500554
2017,'B2',0.2,15199.342999998069,39514.42849999771,33794.72424999734,9001.473499999796,75180.96149999455,14559.960249998156,12329.496749999324,45945.7857499968,26676.27299999739,24741.226999998067,22746.639499998957,25031.92649999839,13541.637249999805,48274.204999992886,175634.53074998947,131200.33549998613,358263.87675005564
