'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt','total_wu',
2015,'B2',0.5,0,0,0,0,0,0,0,0,11.85732956,0,0,0,0,7.904886372,0,3.952443186,11.85732956,1911312500,1911.3125
2015,'B2',0.2,0,0,0,0,0,0,0,0,13.17481062,0,0,0,0,5.709084602,0,7.465726018,13.17481062,1910206250,1910.20625
2015,'B2',1,0,0,0,0,0,0,0,0,11.85732956,0,0,0,0,6.148244956,0,5.709084602,11.85732956,1910381250,1910.38125
2015,'B2',0.1,0,0,0,0,0,0,0,0,13.61397097,0,0.439160354,0,0,6.58740531,0,7.465726018,14.05313133,1910575000,1910.575
2016,'B2',0.1,0,0,0,0,0,0,0,4.6227896,23.70005737,0.4202536,0.439160354,0,0,18.35450611,0,10.82775482,29.18226093,1867906250,1867.90625
2016,'B2',0.2,0,0,0,0,0,0,0,3.3620288,26.62292582,0,0.4202536,0,0,17.4761854,0,12.92902282,30.40520822,1867818750,1867.81875
2016,'B2',0.5,0,0,0,0,0,0,0,6.303804,26.98645916,0.4202536,0,0,0,21.77325517,0,11.93726159,33.71051676,1868581250,1868.58125
2016,'B2',1,0,0,0,0,0,0,0,2.101268,23.20417676,0,0,0,0,13.71280976,0,11.592635,25.30544476,1867950000,1867.95
2017,'B2',0.5,21.21754667,132.934425,0,19.48550204,0,0.866022313,151.1208936,85.11183448,86.82528972,301.3630074,60.62156191,0,0,54.70986672,98.72654368,706.1096728,859.5460832,1847150000,1847.15
2017,'B2',0.2,23.38260245,138.9965812,0,22.08356898,0,0,152.4199271,80.43801466,105.1645271,300.0767315,62.34084898,0,0,57.36873911,100.8915995,726.6424634,884.9028019,1846018750,1846.01875
2017,'B2',1,25.54765823,155.017994,0,17.75345742,0,0,153.7189606,76.57918692,90.4597243,303.9738319,59.7555396,0,0,62.29335025,99.15955484,721.3534478,882.8063529,1846231250,1846.23125
2017,'B2',0.1,18.61947973,148.9558378,0,13.42334585,0,0,157.1830498,81.69877546,106.1942864,311.7552751,65.82384499,0,0,55.24374538,99.15955484,749.2505949,903.6538952,1846318750,1846.31875
2018,'B2',0.5,21.21754667,283.9470338,0,45.35993656,0,0.866022313,319.5399401,171.6735791,101.8795062,647.1395414,60.62156191,0,0,65.53008479,206.4582801,1380.256303,1652.244668,1832743750,1832.74375
2018,'B2',0.1,18.61947973,307.0251105,0,36.94555905,0,0,313.3705455,175.317184,119.83717,648.5933681,65.82384499,0,0,63.24129787,197.482406,1424.808558,1685.532262,1832043750,1832.04375
2018,'B2',0.2,23.38260245,294.7136326,0,43.25356086,0,0,327.4251933,171.7042019,117.8665222,633.6217146,62.34084898,0,0,66.30718013,206.2711146,1401.729982,1674.308277,1831318750,1831.31875
2018,'B2',1,25.54765823,306.0306028,0,37.98256077,0,0,321.6675628,152.3207134,98.45727679,623.4054871,59.7555396,0,0,66.99779289,195.600629,1362.56898,1625.167402,1831468750,1831.46875
2019,'B2',0.1,127.4564036,7847.48275,98.05590785,69.80198891,12582.66455,0.513381717,520.9742599,983.2229714,277.0769301,3620.676391,134.616995,0,0,373.2383917,20954.65186,4832.278535,26262.54253,1821643750,1821.64375
2019,'B2',1,125.1437112,7799.243837,91.38194554,77.03248805,12796.71876,1.026763433,538.1304337,1028.802521,242.7637435,3501.809332,124.9550176,0,0,386.7820561,20948.53136,4926.548205,26327.00855,1821468750,1821.46875
2019,'B2',0.2,131.7061446,7832.920244,95.48899927,71.48955527,12550.09109,0,561.922258,1018.692833,283.3862234,3657.720875,142.9417785,0,0,411.3129811,20850.53585,4963.524013,26346.36,1820293750,1820.29375
2019,'B2',0.5,138.7819597,7907.651632,87.78827352,80.81619183,13113.14671,0.866022313,524.0633643,1141.735813,288.131977,3536.936535,123.2541313,0,0,436.8829375,21425.78392,5015.358827,26943.17261,1821537500,1821.5375
2020,'B2',0.1,541.8210739,15773.29737,2777.087384,194.0613741,27380.58273,136.318596,733.6481113,2603.376547,1199.236488,6622.591333,206.8894597,0,0,1364.685515,47349.3653,9085.72566,58168.91047,1751812500,1751.8125
2020,'B2',0.2,573.8068042,15454.77842,2903.266495,176.883293,26959.99437,116.4044694,796.6037231,2663.803983,1218.491048,6801.361413,240.5696784,0,0,1355.705838,47347.6383,8814.87216,57905.9637,1749512500,1749.5125
2020,'B2',1,578.447108,15700.1695,2722.878827,210.9922457,27565.53582,142.2172614,753.4454632,2695.317568,1164.388204,6620.73246,208.0323589,0,0,1371.979556,47615.39033,9023.479011,58362.15681,1750337500,1750.3375
2020,'B2',0.5,559.2385571,15787.03616,2910.150638,205.0069587,28027.46936,146.3716091,737.8074105,2816.915348,1217.316421,6515.70505,200.3081639,0,0,1416.194366,48223.06282,9166.711877,59123.32567,1749868750,1749.86875
2021,'B2',1,800.2548683,23978.56033,2775.367686,252.7575746,43260.67152,142.2172614,981.6425219,6524.014324,2096.678325,9021.90953,294.9855825,0,0,1897.504921,74437.85711,13329.84298,90129.05953,1739668750,1739.66875
2021,'B2',0.1,759.6780598,24130.82686,2836.348999,235.2623067,42917.13004,136.8829924,930.6586205,6179.780504,2229.854743,9016.431251,272.9238311,0,0,1904.95756,73997.89641,13276.5909,89645.77821,1739006250,1739.00625
2021,'B2',0.2,802.9517168,23983.4216,2958.577336,214.1334512,42655.13007,117.5332621,1020.249423,6448.535593,2030.861223,9049.811174,313.3768058,0,0,1922.468324,74123.49889,13053.43619,89594.58165,1737800000,1737.8
2021,'B2',0.5,770.8871833,24081.37484,2973.363027,242.8215132,43911.88799,146.3716091,934.2173356,6409.614424,2172.363333,8956.187345,274.244084,0,0,1965.460564,75167.74331,13366.49889,90873.33269,1737262500,1737.2625
2022,'B2',1,940.6231352,24070.93945,2834.154396,256.9566253,43260.67152,142.8171258,1166.400754,6930.72238,2204.24636,9323.041453,357.9713432,0,0,2303.651574,74438.45697,14282.58148,91488.54454,1728825000,1728.825
