year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,809050.0,804450.0,164525.0,610475.0,111625.0,498125.0,37.0,400.0,36.5,180.0,0.0,0.0
2016,770125.0,816475.0,142600.0,640825.0,118625.0,509600.0,37.0,400.0,36.5,180.0,0.0,0.0
2017,735200.0,823575.0,124300.0,662650.0,125550.0,526975.0,37.0,400.0,36.5,180.0,225.0,29275.0
2018,707000.0,828675.0,109225.0,680050.0,130450.0,542850.0,37.0,400.0,36.5,180.0,0.0,6675.0
2019,681200.0,832625.0,97450.0,693350.0,133850.0,559775.0,37.0,400.0,36.5,180.0,133625.0,38225.0
2020,648775.0,841075.0,87800.0,704375.0,166700.0,549525.0,37.0,400.0,36.5,180.0,168550.0,61975.0
2021,616975.0,844775.0,79250.0,713550.0,188950.0,554750.0,37.0,400.0,36.5,180.0,157375.0,48450.0
2022,589800.0,847750.0,72325.0,720925.0,202800.0,564650.0,37.0,400.0,36.5,180.0,125.0,1375.0
2023,565025.0,849850.0,66675.0,726950.0,211925.0,577825.0,37.0,400.0,36.5,180.0,175.0,1075.0
2024,542100.0,851925.0,61725.0,732175.0,219925.0,590400.0,37.0,400.0,36.5,180.0,650.0,425.0
2025,522350.0,853775.0,57375.0,736775.0,227000.0,600975.0,37.0,400.0,36.5,180.0,100.0,1200.0
2026,502925.0,855350.0,53450.0,740825.0,233525.0,612175.0,37.0,400.0,36.5,180.0,0.0,325.0
2027,483575.0,856850.0,49975.0,744400.0,239775.0,623675.0,37.0,400.0,36.5,180.0,6500.0,27450.0
2028,465225.0,858000.0,46550.0,747925.0,245450.0,635100.0,37.0,400.0,36.5,180.0,167700.0,36150.0
2029,448500.0,859375.0,43500.0,751125.0,250200.0,645550.0,37.0,400.0,36.5,180.0,550.0,100.0
2030,432025.0,860025.0,41025.0,753675.0,255575.0,655925.0,37.0,400.0,36.5,180.0,375.0,625.0
2031,415275.0,860950.0,38600.0,756125.0,260925.0,666375.0,37.0,400.0,36.5,180.0,2925.0,575.0
2032,399225.0,862225.0,36225.0,758500.0,265800.0,676275.0,37.0,400.0,36.5,180.0,144775.0,34725.0
2033,385500.0,863775.0,34050.0,760675.0,270600.0,683650.0,37.0,400.0,36.5,180.0,0.0,2400.0
2034,371400.0,864750.0,31900.0,762825.0,275325.0,692050.0,37.0,400.0,36.5,180.0,425.0,150.0
2035,359150.0,865350.0,30100.0,764650.0,279950.0,699050.0,37.0,400.0,36.5,180.0,100.0,24900.0
2036,346475.0,866300.0,28500.0,766350.0,283950.0,706675.0,37.0,400.0,36.5,180.0,5550.0,6325.0
2037,335000.0,866825.0,27000.0,767875.0,287925.0,713625.0,37.0,400.0,36.5,180.0,5550.0,14225.0
2038,323725.0,867025.0,25725.0,769150.0,291775.0,720850.0,37.0,400.0,36.5,180.0,225.0,20075.0
2039,312000.0,868275.0,24625.0,770250.0,295450.0,727650.0,37.0,400.0,36.5,180.0,201800.0,33575.0
2040,301350.0,868100.0,23575.0,771325.0,299150.0,734750.0,37.0,400.0,36.5,180.0,7350.0,20650.0
2041,290775.0,868350.0,22625.0,772300.0,303075.0,741125.0,37.0,400.0,36.5,180.0,170500.0,32000.0
2042,280775.0,868175.0,21625.0,773300.0,307225.0,747150.0,37.0,400.0,36.5,180.0,12700.0,28575.0
2043,271400.0,868000.0,20750.0,774175.0,311225.0,752700.0,37.0,400.0,36.5,180.0,210425.0,29900.0
2044,263175.0,867475.0,19925.0,775000.0,314775.0,757900.0,37.0,400.0,36.5,180.0,171375.0,30100.0
2045,255300.0,867225.0,19075.0,775850.0,318050.0,762750.0,37.0,400.0,36.5,180.0,5775.0,16575.0
2046,247325.0,867200.0,18350.0,776575.0,321400.0,767400.0,37.0,400.0,36.5,180.0,110900.0,27625.0
2047,239700.0,866575.0,17700.0,777225.0,324425.0,772625.0,37.0,400.0,36.5,180.0,215000.0,27475.0
2048,232950.0,866250.0,17175.0,777750.0,327100.0,777025.0,37.0,400.0,36.5,180.0,203250.0,25975.0
2049,226625.0,865950.0,16700.0,778225.0,329700.0,781050.0,37.0,400.0,36.5,180.0,67400.0,25275.0
2050,220525.0,865775.0,16200.0,778725.0,332325.0,784700.0,37.0,400.0,36.5,180.0,0.0,0.0
2051,214925.0,865450.0,15850.0,779075.0,334725.0,788225.0,37.0,400.0,36.5,180.0,0.0,0.0
