'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit'
2020,'B2',0.1,14125.646999998271,29924.708249998464,30068.902249997907,8842.105999999832,55763.39099999625,14251.769249998184,12283.029499999328,46083.18899999621,25473.090249997575,21533.42649999849,23093.504999999044,25483.015249998418,13655.441499999806,45819.003999993634,144046.49849999143,127949.03474998669,320581.22075004946
2020,'B2',1.0,14096.182999998284,29660.622499998495,30357.575499997878,8889.259499999831,55571.629249996266,14263.05149999819,12366.439999999326,45913.67849999626,25362.787999997574,21589.23874999845,23133.772999999037,25512.081249998417,13578.583999999808,45795.90924999362,143739.16474999147,128048.5932499867,320294.90475004876
2020,'B2',0.2,14122.885999998281,29394.931249998484,30386.499999997868,8904.999249999824,55656.51174999626,14236.373999998186,12283.890499999345,46076.05799999626,25411.265999997577,21475.743749998433,23149.365749999026,25488.278249998424,13602.074749999803,45855.036499993614,143274.3349999915,128306.68574998662,320188.8792500494
2020,'B2',0.5,14114.41699999828,29307.352249998516,30329.59524999789,8908.550499999816,56281.19049999621,14266.979499998188,12368.511499999317,46079.53674999623,25357.282249997592,21630.186999998445,23130.55374999903,25521.381749998418,13574.923999999804,45883.37699999361,144263.27124999143,127887.82274998672,320870.46200004936
2030,'B2',0.2,14377.680249998231,36663.96735000236,34682.703749997345,9059.371749999807,73257.60939999775,14355.840249998198,12494.92874999935,50393.17939999536,26550.303399997687,25658.6266999981,23268.25749999903,25777.648249998416,13661.220749999811,46157.49749999352,177182.03499998953,133713.9302499872,360201.337500216
2030,'B2',0.5,14389.352749998203,43248.61349999726,34660.48249999736,9024.286249999806,78323.04149999438,14376.98749999821,12559.318499999332,50879.04574999479,26671.857499997557,25752.20874999808,23252.236249999038,25821.084499998415,13634.069999999809,46268.081999993534,186886.16349999025,136290.4649999858,372592.5852500524
2030,'B2',1.0,14371.647749998217,43181.98499999726,34685.36974999735,9023.70824999981,78302.76249999438,14378.408499998206,12529.965999999336,50928.1149999948,26661.61274999754,25741.251249998106,23284.668999999027,25789.69149999842,13635.215999999818,46201.52574999354,186912.32624999026,136245.74574998583,372514.4032500534
2030,'B2',0.1,14389.575049998215,34707.93295000295,30585.429400000663,7436.463999999916,68880.88320000267,14373.6345999982,10296.887949999485,46274.34695000349,25097.604499999663,22366.882849999347,21784.552099999964,20698.260700001207,11990.27770000086,45986.53044999405,164581.6457499873,115211.03779999737,328882.7319499013
2040,'B2',1.0,14336.869749998255,43291.197249997305,34851.15574999735,9055.321499999814,79044.51424999433,14383.226499998205,12608.528749999356,52533.709499994075,26911.38874999754,24930.48124999819,23324.422999999006,25834.56374999841,13651.772249999822,46170.71674999367,188668.27674999036,136818.79924998578,374757.1522500475
2040,'B2',0.2,14364.635749998251,11611.57046125055,31004.6440000004,7738.07604999996,50676.2674247448,14360.256749998198,10405.656649999508,45833.599710128256,25163.037443711684,21306.08210705554,21967.5364499999,20776.236200001193,12073.242100000847,45986.626299994066,131095.95483236958,107140.48496452914,287280.84109662316
2040,'B2',0.5,14317.400249998258,39839.530250000316,34842.70674999735,9052.79874999981,76232.0740999964,14378.265999998206,12619.837499999352,52466.15849999407,26872.849049997556,24963.568999998177,23284.219499999024,25881.25599999841,13641.14899999981,46176.02224999365,183457.8886999901,135637.7519499872,368391.81465016154
2040,'B2',0.1,13874.613390796378,4145.542817089915,13436.831925740487,1738.0115262908737,30286.586263647656,12802.087113505111,2471.8978471432824,29309.318981338252,17488.608996833835,6382.763763400338,13738.155706679927,2824.131566723388,4896.618926200455,41346.82306616174,73672.60558366655,35535.368334620136,153395.16882521493
2050,'B2',0.5,14753.254499998102,22900.11742351844,34875.53749999734,9121.386749999789,62259.12439433561,14379.005749998207,12927.971399999256,52612.309999995516,26805.70139659315,25707.585299998176,23415.843499998944,24429.791549999823,13551.283499999863,47150.90074999329,158523.3271014492,128909.87961299423,337738.9129645276
2050,'B2',0.1,12052.709587953166,817.3951968058383,2475.879119458102,245.37911001142257,6691.733968394867,5539.978304766109,638.5929091513586,16708.85458196867,6294.284166685149,1519.0720282456505,2786.441400803952,710.5577600987829,570.2353183946635,25317.390928368215,22712.939983071527,6915.65346681052,57051.11345289207
2050,'B2',1.0,14714.77149999811,43524.136749997226,34918.541249997346,9136.99349999979,79373.31649999431,14386.364499998206,12929.892499999258,54259.59224999342,27071.40399999748,26314.42624999788,23454.94974999893,25858.198999998407,13658.851249999823,47105.1897499933,190919.06874999034,138422.3749999852,379601.4390000443
2050,'B2',0.2,14599.167699998177,1642.8739775895715,15193.571100945712,2499.1910314283273,29114.850836632195,13790.217299999362,2652.937013036864,29881.14753593104,18973.542920479475,8004.457342295722,15080.076870347651,2913.2717557189067,5247.817322142832,44400.41004623845,74302.94179758821,37920.08718109555,159593.12270637564
