'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt','total_wu'
2020,'B2',0.1,540.1523168858307,15484.355992040902,2931.7204654462835,187.276563616331,27702.38071025461,137.7197158016601,780.2436571407204,2705.365835470457,1122.0203224470752,6717.162028098633,220.47488288303728,0.0,0.0,1351.187315400604,47600.19512631811,9245.386040123916,58528.872490065965,237845.59999984724
2020,'B2',1.0,527.1178422899148,15661.15615610971,2749.329643823056,196.20863373671085,27808.29747142465,132.94990013581508,740.670164434505,2885.891525539371,1230.406742121411,6625.957708730226,222.6310878960375,0.0,0.0,1351.302353404199,47925.76559962577,9114.030016056477,58780.61687622153,237838.39999984723
2020,'B2',0.2,540.593822682915,15710.314662245306,2740.7554911897114,204.17291722655585,27299.50740172112,142.5699020275051,770.4942197835659,2670.760657569617,1162.3124066687053,6401.29708199086,207.1346344510372,0.0,0.0,1331.7702301656095,47221.06909695324,8945.962785191281,57849.91319753837,237853.29999984714
2020,'B2',0.5,533.4709142194155,16109.854911450266,2754.0495356569013,175.55823794769086,27290.90221685631,107.57011928159007,750.1073174595965,2703.2202856949975,1205.840008743926,6450.125211412549,228.27415281103703,0.0,0.0,1298.2784147775196,47273.57347747256,9458.172225575945,58308.97291151479,237818.89999984734
2030,'B2',0.2,2055.9025782923313,36410.84433128633,3024.9231415378285,513.4570553670584,64536.65078378244,302.683052429835,2765.3644406554326,14206.314914841456,5867.866295209293,14137.288620838619,876.3652209321863,0.0,0.0,5685.9924451838015,111899.28889868454,26540.953841703238,144697.66043504732,193701.699999881
2030,'B2',0.5,1988.1012477218478,37412.88897218723,3047.08665247798,449.5676710891922,63837.611799587794,321.01300919302,2638.4973947870735,14183.287377405131,5939.836721291793,14643.693737143989,924.4751358120811,0.0,0.0,5516.699400170486,111403.47547541825,27903.227336773147,145386.05971857076,227634.099999841
2030,'B2',1.0,2025.3594552353532,36855.23557263532,3026.0218408291535,459.1258587767133,64805.901501282875,364.65965342411005,2651.437035736733,14687.227383702457,5969.734625797315,14403.022467212006,875.631276345122,0.0,0.0,5771.066869866254,112959.19597650577,26711.780197706696,146123.3566708483,227619.899999841
2030,'B2',0.1,2030.43316737425,35764.95646726003,3193.9445323423397,465.3143694493328,64817.46428452322,323.54571445463,2651.305070958494,13876.608149934607,5832.595228411496,14273.355051402565,864.6062356845821,0.0,0.0,5661.976623339407,111534.46005004719,26306.005065032026,144094.12827167253,105187.89999998364
2040,'B2',1.0,4121.637530875475,58563.65552226934,6330.314740579938,999.2814938338735,102573.21402974869,552.8763244909109,4462.971124001568,24667.933669298338,11560.716423768192,23639.959096764378,1432.8871546841688,0.0,0.0,10898.943950883975,182632.89761171894,44096.3420999941,238905.44711012644,223798.1999998392
2040,'B2',0.2,4123.429977972665,59159.73838579562,6473.656887817872,1037.5897081475896,102134.22703136854,516.2306552847158,4575.705638407787,24165.252618199254,11735.672233487918,24548.624100232497,1435.7460104425886,0.0,0.0,11014.258349495107,183597.95338495428,44130.637479151745,239905.87324697178,105680.7999999798
2040,'B2',0.5,4080.3570691587047,59388.63930460891,6450.539798868944,966.362462922457,101058.45442170362,497.8119484286507,4431.721608004862,24091.960474939013,11342.979122855017,24396.6729450181,1473.2595330596926,0.0,0.0,10660.763028245612,181509.55806990436,44928.68202953081,238178.75868938118,207936.79999986282
2040,'B2',0.1,4123.398779654816,57885.660680081695,6744.946291223867,967.9150604368879,103031.893752396,540.6866889321159,4249.327867900238,23893.148636238773,11249.462621592631,24274.504516244808,1355.2657762507336,0.0,0.0,10294.896463056493,184441.08535789137,42519.192263744924,238316.2106707734,36193.00000000521
2050,'B2',0.5,7260.023992070799,114916.08916727347,25925.65912288937,1781.1605539676848,209238.54819336097,1519.7912972245922,6427.63453409998,65138.64062337456,23692.391100473516,47100.14105518856,2217.540293708992,0.0,0.0,19371.049126419995,404537.25235819747,78084.68358051346,505217.6199341089,171556.69999990382
2050,'B2',0.1,7022.850816539942,112198.92328720224,26977.648980132166,1724.4587232034094,214994.0569497991,1598.2300017616094,5383.197213574417,64310.7232973271,23224.724358568365,47608.63963255959,1722.52792411138,0.0,0.0,16942.240348332503,415535.583184325,71094.45118834413,506765.98118527106,24493.000000000226
2050,'B2',1.0,7268.367213732385,113544.8526315683,25069.10095474588,1962.7975796242313,209308.10143756494,1702.3016438882894,6391.549547618251,64780.49657999952,23375.274094544457,46317.72985851369,2194.261253890159,0.0,11.684869132084998,19710.939302414045,402036.506316575,76689.58562447176,501926.517665286,221937.19999983752
2050,'B2',0.2,7417.3059518298805,114339.49387127251,25723.60251591056,1914.2771553559965,211242.1939205035,1699.3132500285365,6360.630343002986,66022.47824759786,23236.816442618892,49156.564060561854,2162.202472351574,0.0,0.0,19702.468609169948,410733.3819254353,75321.48546906604,509274.8782315174,54094.90000001166
