year,tong_luc,total_2rice_luk,total_rice_shrimp,tong_tsl,tong_bhk,total_fruit_tree_lnk,climate_maxTAS_shrimp,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,area_shrimp_tsl_risk,area_rice_fruit_tree_risk
2015,869000.0,795950.0,172325.0,579650.0,110800.0,470525.0,37.0,400.0,36.0,200.0,0.0,950.0
2016,847525.0,815350.0,151900.0,601725.0,111500.0,470250.0,37.0,400.0,36.0,200.0,0.0,1100.0
2017,836475.0,824950.0,136025.0,618275.0,111925.0,470600.0,37.0,400.0,36.0,200.0,125.0,47775.0
2018,828900.0,831275.0,122050.0,632425.0,112625.0,470975.0,37.0,400.0,36.0,200.0,0.0,40650.0
2019,823900.0,835325.0,111250.0,643400.0,113200.0,471175.0,37.0,400.0,36.0,200.0,124400.0,65400.0
2020,786675.0,871125.0,102975.0,652125.0,123350.0,462000.0,37.0,400.0,36.0,200.0,155525.0,68950.0
2021,780275.0,878475.0,95775.0,659375.0,125950.0,458400.0,37.0,400.0,36.0,200.0,149075.0,65750.0
2022,774500.0,883950.0,89425.0,665725.0,127025.0,457625.0,37.0,400.0,36.0,200.0,150.0,54375.0
2023,769250.0,888650.0,84225.0,670950.0,127650.0,457525.0,37.0,400.0,36.0,200.0,0.0,33275.0
2024,764550.0,892775.0,79875.0,675325.0,128025.0,457700.0,37.0,400.0,36.0,200.0,675.0,50050.0
2025,760500.0,896425.0,76200.0,679000.0,128425.0,457700.0,37.0,400.0,36.0,200.0,75.0,21850.0
2026,757100.0,899500.0,73225.0,681975.0,128575.0,457875.0,37.0,400.0,36.0,200.0,0.0,18625.0
2027,754625.0,901525.0,70825.0,684375.0,128650.0,458250.0,37.0,400.0,36.0,200.0,5425.0,60200.0
2028,751925.0,903875.0,68475.0,686725.0,128750.0,458500.0,37.0,400.0,36.0,200.0,156325.0,59075.0
2029,749200.0,906500.0,66100.0,689100.0,128750.0,458600.0,37.0,400.0,36.0,200.0,300.0,46950.0
2030,746725.0,924275.0,64525.0,704250.0,114700.0,443775.0,37.0,400.0,36.0,200.0,325.0,51050.0
2031,743850.0,926275.0,62100.0,707100.0,114975.0,443950.0,37.0,400.0,36.0,200.0,2375.0,19450.0
2032,737975.0,931400.0,59825.0,709750.0,115250.0,444050.0,37.0,400.0,36.0,200.0,136450.0,50900.0
2033,732275.0,936675.0,57675.0,712200.0,115325.0,444100.0,37.0,400.0,36.0,200.0,0.0,41975.0
2034,726575.0,941950.0,55550.0,714475.0,115400.0,444300.0,37.0,400.0,36.0,200.0,375.0,13950.0
2035,721375.0,946875.0,53475.0,716600.0,115625.0,444300.0,37.0,400.0,36.0,200.0,225.0,48700.0
2036,716200.0,951500.0,51450.0,718750.0,115750.0,444600.0,37.0,400.0,36.0,200.0,5750.0,33650.0
2037,710400.0,956050.0,49950.0,720475.0,116450.0,444925.0,37.0,400.0,36.0,200.0,4975.0,48400.0
2038,704575.0,961550.0,48575.0,721975.0,116725.0,444850.0,37.0,400.0,36.0,200.0,100.0,48225.0
2039,698700.0,966600.0,47225.0,723400.0,117100.0,445225.0,37.0,400.0,36.0,200.0,188150.0,45825.0
2040,657175.0,1033175.0,45900.0,732075.0,99350.0,430575.0,37.0,400.0,36.0,200.0,5700.0,41200.0
2041,625850.0,1065350.0,44550.0,733600.0,99550.0,429350.0,37.0,400.0,36.0,200.0,170125.0,35350.0
2042,610625.0,1080950.0,43475.0,734750.0,99850.0,428600.0,37.0,400.0,36.0,200.0,8700.0,32650.0
2043,601650.0,1089950.0,42800.0,735475.0,99950.0,428425.0,37.0,400.0,36.0,200.0,201025.0,32300.0
2044,591475.0,1100450.0,42175.0,736200.0,100175.0,427775.0,37.0,400.0,36.0,200.0,160625.0,28325.0
2045,581850.0,1110375.0,41475.0,736975.0,100175.0,427400.0,37.0,400.0,36.0,200.0,5125.0,25775.0
2046,573800.0,1118375.0,40825.0,737800.0,100150.0,427300.0,37.0,400.0,36.0,200.0,109625.0,24875.0
2047,567200.0,1124975.0,40250.0,738375.0,100400.0,427050.0,37.0,400.0,36.0,200.0,203200.0,23225.0
2048,561750.0,1130625.0,39625.0,739025.0,100250.0,426975.0,37.0,400.0,36.0,200.0,192425.0,21625.0
2049,557175.0,1135275.0,39000.0,739675.0,100325.0,426800.0,37.0,400.0,36.0,200.0,57475.0,19875.0
2050,552900.0,1139275.0,38325.0,740350.0,100375.0,427025.0,37.0,400.0,36.0,200.0,0.0,0.0
2051,549800.0,1142175.0,37650.0,741050.0,100325.0,427250.0,37.0,400.0,36.0,200.0,0.0,0.0
