'year','subsi_scenario','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_debt','total_wu'
2020,'M1',0.1,557.9820428539855,15498.488707812177,2634.9009606154327,196.8672095780709,27294.657215495274,102.36729245924506,786.6486033250598,2586.995031599231,1206.1512358200346,6587.513027400269,228.29858303503718,0.0,0.0,1361.1839362074186,46923.98876764538,9063.593197898515,57680.86990997514,237829.99999984747
2020,'M1',0.2,570.4048051948655,15791.502498565642,2815.044958544195,194.52448148943085,28279.805213999192,161.97064693088507,788.6249309335535,2817.144240921192,1196.4516989528454,6623.33057894222,243.09341249888197,0.0,0.0,1429.4570834447698,48594.301330198796,9097.721263528932,59481.897466952236,237833.89999984734
2020,'M1',1.0,566.9414275713651,16034.835011491083,2715.1898761692614,197.1351890802109,27652.768506813467,122.2227642511251,756.4599532720557,2644.760197102008,1276.8758007187446,6637.749024968786,226.0072096856922,0.0,0.0,1417.497544572934,47389.28413327638,9610.590278940348,58830.94496110379,237831.2999998473
2020,'M1',0.5,589.6164712307099,15736.50606492829,2659.6127197225023,166.97146978945077,27304.413096866305,152.37236077119508,774.8549477314002,2661.726377859042,1181.1604181105743,6502.688275699277,216.82677602603715,0.0,4.850186225845001,1370.146956552259,47057.82239748843,9173.50289542128,57951.5991649416,237837.99999984738
2030,'M1',1.0,2095.652073469862,36786.26151753983,2968.7088556438343,492.5953311237127,64678.09595043801,283.03074002382994,2679.6025071231834,14127.07906694053,5997.935005224755,14749.40015307468,912.7867614237373,0.0,0.0,5877.575971514189,112269.54674886308,26993.24172107314,145771.14796189716,227631.79999984076
2030,'M1',0.5,2174.6185782772127,37211.40704382157,2957.9519019021213,466.3076892084511,63818.15477916704,360.1420714897252,2737.908000407792,14321.85704348011,5755.532258630545,14234.895790940727,891.5386347751659,0.0,4.850186225845001,5822.482053749712,111378.99509404418,27074.485952260984,144935.16397819857,227630.69999984116
2030,'M1',0.1,2027.8907510299025,36469.84591771733,2926.3096713215123,465.41286869557297,64432.338166772905,308.1003585952749,2714.6213497440585,14126.140165844008,6112.014348804465,14721.4663627621,893.435751660542,0.0,0.0,5693.566456376003,112335.64098281288,26586.940660653898,145197.5757128207,129462.29999998405
2030,'M1',0.2,2083.27817637836,37151.74749704088,3119.6855564963353,495.79090206493333,65371.83056774652,348.53768208417506,2733.0918466198054,14468.965863127705,6050.551713787045,14587.76037644827,901.0429791457168,0.0,0.0,5763.193313161122,114047.11887015303,26953.02949439823,147312.2831608071,211217.19999986584
2040,'M1',1.0,4181.376858233077,59018.14591174898,6144.919423183779,1009.1708645025732,101833.90277185876,406.37805713561545,4531.714601872168,24257.185562663075,11420.432664637621,24228.684003350212,1463.2242209450897,0.0,0.0,10944.311448499353,181723.23032559303,44713.300424348876,238495.13493994199,223790.89999983873
2040,'M1',0.2,4175.8290808936,59306.33061231661,6526.682583452218,1026.1342767868175,103380.6725286237,502.1217020772257,4583.2725991218485,24680.667295239888,11621.94764092521,24240.675849176176,1438.7001476736318,0.0,0.0,10892.179861365685,184979.43845339702,44489.65730764242,241483.03431609523,155270.99999992704
2040,'M1',0.5,4294.911298000939,59201.67246476332,6404.459051039662,991.1570879176109,100134.75665329663,536.6824770887159,4543.83347946689,24584.633437004417,10963.0437444599,23814.840490020128,1455.1321103752814,0.0,4.850186225845001,11060.780382977795,180672.68841081532,43965.853461266786,236929.97247947377,223786.79999983904
2040,'M1',0.1,4086.391860160325,59080.991604974,6456.046468203103,966.3433798961687,101832.90028558696,446.37642952333033,4483.939089153758,24487.96632645084,11386.817213745539,24452.91647937298,1409.9596944441555,0.0,0.0,10726.53908434329,184137.6333495243,43127.30477299902,239090.64883132686,49971.70000000977
2050,'M1',0.2,7462.4100172789485,114918.20132109351,25557.67831723852,1902.9284379333646,212049.1320806398,1546.7648794168624,6600.012982488535,65842.92271001721,23358.967435085742,46203.02262368627,2178.516039111242,0.0,0.0,19792.3205588696,407475.0304312526,76807.97830694316,507620.55684445746,154435.6999999271
2050,'M1',1.0,7417.493653285802,113971.7884804644,24463.75894241025,1948.7688329401346,208616.6291286486,1522.7086775007822,6473.314530663841,64842.38292096361,23461.99875823714,46816.61233445404,2148.5020605071168,0.0,0.0,19756.746246934832,400891.44621908537,77705.13329554231,501683.9583205391,221938.89999983727
2050,'M1',0.1,7187.8923537727,113898.6774906227,26478.83239567526,1752.7828526566998,212804.05327042658,1694.783847810279,5936.431303355105,65453.91259474561,22966.872745264423,48500.96375244423,1866.6279931569863,0.0,0.0,18115.42415898414,414770.8417056338,72117.27597357861,508541.8306004197,50009.20000000948
2050,'M1',0.5,7618.886233017962,114030.48579661285,24971.548165438264,1981.2172540609206,206675.767749449,1686.156303166755,6575.56093392506,64797.92889122025,22387.782980068183,45730.04893357744,2221.636159189688,0.0,16.727414842150004,20094.020387177035,398252.9609557482,76786.17742438884,498693.746815031,221928.99999983748
