year,tong_luc,tong_luk,tong_lua_tom,tong_tsl,tong_bhk,tong_lnk,climate_maxTAS_thuysan,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,dt_tsl_risk,dt_lua_caqrisk
2015,868750.0,709225.0,170150.0,570125.0,139125.0,522300.0,33.0,300.0,33.0,120.0,82075.0,98575.0
2016,829200.0,710350.0,155325.0,609025.0,156000.0,519125.0,33.0,300.0,33.0,120.0,90700.0,92725.0
2017,802875.0,616250.0,142825.0,634200.0,168975.0,519275.0,33.0,300.0,33.0,120.0,97300.0,85725.0
2018,779600.0,711300.0,131675.0,651425.0,180925.0,519700.0,33.0,300.0,33.0,120.0,98375.0,80250.0
2019,763900.0,713575.0,121250.0,666800.0,189100.0,522125.0,33.0,300.0,33.0,120.0,102800.0,80800.0
2020,750000.0,715300.0,111700.0,679575.0,194750.0,524625.0,33.0,300.0,33.0,120.0,101600.0,75550.0
2021,739375.0,717350.0,102850.0,586075.0,199125.0,527000.0,33.0,300.0,33.0,120.0,107725.0,73875.0
2022,729600.0,716900.0,95000.0,701975.0,203225.0,529500.0,33.0,300.0,33.0,120.0,107625.0,72675.0
2023,719150.0,720000.0,87825.0,712175.0,206700.0,530175.0,33.0,300.0,33.0,120.0,107375.0,70275.0
2024,711850.0,720500.0,81725.0,719575.0,209875.0,533325.0,33.0,300.0,33.0,120.0,90825.0,65025.0
2025,704650.0,721725.0,75725.0,728525.0,212175.0,534525.0,33.0,300.0,33.0,120.0,109800.0,66450.0
2026,698000.0,720325.0,69950.0,736275.0,213750.0,536775.0,33.0,300.0,33.0,120.0,109775.0,63375.0
2027,692300.0,722425.0,64475.0,742925.0,215275.0,539000.0,33.0,300.0,33.0,120.0,110275.0,61350.0
2028,685125.0,724850.0,59975.0,745900.0,216725.0,540750.0,33.0,300.0,33.0,120.0,32900.0,32475.0
2029,680100.0,725825.0,55850.0,755200.0,218375.0,542675.0,33.0,300.0,33.0,120.0,112150.0,61200.0
2015,868125.0,709850.0,170350.0,568425.0,139475.0,521750.0,33.0,300.0,33.0,120.0,80200.0,57900.0
2016,828175.0,709050.0,155500.0,609125.0,156625.0,519150.0,33.0,300.0,33.0,120.0,90175.0,51125.0
2017,801775.0,710750.0,142725.0,633525.0,169450.0,518925.0,33.0,300.0,33.0,120.0,95175.0,47025.0
2018,779875.0,713175.0,131475.0,651700.0,181100.0,519700.0,33.0,300.0,33.0,120.0,98550.0,47250.0
2019,762850.0,715200.0,121200.0,666900.0,189175.0,522050.0,33.0,300.0,33.0,120.0,102675.0,43925.0
2020,751300.0,716925.0,111775.0,680175.0,195050.0,523675.0,33.0,300.0,33.0,120.0,102375.0,44050.0
2021,739200.0,718125.0,102825.0,690900.0,199325.0,525725.0,33.0,300.0,33.0,120.0,103500.0,41625.0
2022,729875.0,719300.0,95000.0,703275.0,203575.0,528450.0,33.0,300.0,33.0,120.0,103925.0,41075.0
2023,719975.0,720500.0,87950.0,712125.0,207475.0,490400.0,33.0,300.0,33.0,120.0,108575.0,38925.0
2024,711275.0,721975.0,81725.0,721575.0,210575.0,531900.0,33.0,300.0,33.0,120.0,92975.0,36150.0
2025,683325.0,721575.0,75650.0,729100.0,212925.0,534650.0,33.0,300.0,33.0,120.0,108775.0,36625.0
2026,696525.0,718125.0,69975.0,736325.0,214525.0,537125.0,33.0,300.0,33.0,120.0,108900.0,34350.0
2027,690950.0,725850.0,64450.0,743275.0,216675.0,538500.0,33.0,300.0,33.0,120.0,112050.0,36450.0
2028,684925.0,725025.0,59925.0,750025.0,218100.0,540525.0,33.0,300.0,33.0,120.0,31950.0,18475.0
2029,678025.0,727225.0,55825.0,753500.0,219725.0,542650.0,33.0,300.0,33.0,120.0,111175.0,34000.0
2015,869425.0,710275.0,170475.0,570800.0,139550.0,521850.0,33.0,300.0,33.0,120.0,81750.0,14275.0
2016,829275.0,710175.0,155450.0,607400.0,156250.0,519200.0,33.0,300.0,33.0,120.0,89725.0,12425.0
2017,801550.0,710575.0,142725.0,631475.0,168950.0,518550.0,33.0,300.0,33.0,120.0,95275.0,11075.0
2018,781050.0,702425.0,131525.0,652450.0,181100.0,521100.0,33.0,300.0,33.0,120.0,97750.0,11925.0
2019,764300.0,714925.0,121300.0,664375.0,189225.0,522900.0,33.0,300.0,33.0,120.0,100675.0,10675.0
2020,750225.0,713850.0,111700.0,679875.0,194925.0,524875.0,33.0,300.0,33.0,120.0,101950.0,10725.0
2021,739700.0,717975.0,102775.0,691825.0,199425.0,527250.0,33.0,300.0,33.0,120.0,103275.0,11325.0
2022,729325.0,717675.0,94875.0,701850.0,203075.0,529950.0,33.0,300.0,33.0,120.0,106950.0,10325.0
2023,719075.0,669275.0,87850.0,712125.0,206875.0,531500.0,33.0,300.0,33.0,120.0,108175.0,9550.0
2024,710975.0,671075.0,81725.0,720525.0,210575.0,533750.0,33.0,300.0,33.0,120.0,91525.0,9100.0
2025,703050.0,720700.0,75700.0,725800.0,212675.0,534300.0,33.0,300.0,33.0,120.0,109800.0,8350.0
2026,697550.0,722500.0,69850.0,736200.0,214150.0,537950.0,33.0,300.0,33.0,120.0,110975.0,9925.0
2027,691625.0,722700.0,64375.0,743425.0,215675.0,527550.0,33.0,300.0,33.0,120.0,110625.0,10025.0
2028,685875.0,724950.0,59950.0,741050.0,216925.0,542175.0,33.0,300.0,33.0,120.0,32750.0,4550.0
2029,679425.0,724500.0,55825.0,753850.0,218675.0,543175.0,33.0,300.0,33.0,120.0,110525.0,7750.0
2015,867500.0,709925.0,170525.0,570575.0,139550.0,521500.0,33.0,300.0,33.0,120.0,46750.0,99400.0
2016,828100.0,709725.0,155200.0,608725.0,156550.0,518825.0,33.0,300.0,33.0,120.0,50325.0,93150.0
