climat_code,Nam,thang,tmax_avg,tmax_max,pre_min
1,2016,1,30.66,34.23,0
1,2016,2,31.3,33.16,0
1,2016,3,32.96,34.82,0
1,2016,4,34.07,38.6,0.3
1,2016,5,33.71,38.43,33
1,2016,6,32.33,35.27,17.4
1,2016,7,31.85,35.45,0
1,2016,8,31.32,35.06,58.5
1,2016,9,31.09,33.9,131.7
1,2016,10,31.21,34.48,36.9
1,2016,11,31.26,33.42,17.1
1,2016,12,30.53,33.31,0
1,2017,1,30.8,34.02,0
1,2017,2,31.64,34.88,0
1,2017,3,33.15,36.26,0
1,2017,4,34.16,39.99,1.8
1,2017,5,34.03,39.64,0
1,2017,6,32.59,36.23,15
1,2017,7,31.74,34.92,82.5
1,2017,8,31.27,33.62,114.6
1,2017,9,31.32,33.03,71.1
1,2017,10,31.53,34.78,32.4
1,2017,11,31.28,33.77,8.1
1,2017,12,30.68,35.29,0
1,2018,1,30.66,34.94,0
1,2018,2,31.7,35.55,0
1,2018,3,33.16,36.27,0
1,2018,4,34.56,39.44,0.3
1,2018,5,33.93,38.73,34.2
1,2018,6,32.54,34.27,26.1
1,2018,7,31.84,34.17,102
1,2018,8,31.55,34.59,94.5
1,2018,9,31.11,33.65,77.4
1,2018,10,31.45,33.48,0
1,2018,11,31.19,33.39,38.1
1,2018,12,30.51,34.63,0
1,2019,1,30.72,32.54,0
1,2019,2,31.83,33.6,0
1,2019,3,33.44,35.24,0
1,2019,4,34.69,39.38,0
1,2019,5,33.96,39.94,0
1,2019,6,32.66,35.07,0
1,2019,7,31.81,34.28,38.4
1,2019,8,31.49,33.23,74.4
1,2019,9,31.37,33.68,0
1,2019,10,31.42,35.19,180.3
1,2019,11,31.37,34.82,6.3
1,2019,12,30.06,33.15,0.3
1,2020,1,30.52,34.31,0
1,2020,2,31.6,35.05,0
1,2020,3,33.05,36.31,0
1,2020,4,34.47,39.2,0
1,2020,5,33.64,38.5,32.1
1,2020,6,32.54,36.18,20.7
1,2020,7,31.6,33.03,46.5
1,2020,8,31.73,33.84,134.7
1,2020,9,31.45,33.55,95.4
1,2020,10,31.13,33.28,159
1,2020,11,31.13,33.07,7.8
1,2020,12,30.37,32.67,1.8
1,2021,1,30.6,34.22,0
1,2021,2,31.6,36.09,0
1,2021,3,32.99,36.85,0
1,2021,4,34.38,38.45,1.2
1,2021,5,33.98,37.88,37.2
1,2021,6,32.53,34.36,68.4
1,2021,7,31.75,34.11,29.4
1,2021,8,31.43,32.87,90.9
1,2021,9,31.36,34,152.7
1,2021,10,31.49,33.28,142.5
1,2021,11,31.76,33.62,0
1,2021,12,31.1,34.16,0
1,2022,1,30.85,35.29,0
1,2022,2,31.74,34.11,0
1,2022,3,33.51,36.97,0
1,2022,4,34.71,38.84,0
1,2022,5,34.42,37.77,12.6
1,2022,6,32.6,37.12,76.5
1,2022,7,32.1,34.58,16.5
1,2022,8,31.5,34.34,80.7
1,2022,9,31.27,33.75,0
1,2022,10,31.65,35.03,52.5
1,2022,11,31.49,34.45,15
1,2022,12,30.44,33.27,0
1,2023,1,30.95,34.62,0
1,2023,2,31.79,34.06,0
1,2023,3,33.18,36.05,0
1,2023,4,34.68,38.4,0.3
1,2023,5,34.31,40.05,20.7
1,2023,6,32.43,35.09,95.4
1,2023,7,31.74,34.6,111
1,2023,8,31.33,33.57,63
1,2023,9,31.34,32.75,0
1,2023,10,31.49,33.17,158.7
1,2023,11,31.58,33.7,21.6
1,2023,12,31.2,33.9,2.1
1,2024,1,31.13,33.13,0
1,2024,2,31.45,33.12,0
1,2024,3,33.22,34.74,0
1,2024,4,34.43,39.53,0
1,2024,5,34.05,38.85,42.9
1,2024,6,32.82,36.66,0
1,2024,7,32.08,33.83,99.3
1,2024,8,31.64,33.79,12.6
1,2024,9,31.4,33.17,65.4
1,2024,10,31.35,34.36,0
1,2024,11,31.45,33.52,15.6
1,2024,12,30.47,33.68,0
1,2025,1,31.13,33.82,0
1,2025,2,31.81,34.8,0
1,2025,3,33.3,36.7,0
1,2025,4,34.69,38.8,0.3
1,2025,5,34.47,38.49,0
1,2025,6,32.88,34.57,66.9
1,2025,7,32.14,34.29,55.8
1,2025,8,31.82,33.65,45.3
1,2025,9,31.32,33.19,97.8
1,2025,10,31.44,33.48,100.8
1,2025,11,31.47,32.75,0
1,2025,12,30.43,34.77,0
1,2026,1,30.75,33.86,0
1,2026,2,31.6,36.09,0
1,2026,3,33.35,37.05,0
1,2026,4,34.52,38.9,0
1,2026,5,33.8,37.98,0
1,2026,6,32.66,35,96.6
1,2026,7,31.88,33.6,52.5
1,2026,8,31.39,35.22,69.9
1,2026,9,31.38,32.97,122.7
1,2026,10,31.57,33.21,132.3
1,2026,11,31.47,33.39,21.6
1,2026,12,30.26,31.68,0
1,2027,1,30.91,33,0
1,2027,2,31.6,33.28,0
1,2027,3,33.3,35.49,0
1,2027,4,34.67,39.2,0
1,2027,5,33.94,39.28,29.7
1,2027,6,32.66,35.22,57
1,2027,7,31.8,33.28,53.1
1,2027,8,31.5,33.38,30
1,2027,9,31.42,34.04,0
1,2027,10,31.55,33.38,117.9
1,2027,11,31.63,33.95,29.1
1,2027,12,30.68,33.02,0
1,2028,1,31.03,34.34,0
1,2028,2,31.73,33.84,0
1,2028,3,33.33,36.14,0
1,2028,4,34.55,38.18,0
