climat_code,Nam,thang,tmax_avg,tmax_max,ttb,pre_min
1,2016,1,30.49233333,32.87,24.94,0
1,2016,2,31.578,33.01,25.62,0
1,2016,3,32.97366667,34.49,27.73,0
1,2016,4,34.36933333,36.19,28.62,0.3
1,2016,5,33.42333333,35.36,28.13,0
1,2016,6,32.104,34.83,28.19,51.3
1,2016,7,31.377,32.5,27.23,0
1,2016,8,31.22033333,32.79,27.17,0
1,2016,9,31.19766667,32.7,27.67,0
1,2016,10,31.32366667,32.48,27.56,0
1,2016,11,31.08433333,32.33,26.38,15.3
1,2016,12,30.09766667,32.08,27.66,0.3
1,2017,1,30.562,33.02,25.56,0
1,2017,2,31.589,33.13,25.83,0
1,2017,3,33.08266667,34.83,27.86,0
1,2017,4,34.055,35.79,29.43,0
1,2017,5,33.55366667,35.83,30.43,0
1,2017,6,31.87433333,33.55,28.79,0
1,2017,7,31.547,33.26,27.34,39
1,2017,8,31.36933333,33.08,28.48,0
1,2017,9,31.34333333,32.31,28.02,99.3
1,2017,10,31.176,32.08,27.8,71.1
1,2017,11,31.01966667,32.37,26.41,5.1
1,2017,12,29.96466667,32.28,26.06,0
1,2018,1,30.39866667,33.04,26.73,0
1,2018,2,31.37466667,33.21,28.18,0
1,2018,3,33.01066667,34.39,27.61,0
1,2018,4,34.125,35.76,30.08,0
1,2018,5,33.46333333,35.93,28.47,33.6
1,2018,6,32.09966667,34.27,27.57,0
1,2018,7,31.521,33.22,27.41,60.9
1,2018,8,31.21966667,32.88,27.72,30.3
1,2018,9,31.391,32.89,28.43,0
1,2018,10,31.382,32.81,27.3,21.9
1,2018,11,30.97966667,32.55,27.17,5.7
1,2018,12,30.03633333,33.45,25.37,0
1,2019,1,30.40733333,32.43,26.11,0
1,2019,2,31.618,33.72,27.13,0
1,2019,3,33.13333333,34.92,27.44,0
1,2019,4,34.05066667,35.73,28.94,0
1,2019,5,33.051,34.93,28.82,29.1
1,2019,6,32.171,33.21,28.53,35.1
1,2019,7,31.759,33.39,27.84,42.3
1,2019,8,31.07333333,32.97,26.97,93.3
1,2019,9,31.22233333,32.37,27.64,44.1
1,2019,10,31.342,32.65,26.99,25.8
1,2019,11,30.955,32.68,27.24,12.9
1,2019,12,30.19266667,32.39,25.22,0
1,2020,1,30.35833333,32.44,25.1,0
1,2020,2,31.219,33.1,25.78,0
1,2020,3,32.8,34.3,27.82,0
1,2020,4,33.982,35.92,28.57,0
1,2020,5,33.29933333,35.97,28.5,0
1,2020,6,32.02933333,33.94,28.84,0
1,2020,7,31.42033333,33.23,28.42,13.2
1,2020,8,31.04633333,32.4,27.25,0
1,2020,9,31.30233333,32.41,26.89,0
1,2020,10,31.39966667,32.68,27.73,80.1
1,2020,11,31.179,32.43,28.04,9
1,2020,12,30.33533333,33.06,27.95,0.3
1,2021,1,30.58466667,32.45,26.43,0
1,2021,2,31.72666667,33.9,28.02,0
1,2021,3,33.181,34.94,28.52,0
1,2021,4,34.367,35.98,29.97,0
1,2021,5,33.43766667,36.09,29.19,13.5
1,2021,6,32.371,34.17,28.98,53.7
1,2021,7,31.842,33.62,29.01,0
1,2021,8,31.41866667,33.59,27.48,0
1,2021,9,31.231,32.23,27.93,0
1,2021,10,31.40333333,32.56,28.19,0
1,2021,11,30.92533333,32.41,27.29,31.5
1,2021,12,30.295,32.42,25.96,0
1,2022,1,30.96566667,32.8,24.68,0
1,2022,2,31.68333333,33.9,27.23,0
1,2022,3,33.115,34.95,27.29,0
1,2022,4,34.29533333,36.13,29.21,0
1,2022,5,33.73733333,36.22,29.23,0
1,2022,6,32.326,34.07,28.59,22.5
1,2022,7,31.85866667,33.88,27.43,0
1,2022,8,31.40433333,32.41,27.73,93.6
1,2022,9,31.37033333,33.03,28.17,49.5
1,2022,10,31.17833333,32.7,28.48,100.2
1,2022,11,31.17766667,32.49,28.5,0
1,2022,12,30.192,32.2,26.6,0
1,2023,1,30.58,33.19,25.59,0
1,2023,2,31.682,33.12,27.12,0
1,2023,3,33.146,35.47,28.66,0
1,2023,4,33.99833333,35.8,30,0
1,2023,5,33.25533333,36.05,29.36,0
1,2023,6,32.38666667,34.29,28.71,0
1,2023,7,31.66666667,33.63,27.67,42
1,2023,8,31.29433333,32.89,27.89,42.9
1,2023,9,31.507,32.9,27.78,72
1,2023,10,31.43466667,32.68,27.38,72.3
1,2023,11,30.92933333,32.39,27.45,0
1,2023,12,30.05233333,32.86,26.61,0
1,2024,1,30.732,32.56,26,0
1,2024,2,31.63366667,33.73,26.34,0
1,2024,3,33.16366667,35.09,28.24,0
1,2024,4,34.08233333,35.85,29.75,0
1,2024,5,33.61766667,36.07,28.69,23.4
1,2024,6,32.068,33.2,27.96,0
1,2024,7,31.43,33.6,27.13,0
1,2024,8,31.38033333,33.72,27.38,0
1,2024,9,31.436,32.54,28.05,19.8
1,2024,10,31.391,32.57,27.92,92.7
1,2024,11,31.08133333,32.55,26.07,13.5
1,2024,12,30.23366667,32.02,24.19,0
1,2025,1,30.87733333,33.16,26.36,0
1,2025,2,31.762,33.33,26.25,0
1,2025,3,33.14866667,34.76,27.58,0
1,2025,4,34.12,35.49,28.8,0
1,2025,5,33.78766667,36.5,28.56,0
1,2025,6,32.34766667,36.02,27.79,0
1,2025,7,31.94966667,34.03,27.87,0
1,2025,8,31.55133333,33.01,28.04,0
1,2025,9,31.46133333,33.11,27.85,0
1,2025,10,31.25833333,32.48,28.03,153
1,2025,11,31.226,32.71,27.36,0
1,2025,12,30.521,33.05,25.88,0
1,2026,1,30.67066667,32.83,25.77,0
1,2026,2,31.97833333,33.41,26.89,0
1,2026,3,33.361,34.81,28.13,0
1,2026,4,34.59233333,36.37,29.55,0
1,2026,5,33.932,36.44,29.55,0
1,2026,6,32.45766667,34.17,29.25,0
1,2026,7,31.69766667,33.45,28.92,14.7
1,2026,8,31.277,33.2,28.83,0
1,2026,9,31.32,32.73,28.71,0
1,2026,10,31.61466667,32.73,28.8,86.7
1,2026,11,31.20533333,33.52,28.25,21.6
1,2026,12,30.48266667,33.27,26.04,0.3
1,2027,1,30.691,32.2,26.46,0
1,2027,2,32.007,33.58,27.59,0
1,2027,3,33.302,35.06,28.27,0
1,2027,4,34.72033333,36.44,29.1,0
1,2027,5,33.667,35.9,28.89,0
1,2027,6,32.31233333,34.36,28.29,35.4
1,2027,7,31.63633333,33.47,27.64,0
1,2027,8,31.45833333,33.22,27.95,78
1,2027,9,31.54066667,33.08,27.87,100.8
1,2027,10,31.55333333,32.97,27.93,0
1,2027,11,31.10533333,32.6,28.1,0
1,2027,12,30.48766667,32.27,25.9,0
1,2028,1,30.72033333,32.37,25.77,0
1,2028,2,31.87133333,33.81,26.17,0
1,2028,3,33.15166667,35.13,28.31,0
1,2028,4,34.292,36.22,29.36,0
1,2028,5,33.63533333,36.03,29.23,0
1,2028,6,32.19433333,34.78,29.45,58.8
1,2028,7,31.852,33.67,27.68,0
1,2028,8,31.45633333,33.11,28.81,0
1,2028,9,31.358,33.05,28.44,90.9
1,2028,10,31.44666667,32.85,28.28,0
1,2028,11,31.33833333,33.03,28.44,16.8
1,2028,12,30.48466667,32.89,29.03,0
1,2029,1,30.75266667,32.02,27.04,0
1,2029,2,31.75066667,33.5,26.77,0
1,2029,3,33.47433333,35.4,29.01,0
1,2029,4,34.488,35.78,30.03,0.6
1,2029,5,33.31066667,35.36,30.23,0
1,2029,6,32.25533333,34.04,29.59,25.8
1,2029,7,31.73366667,33.47,28.39,0
1,2029,8,31.68833333,33.38,28.44,0
1,2029,9,31.46733333,32.4,28.05,24.3
1,2029,10,31.538,32.76,27.6,43.8
1,2029,11,31.22666667,33.06,26.61,5.1
1,2029,12,30.13666667,31.68,25.21,0
1,2030,1,30.98,32.16,25.76,0
1,2030,2,31.92433333,33.7,26.28,0
1,2030,3,33.40166667,34.94,27.57,0
1,2030,4,34.495,36.42,29.78,0
1,2030,5,33.74033333,36.1,28.2,0
1,2030,6,32.65733333,34.84,28.55,54.6
1,2030,7,31.89,34.59,28.27,48.3
1,2030,8,31.856,33.4,27.99,0
1,2030,9,31.47833333,32.91,28.45,0
1,2030,10,31.66766667,33.31,28.42,107.1
1,2030,11,31.303,33.16,27.89,0
1,2030,12,30.07733333,32.45,26.29,0
1,2031,1,30.978,32.55,27.15,0
1,2031,2,31.809,33.63,27.75,0
1,2031,3,33.45466667,35.11,27.79,0
1,2031,4,34.20766667,35.8,29.01,0
1,2031,5,33.50866667,35.32,28.87,0
1,2031,6,32.57366667,35.05,29.53,31.5
1,2031,7,31.94733333,33.18,28.91,0
1,2031,8,31.66533333,32.92,28.33,65.1
1,2031,9,31.53666667,32.62,28.48,84.3
1,2031,10,31.42466667,33.43,28.42,0
1,2031,11,31.20966667,32.68,28.27,0
1,2031,12,30.542,33.22,27.47,0
1,2032,1,30.987,33.11,27.53,0
1,2032,2,31.89266667,33.58,27.08,0
1,2032,3,33.31433333,35.92,28.59,0
1,2032,4,34.56633333,36.06,29.9,1.2
1,2032,5,33.47366667,35.73,29.47,21.9
1,2032,6,32.37566667,34.53,29.32,0
1,2032,7,31.78233333,33.23,27.63,0
1,2032,8,31.744,33.97,27.71,69
1,2032,9,31.55366667,32.9,28.38,0
1,2032,10,31.766,33.47,28.32,0
1,2032,11,31.43233333,32.82,26.98,10.5
1,2032,12,30.43166667,32.77,26.67,0
1,2033,1,31.205,32.66,27,0
1,2033,2,31.99433333,33.67,27.95,0
1,2033,3,33.64866667,35.64,28.39,0
