year, 3 rice,2 rice, rice-shrimp,shrimp,vegetables, risk_aqua,risk_rice
2015,853725.0,670975.0,160925.0,597375.0,152625.0,37675.0,47600.0
2016,809200.0,702500.0,139575.0,629150.0,179875.0,41900.0,42350.0
2017,774250.0,704200.0,121725.0,648125.0,199075.0,42250.0,39625.0
2018,746850.0,703075.0,106725.0,666850.0,213075.0,45825.0,42350.0
2019,721775.0,702050.0,94950.0,679375.0,220100.0,50300.0,41250.0
2020,699125.0,702025.0,85175.0,688875.0,233675.0,67750.0,50875.0
2021,667425.0,701125.0,76150.0,700875.0,242550.0,69200.0,49400.0
2022,661700.0,697850.0,68500.0,700325.0,249700.0,72450.0,52050.0
2023,644750.0,686350.0,62025.0,713925.0,256200.0,74475.0,52075.0
2024,620775.0,677475.0,56300.0,721250.0,262300.0,75100.0,52000.0
2025,603525.0,692400.0,51550.0,724325.0,267875.0,32150.0,34350.0
2026,602275.0,676550.0,47500.0,729600.0,267350.0,32925.0,36300.0
2027,588775.0,676425.0,43825.0,732075.0,277275.0,32150.0,32850.0
2028,575875.0,684375.0,40275.0,737100.0,276100.0,30725.0,36550.0
2029,565275.0,684150.0,36725.0,739875.0,285250.0,30450.0,35425.0
2030,554775.0,682400.0,33925.0,746800.0,288700.0,83675.0,68575.0
