year, rice,2 rice, rice-shrimp,shrimp,vegetables, risk_aqua,risk_rice
[2015,979550.0,678900.0,204400.0,478750.0,120075.0,29375.0,61325.0]
[2016,1026625.0,651875.0,209600.0,474050.0,116500.0,26625.0,67225.0]
[2017,1073250.0,628725.0,212025.0,470125.0,112375.0,27750.0,74250.0]
[2018,1117875.0,607200.0,214125.0,468125.0,108875.0,26775.0,77425.0]
[2019,1148300.0,586200.0,211400.0,467000.0,105200.0,26725.0,82975.0]
[2020,1143625.0,563725.0,209425.0,466600.0,101650.0,42475.0,106425.0]
[2021,1242050.0,545625.0,215925.0,467250.0,98025.0,41625.0,110850.0]
[2022,1280375.0,519475.0,216300.0,465775.0,95100.0,43025.0,115575.0]
[2023,1316200.0,509900.0,216450.0,465875.0,92375.0,42225.0,119725.0]
[2024,1347675.0,492850.0,217250.0,463925.0,89450.0,41850.0,124875.0]
[2025,1379075.0,477500.0,217450.0,463575.0,86750.0,21375.0,107025.0]
[2026,1409350.0,459550.0,217525.0,465225.0,84525.0,21975.0,109000.0]
[2027,1440000.0,446850.0,217925.0,464725.0,82450.0,21200.0,113175.0]
[2028,1448950.0,432300.0,217450.0,465800.0,79975.0,21800.0,116375.0]
[2029,1484700.0,419100.0,217575.0,465600.0,77875.0,19875.0,119225.0]
[2030,1521300.0,406825.0,217475.0,465375.0,75525.0,41900.0,263525.0]
