year,tong_luc,tong_luk,tong_lua_tom,tong_tsl,tong_bhk,climate_maxTAS_thuysan,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,dt_tsl_risk,dt_lua_caqrisk
2015,851800.0,704650.0,160800.0,598375.0,152550.0,30.0,400.0,28.0,180.0,44350.0,55650.0
2016,810550.0,704025.0,139525.0,629900.0,179350.0,30.0,400.0,28.0,180.0,52500.0,53725.0
2017,776150.0,704075.0,121750.0,651475.0,198950.0,30.0,400.0,28.0,180.0,56675.0,52225.0
2018,748125.0,703275.0,106650.0,667975.0,213675.0,30.0,400.0,28.0,180.0,61600.0,51875.0
2019,724825.0,703900.0,95150.0,681475.0,225025.0,30.0,400.0,28.0,180.0,65050.0,49700.0
2020,702550.0,702950.0,85175.0,693125.0,234100.0,30.0,400.0,28.0,180.0,91700.0,63000.0
2021,682600.0,699950.0,76325.0,698650.0,242425.0,30.0,400.0,28.0,180.0,93975.0,61825.0
2022,665025.0,699825.0,68525.0,711125.0,249775.0,30.0,400.0,28.0,180.0,97825.0,62450.0
2023,647975.0,697000.0,62050.0,714925.0,255750.0,30.0,400.0,28.0,180.0,98300.0,62325.0
2024,633275.0,695650.0,56325.0,724000.0,261975.0,30.0,400.0,28.0,180.0,102500.0,61350.0
2025,618650.0,692125.0,51575.0,728125.0,267325.0,30.0,400.0,28.0,180.0,36950.0,48175.0
2026,605000.0,690150.0,47475.0,732400.0,272875.0,30.0,400.0,28.0,180.0,38950.0,49150.0
2027,592375.0,688425.0,43800.0,736950.0,277575.0,30.0,400.0,28.0,180.0,39000.0,47650.0
2028,579175.0,684900.0,40275.0,739150.0,281475.0,30.0,400.0,28.0,180.0,39425.0,48200.0
2029,566525.0,681750.0,36725.0,741175.0,285625.0,30.0,400.0,28.0,180.0,38775.0,45825.0
2030,555625.0,679450.0,33900.0,745050.0,289000.0,30.0,400.0,28.0,180.0,109575.0,83925.0
2015,826075.0,733000.0,183850.0,575350.0,152125.0,30.0,400.0,28.0,180.0,22400.0,27550.0
2016,752850.0,759425.0,168375.0,597425.0,179000.0,30.0,400.0,28.0,180.0,24700.0,16550.0
2017,690125.0,777800.0,154025.0,618100.0,198125.0,30.0,400.0,28.0,180.0,27850.0,6100.0
2018,648400.0,801700.0,144600.0,627375.0,212350.0,30.0,400.0,28.0,180.0,28900.0,1775.0
2019,621200.0,805075.0,136100.0,639325.0,223450.0,30.0,400.0,28.0,180.0,28900.0,750.0
2020,593425.0,808900.0,139875.0,636700.0,232475.0,30.0,400.0,28.0,180.0,41625.0,6825.0
2021,565625.0,814425.0,133775.0,640250.0,240150.0,30.0,400.0,28.0,180.0,42550.0,4125.0
2022,538525.0,821450.0,129425.0,648275.0,244600.0,30.0,400.0,28.0,180.0,43800.0,1900.0
2023,521325.0,820500.0,125875.0,649650.0,252725.0,30.0,400.0,28.0,180.0,45025.0,525.0
2024,506150.0,819225.0,122600.0,654075.0,258650.0,30.0,400.0,28.0,180.0,44275.0,175.0
2025,491175.0,818975.0,90775.0,683300.0,264350.0,30.0,400.0,28.0,180.0,18225.0,25.0
2026,475250.0,813550.0,85125.0,691275.0,270025.0,30.0,400.0,28.0,180.0,18375.0,0.0
2027,464075.0,812000.0,79275.0,698075.0,275375.0,30.0,400.0,28.0,180.0,17600.0,0.0
2028,450575.0,803000.0,76625.0,702275.0,280050.0,30.0,400.0,28.0,180.0,18250.0,0.0
2029,439500.0,796925.0,72275.0,701825.0,284025.0,30.0,400.0,28.0,180.0,17775.0,25.0
2030,417200.0,809350.0,97925.0,681875.0,288200.0,30.0,400.0,28.0,180.0,49725.0,11675.0
