'2030',tong_luc,tong_luk,tong_lua_tom,tong_tsl,tong_bhk,tong_lnk,proportion_ago_supported,proportion_aqua_supported,climate_maxTAS_thuysan,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,dt_tsl_risk,dt_lua_caqrisk,budget_supported
2030,626025.0,797000.0,145450.0,628450.0,230900.0,554675.0,0.6,0.6,30.0,400.0,28.0,100.0,33275.0,42450.0,0.0
2030,625600.0,793400.0,145475.0,627500.0,230125.0,554200.0,0.6,0.6,30.0,400.0,28.0,150.0,33275.0,43175.0,0.0
2030,625250.0,795425.0,145450.0,627975.0,232000.0,552250.0,0.6,0.6,30.0,400.0,28.0,200.0,34025.0,42325.0,0.0
2030,623075.0,796325.0,145350.0,628025.0,231700.0,555150.0,0.6,0.6,30.0,400.0,28.5,100.0,33100.0,0.0,0.0
2030,623175.0,789550.0,145300.0,627075.0,230450.0,555600.0,0.6,0.6,30.0,400.0,28.5,150.0,33650.0,0.0,0.0
2030,623350.0,794975.0,145300.0,627950.0,230175.0,555100.0,0.6,0.6,30.0,400.0,28.5,200.0,32825.0,0.0,0.0
2030,624575.0,795200.0,144900.0,630200.0,230000.0,553075.0,0.6,0.6,30.0,400.0,29.0,100.0,33550.0,0.0,0.0
2030,623975.0,796825.0,145575.0,629750.0,231450.0,553400.0,0.6,0.6,30.0,400.0,29.0,150.0,32900.0,0.0,0.0
2030,622375.0,797675.0,145400.0,628200.0,230200.0,553475.0,0.6,0.6,30.0,400.0,29.0,200.0,32450.0,0.0,0.0
2030,624075.0,795900.0,145575.0,628950.0,231175.0,554175.0,0.6,0.6,30.0,400.0,29.5,100.0,32775.0,0.0,0.0
2030,622325.0,795825.0,145150.0,630400.0,232350.0,554200.0,0.6,0.6,30.0,400.0,29.5,150.0,33025.0,0.0,0.0
2030,624025.0,797025.0,145375.0,627100.0,230275.0,553800.0,0.6,0.6,30.0,400.0,29.5,200.0,33575.0,0.0,0.0
2030,623850.0,798675.0,145000.0,630125.0,230400.0,555350.0,0.6,0.6,30.0,400.0,30.0,100.0,34200.0,0.0,0.0
2030,623000.0,795050.0,145300.0,629900.0,230650.0,555675.0,0.6,0.6,30.0,400.0,30.0,150.0,33725.0,0.0,0.0
2030,625175.0,796500.0,145100.0,616525.0,231175.0,553850.0,0.6,0.6,30.0,400.0,30.0,200.0,32825.0,0.0,0.0
