year,tong_luc,tong_luk,tong_lua_tom,tong_tsl,tong_bhk,climate_maxTAS_thuysan,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,dt_tsl_risk,dt_lua_caqrisk
2015,860100.0,717425.0,211600.0,545600.0,145275.0,30.0,400.0,28.0,180.0,0.0,38625.0
2016,817900.0,724025.0,212675.0,551125.0,171125.0,30.0,400.0,28.0,180.0,0.0,36275.0
2017,784475.0,732675.0,213125.0,555900.0,189575.0,30.0,400.0,28.0,180.0,0.0,34525.0
2018,760575.0,738800.0,210375.0,562125.0,201975.0,30.0,400.0,28.0,180.0,0.0,35375.0
2019,740325.0,746700.0,212400.0,560400.0,209125.0,30.0,400.0,28.0,180.0,0.0,35950.0
2020,724750.0,752425.0,225275.0,548775.0,213800.0,30.0,400.0,28.0,180.0,0.0,42525.0
2021,709300.0,754925.0,226150.0,546575.0,217100.0,30.0,400.0,28.0,180.0,0.0,40150.0
2022,696125.0,764300.0,227425.0,547575.0,220950.0,30.0,400.0,28.0,180.0,0.0,40600.0
2023,682625.0,767475.0,227200.0,547700.0,223500.0,30.0,400.0,28.0,180.0,0.0,40725.0
2024,671975.0,774325.0,228250.0,547450.0,225700.0,30.0,400.0,28.0,180.0,0.0,38450.0
2025,658950.0,778150.0,207600.0,564475.0,227450.0,30.0,400.0,28.0,180.0,0.0,32250.0
2026,649275.0,782975.0,205050.0,568625.0,229250.0,30.0,400.0,28.0,180.0,0.0,30300.0
2027,634225.0,788100.0,203900.0,571100.0,230250.0,30.0,400.0,28.0,180.0,0.0,29650.0
2028,631200.0,791475.0,202325.0,572750.0,230400.0,30.0,400.0,28.0,180.0,0.0,29975.0
2029,622725.0,796475.0,200750.0,574975.0,231525.0,30.0,400.0,28.0,180.0,0.0,30150.0
2015,805925.0,768950.0,210875.0,545850.0,145425.0,30.0,400.0,28.0,180.0,0.0,0.0
2016,723025.0,818300.0,212675.0,552600.0,171175.0,30.0,400.0,28.0,180.0,0.0,0.0
2017,683675.0,825000.0,210825.0,558975.0,189200.0,30.0,400.0,28.0,180.0,0.0,0.0
2018,659050.0,838575.0,211975.0,558250.0,200975.0,30.0,400.0,28.0,180.0,0.0,0.0
2019,642275.0,846650.0,211750.0,560450.0,207800.0,30.0,400.0,28.0,180.0,0.0,0.0
2020,615025.0,863000.0,226300.0,542475.0,212500.0,30.0,400.0,28.0,180.0,0.0,0.0
2021,590250.0,878800.0,226575.0,547825.0,216500.0,30.0,400.0,28.0,180.0,0.0,0.0
2022,565100.0,878300.0,226925.0,544250.0,219600.0,30.0,400.0,28.0,180.0,0.0,0.0
2023,563475.0,887450.0,227225.0,544550.0,222375.0,30.0,400.0,28.0,180.0,0.0,0.0
2024,554325.0,891750.0,226300.0,546825.0,224350.0,30.0,400.0,28.0,180.0,0.0,0.0
2025,542950.0,897375.0,207000.0,563075.0,226550.0,30.0,400.0,28.0,180.0,0.0,0.0
2026,533075.0,901750.0,204625.0,570300.0,228475.0,30.0,400.0,28.0,180.0,0.0,0.0
2027,524025.0,905300.0,203925.0,567500.0,228725.0,30.0,400.0,28.0,180.0,0.0,0.0
2028,515775.0,907275.0,201800.0,573100.0,229550.0,30.0,400.0,28.0,180.0,0.0,0.0
2029,508650.0,913800.0,200250.0,575300.0,230000.0,30.0,400.0,28.0,180.0,0.0,0.0
2015,807700.0,768400.0,211175.0,545225.0,145525.0,30.0,400.0,28.0,180.0,0.0,0.0
2016,722900.0,807775.0,211350.0,553825.0,171575.0,30.0,400.0,28.0,180.0,0.0,0.0
2017,683275.0,830625.0,212350.0,556125.0,189750.0,30.0,400.0,28.0,180.0,0.0,0.0
2018,660450.0,841075.0,211450.0,558350.0,201950.0,30.0,400.0,28.0,180.0,0.0,0.0
2019,641225.0,845200.0,212075.0,560075.0,209050.0,30.0,400.0,28.0,180.0,0.0,0.0
2020,614950.0,862500.0,224775.0,548100.0,213650.0,30.0,400.0,28.0,180.0,0.0,0.0
2021,587375.0,879250.0,228025.0,545700.0,217575.0,30.0,400.0,28.0,180.0,0.0,0.0
2022,575550.0,885500.0,227150.0,536750.0,220775.0,30.0,400.0,28.0,180.0,0.0,0.0
2023,564325.0,889525.0,227425.0,543750.0,223575.0,30.0,400.0,28.0,180.0,0.0,0.0
2024,553800.0,893325.0,226725.0,546900.0,225700.0,30.0,400.0,28.0,180.0,0.0,0.0
2025,543825.0,899125.0,206600.0,565225.0,227525.0,30.0,400.0,28.0,180.0,0.0,0.0
2026,533025.0,902675.0,204425.0,568550.0,228750.0,30.0,400.0,28.0,180.0,0.0,0.0
2027,524675.0,906025.0,202725.0,572150.0,229400.0,30.0,400.0,28.0,180.0,0.0,0.0
2028,516575.0,908925.0,201800.0,572725.0,230100.0,30.0,400.0,28.0,180.0,0.0,0.0
2029,508800.0,913725.0,199650.0,573900.0,230400.0,30.0,400.0,28.0,180.0,0.0,0.0
2015,806075.0,768525.0,212200.0,543650.0,145200.0,30.0,400.0,28.0,180.0,0.0,0.0
2016,723800.0,817725.0,213200.0,553450.0,171400.0,30.0,400.0,28.0,180.0,0.0,0.0
2017,684525.0,833375.0,212075.0,557125.0,189775.0,30.0,400.0,28.0,180.0,0.0,0.0
2018,658725.0,838825.0,211950.0,559825.0,202400.0,30.0,400.0,28.0,180.0,0.0,0.0
2019,640550.0,843200.0,211675.0,558475.0,209400.0,30.0,400.0,28.0,180.0,0.0,0.0
2020,612850.0,863025.0,225825.0,545850.0,214075.0,30.0,400.0,28.0,180.0,0.0,0.0
2021,588875.0,841050.0,226600.0,542400.0,218200.0,30.0,400.0,28.0,180.0,0.0,0.0
2022,573275.0,884000.0,227875.0,543675.0,221575.0,30.0,400.0,28.0,180.0,0.0,0.0
2023,562325.0,886925.0,228675.0,543425.0,224800.0,30.0,400.0,28.0,180.0,0.0,0.0
2024,551575.0,892700.0,228050.0,546725.0,226925.0,30.0,400.0,28.0,180.0,0.0,0.0
2025,540475.0,835225.0,207875.0,532525.0,229075.0,30.0,400.0,28.0,180.0,0.0,0.0
2026,532225.0,902775.0,206925.0,567925.0,230750.0,30.0,400.0,28.0,180.0,0.0,0.0
2027,522125.0,905800.0,205400.0,564850.0,231350.0,30.0,400.0,28.0,180.0,0.0,0.0
2028,513625.0,911825.0,203100.0,572425.0,232125.0,30.0,400.0,28.0,180.0,0.0,0.0
2029,501125.0,913000.0,201475.0,573450.0,221950.0,30.0,400.0,28.0,180.0,0.0,0.0
2015,807100.0,768800.0,211250.0,545075.0,145475.0,30.0,400.0,28.0,180.0,0.0,0.0
2016,722525.0,818025.0,210375.0,535650.0,170975.0,30.0,400.0,28.0,180.0,0.0,0.0
2017,682925.0,833075.0,210900.0,559125.0,189525.0,30.0,400.0,28.0,180.0,0.0,0.0
2018,658175.0,839925.0,212375.0,553350.0,201625.0,30.0,400.0,28.0,180.0,0.0,0.0
2019,640600.0,845300.0,210675.0,561175.0,208900.0,30.0,400.0,28.0,180.0,0.0,0.0
2020,613300.0,862900.0,224725.0,547600.0,213525.0,30.0,400.0,28.0,180.0,0.0,0.0
2021,588975.0,877375.0,225450.0,546900.0,217350.0,30.0,400.0,28.0,180.0,0.0,0.0
2022,573950.0,884625.0,226850.0,548150.0,220850.0,30.0,400.0,28.0,180.0,0.0,0.0
2023,562425.0,888300.0,227175.0,546075.0,223675.0,30.0,400.0,28.0,180.0,0.0,0.0
2024,551750.0,887550.0,225900.0,549275.0,226125.0,30.0,400.0,28.0,180.0,0.0,0.0
2025,540075.0,896500.0,207475.0,567250.0,227950.0,30.0,400.0,28.0,180.0,0.0,0.0
2026,531000.0,875950.0,205325.0,567550.0,230100.0,30.0,400.0,28.0,180.0,0.0,0.0
2027,520550.0,902775.0,205075.0,569800.0,231225.0,30.0,400.0,28.0,180.0,0.0,0.0
2028,513175.0,908425.0,203050.0,572650.0,232025.0,30.0,400.0,28.0,180.0,0.0,0.0
2029,506100.0,913550.0,201025.0,572750.0,232325.0,30.0,400.0,28.0,180.0,0.0,0.0
2015,807725.0,772825.0,213675.0,543950.0,145575.0,30.0,400.0,28.0,180.0,0.0,0.0
2016,722150.0,820375.0,212975.0,552550.0,171250.0,30.0,400.0,28.0,180.0,0.0,0.0
2017,683925.0,831850.0,211700.0,556550.0,189750.0,30.0,400.0,28.0,180.0,0.0,0.0
2018,658850.0,840050.0,211950.0,556650.0,201500.0,30.0,400.0,28.0,180.0,0.0,0.0
2019,641875.0,845350.0,210525.0,562100.0,208725.0,30.0,400.0,28.0,180.0,0.0,0.0
2020,615275.0,861950.0,225650.0,548050.0,213725.0,30.0,400.0,28.0,180.0,0.0,0.0
2021,589825.0,875050.0,225275.0,545450.0,217850.0,30.0,400.0,28.0,180.0,0.0,0.0
2022,575150.0,883325.0,227025.0,543200.0,221225.0,30.0,400.0,28.0,180.0,0.0,0.0
2023,560525.0,888300.0,225475.0,545050.0,224150.0,30.0,400.0,28.0,180.0,0.0,0.0
2024,553100.0,892000.0,226000.0,545075.0,226100.0,30.0,400.0,28.0,180.0,0.0,0.0
2025,543450.0,893100.0,205700.0,567450.0,228350.0,30.0,400.0,28.0,180.0,0.0,0.0
2026,533400.0,901950.0,204050.0,569450.0,230000.0,30.0,400.0,28.0,180.0,0.0,0.0
2027,523375.0,905700.0,202075.0,570075.0,231275.0,30.0,400.0,28.0,180.0,0.0,0.0
2028,514775.0,908625.0,200975.0,567800.0,232025.0,30.0,400.0,28.0,180.0,0.0,0.0
2029,503175.0,911450.0,199625.0,573500.0,232275.0,30.0,400.0,28.0,180.0,0.0,0.0
2015,806550.0,771825.0,212325.0,545325.0,145525.0,30.0,400.0,28.0,180.0,0.0,0.0
2016,724650.0,818975.0,206775.0,555225.0,171375.0,30.0,400.0,28.0,180.0,0.0,0.0
2017,685200.0,831075.0,210300.0,556850.0,189375.0,30.0,400.0,28.0,180.0,0.0,0.0
2018,659775.0,838650.0,211300.0,557300.0,201350.0,30.0,400.0,28.0,180.0,0.0,0.0
2019,640050.0,846025.0,211400.0,560825.0,208450.0,30.0,400.0,28.0,180.0,0.0,0.0
2020,614200.0,863325.0,225450.0,547950.0,213150.0,30.0,400.0,28.0,180.0,0.0,0.0
2021,589325.0,876875.0,228075.0,544575.0,215850.0,30.0,400.0,28.0,180.0,0.0,0.0
2022,575675.0,883100.0,226025.0,547375.0,220600.0,30.0,400.0,28.0,180.0,0.0,0.0
