year,tong_luc,tong_luk,tong_lua_tom,tong_tsl,tong_bhk,tong_lnk,climate_maxTAS_thuysan,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,dt_tsl_risk,dt_lua_caqrisk
2015,844825.0,733350.0,195325.0,559700.0,144550.0,504550.0,30.0,400.0,28.0,180.0,29250.0,37425.0
2016,783425.0,758400.0,192000.0,573050.0,171075.0,502125.0,30.0,400.0,28.0,180.0,28000.0,28175.0
2017,726250.0,788625.0,189175.0,577900.0,189750.0,505875.0,30.0,400.0,28.0,180.0,28875.0,17325.0
2018,680050.0,816275.0,187650.0,583800.0,201600.0,509775.0,30.0,400.0,28.0,180.0,29350.0,8850.0
2019,649750.0,833500.0,183150.0,584900.0,208700.0,514250.0,30.0,400.0,28.0,180.0,30125.0,3075.0
2020,626625.0,849200.0,188575.0,584775.0,213425.0,519175.0,30.0,400.0,28.0,180.0,45250.0,10000.0
2021,606550.0,859300.0,185575.0,586725.0,217025.0,522675.0,30.0,400.0,28.0,180.0,46275.0,7350.0
2022,587550.0,863175.0,185900.0,585775.0,219900.0,527100.0,30.0,400.0,28.0,180.0,46200.0,4350.0
2023,570350.0,880500.0,184800.0,588600.0,223175.0,531525.0,30.0,400.0,28.0,180.0,45025.0,2000.0
2024,555550.0,885650.0,183300.0,582700.0,224950.0,535875.0,30.0,400.0,28.0,180.0,45825.0,525.0
2025,545200.0,884850.0,171750.0,602225.0,227100.0,538925.0,30.0,400.0,28.0,180.0,20900.0,50.0
2026,534125.0,895200.0,170125.0,600725.0,228750.0,541975.0,30.0,400.0,28.0,180.0,19650.0,100.0
2027,524950.0,903475.0,168475.0,603425.0,229975.0,546100.0,30.0,400.0,28.0,180.0,20150.0,25.0
2028,516225.0,903950.0,166175.0,607800.0,230725.0,549550.0,30.0,400.0,28.0,180.0,20275.0,25.0
2029,509275.0,911525.0,165225.0,605775.0,230725.0,552075.0,30.0,400.0,28.0,180.0,20400.0,50.0
2015,827875.0,746525.0,195075.0,558650.0,145350.0,503450.0,30.0,400.0,28.0,180.0,27975.0,22275.0
2016,750250.0,791125.0,193225.0,572900.0,171050.0,503000.0,30.0,400.0,28.0,180.0,28300.0,10425.0
2017,691475.0,825550.0,189875.0,580475.0,189250.0,505800.0,30.0,400.0,28.0,180.0,28225.0,1775.0
2018,661425.0,836225.0,187500.0,577350.0,201075.0,509300.0,30.0,400.0,28.0,180.0,28500.0,250.0
2019,642625.0,844325.0,184875.0,587275.0,207825.0,513950.0,30.0,400.0,28.0,180.0,30100.0,75.0
2020,620875.0,855650.0,189525.0,582625.0,212400.0,516125.0,30.0,400.0,28.0,180.0,44100.0,5650.0
2021,599075.0,868775.0,187550.0,583875.0,216200.0,523700.0,30.0,400.0,28.0,180.0,45925.0,2400.0
2022,578075.0,879900.0,186700.0,585100.0,219125.0,526475.0,30.0,400.0,28.0,180.0,44000.0,475.0
2023,565225.0,887425.0,184950.0,588575.0,222050.0,530850.0,30.0,400.0,28.0,180.0,45175.0,25.0
