year,tong_luc,tong_luk,tong_lua_tom,tong_tsl,tong_bhk,climate_maxTAS_thuysan,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,dt_tsl_risk,dt_lua_caqrisk
2015,859900.0,717850.0,184525.0,572350.0,145825.0,30.0,400.0,28.0,180.0,27025.0,36450.0
2016,819875.0,725525.0,179000.0,587725.0,171550.0,30.0,400.0,28.0,180.0,29875.0,36975.0
2017,786850.0,731850.0,174375.0,596275.0,189825.0,30.0,400.0,28.0,180.0,30150.0,34300.0
2018,761675.0,738100.0,170275.0,599900.0,201775.0,30.0,400.0,28.0,180.0,32525.0,35650.0
2019,743925.0,747225.0,167150.0,606800.0,209125.0,30.0,400.0,28.0,180.0,32450.0,35225.0
2020,727325.0,750350.0,163775.0,610200.0,213875.0,30.0,400.0,28.0,180.0,47475.0,43375.0
2021,711000.0,758425.0,161025.0,614000.0,217700.0,30.0,400.0,28.0,180.0,48975.0,41725.0
2022,698975.0,763500.0,158625.0,617125.0,220625.0,30.0,400.0,28.0,180.0,48625.0,41850.0
2023,685650.0,762450.0,156175.0,618275.0,223525.0,30.0,400.0,28.0,180.0,49150.0,39525.0
2024,673000.0,771625.0,153800.0,618900.0,225475.0,30.0,400.0,28.0,180.0,49250.0,39050.0
2025,662350.0,778550.0,151600.0,621325.0,227275.0,30.0,400.0,28.0,180.0,21975.0,30675.0
2026,652400.0,783575.0,149725.0,625500.0,229025.0,30.0,400.0,28.0,180.0,23350.0,29650.0
2027,641925.0,787400.0,147450.0,627575.0,230300.0,30.0,400.0,28.0,180.0,24300.0,30650.0
2028,632650.0,792350.0,146625.0,629375.0,230675.0,30.0,400.0,28.0,180.0,22775.0,31200.0
2029,623775.0,789825.0,145325.0,628950.0,231275.0,30.0,400.0,28.0,180.0,23400.0,28450.0
2015,860750.0,718000.0,183950.0,572450.0,145525.0,30.0,400.0,28.0,180.0,28100.0,20650.0
2016,818700.0,722375.0,178250.0,587300.0,171200.0,30.0,400.0,28.0,180.0,30150.0,20975.0
2017,786875.0,732175.0,174150.0,596400.0,189775.0,30.0,400.0,28.0,180.0,30625.0,20550.0
2018,760875.0,737425.0,167575.0,599925.0,201550.0,30.0,400.0,28.0,180.0,31800.0,20400.0
2019,742625.0,746550.0,166750.0,605975.0,208525.0,30.0,400.0,28.0,180.0,32225.0,20575.0
2020,726475.0,750300.0,164125.0,609650.0,213600.0,30.0,400.0,28.0,180.0,48550.0,23550.0
2021,712350.0,758300.0,160825.0,613800.0,217200.0,30.0,400.0,28.0,180.0,46975.0,23550.0
2022,699650.0,763550.0,158575.0,616425.0,220600.0,30.0,400.0,28.0,180.0,48950.0,23325.0
2023,685825.0,764150.0,156000.0,616375.0,223500.0,30.0,400.0,28.0,180.0,49700.0,22150.0
2024,673875.0,773675.0,153375.0,621850.0,225825.0,30.0,400.0,28.0,180.0,49250.0,22450.0
2025,659175.0,778875.0,151425.0,623750.0,227500.0,30.0,400.0,28.0,180.0,22475.0,18300.0
2026,651250.0,781350.0,149875.0,624900.0,229850.0,30.0,400.0,28.0,180.0,23750.0,18300.0
2027,642250.0,790025.0,148000.0,627525.0,230575.0,30.0,400.0,28.0,180.0,23150.0,17125.0
2028,633175.0,793275.0,146075.0,628800.0,231350.0,30.0,400.0,28.0,180.0,23725.0,16775.0
2029,624875.0,798600.0,145500.0,630575.0,231300.0,30.0,400.0,28.0,180.0,22800.0,18500.0
2015,859000.0,709750.0,184425.0,572825.0,145525.0,30.0,400.0,28.0,180.0,27150.0,5425.0
2016,820425.0,724925.0,178925.0,587650.0,171275.0,30.0,400.0,28.0,180.0,28700.0,6075.0
2017,786325.0,721775.0,173500.0,596050.0,189625.0,30.0,400.0,28.0,180.0,31025.0,5175.0
2018,762250.0,739650.0,170450.0,601450.0,201600.0,30.0,400.0,28.0,180.0,30600.0,5575.0
2019,741825.0,745925.0,166975.0,603825.0,208775.0,30.0,400.0,28.0,180.0,30650.0,4925.0
2020,725300.0,750450.0,164075.0,607400.0,213325.0,30.0,400.0,28.0,180.0,46825.0,5875.0
2021,711550.0,757325.0,160775.0,613600.0,217100.0,30.0,400.0,28.0,180.0,48675.0,5400.0
2022,697450.0,761475.0,158325.0,614700.0,220325.0,30.0,400.0,28.0,180.0,48575.0,5900.0
2023,679100.0,767825.0,155500.0,618900.0,223650.0,30.0,400.0,28.0,180.0,46550.0,5850.0
2024,672350.0,772500.0,153400.0,621100.0,226000.0,30.0,400.0,28.0,180.0,50450.0,5650.0
2025,662775.0,779725.0,151425.0,624025.0,228375.0,30.0,400.0,28.0,180.0,24350.0,4600.0
2026,651375.0,784425.0,149750.0,626000.0,230325.0,30.0,400.0,28.0,180.0,22200.0,4500.0
2027,640825.0,788525.0,147775.0,624950.0,231350.0,30.0,400.0,28.0,180.0,24000.0,4325.0
2028,632200.0,789700.0,146475.0,626425.0,231750.0,30.0,400.0,28.0,180.0,23550.0,4075.0
2029,624575.0,790325.0,145400.0,630100.0,232425.0,30.0,400.0,28.0,180.0,23400.0,4200.0
2015,851675.0,717825.0,184050.0,572950.0,145075.0,30.0,400.0,28.0,180.0,14525.0,36950.0
2016,813825.0,717700.0,178850.0,585350.0,171125.0,30.0,400.0,28.0,180.0,16450.0,35850.0
2017,784050.0,730075.0,173550.0,595250.0,189800.0,30.0,400.0,28.0,180.0,17900.0,35225.0
2018,759875.0,736025.0,170350.0,598950.0,201450.0,30.0,400.0,28.0,180.0,17400.0,33950.0
2019,742975.0,746900.0,167150.0,606275.0,208550.0,30.0,400.0,28.0,180.0,18725.0,33775.0
