year,tong_luc,tong_luk,tong_lua_tom,tong_tsl,tong_bhk,tong_lnk,climate_maxTAS_thuysan,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,dt_tsl_risk,dt_lua_caqrisk
2015,851675.0,705775.0,160300.0,599425.0,153500.0,514775.0,33.0,300.0,33.0,120.0,116125.0,73475.0
2016,808725.0,691250.0,139000.0,630450.0,178775.0,522300.0,33.0,300.0,33.0,120.0,120900.0,68250.0
2017,775100.0,703050.0,121450.0,651800.0,199475.0,532200.0,33.0,300.0,33.0,120.0,128725.0,64750.0
2018,739900.0,701900.0,106375.0,668425.0,213700.0,541150.0,33.0,300.0,33.0,120.0,133525.0,60750.0
2019,721775.0,703500.0,94225.0,681850.0,223050.0,555600.0,33.0,300.0,33.0,120.0,133675.0,60500.0
2020,700950.0,692175.0,84300.0,691550.0,235225.0,567175.0,33.0,300.0,33.0,120.0,140125.0,57350.0
2021,680325.0,701000.0,75125.0,698600.0,243675.0,578375.0,33.0,300.0,33.0,120.0,138775.0,55650.0
2022,662575.0,701125.0,67400.0,711000.0,251450.0,589325.0,33.0,300.0,33.0,120.0,139275.0,54150.0
2023,644750.0,699100.0,61175.0,718700.0,257875.0,601300.0,33.0,300.0,33.0,120.0,143575.0,51800.0
2024,627750.0,696350.0,55225.0,723525.0,263575.0,613675.0,33.0,300.0,33.0,120.0,126375.0,47275.0
2025,613025.0,695825.0,50525.0,728375.0,268875.0,624100.0,33.0,300.0,33.0,120.0,141575.0,47875.0
2026,600575.0,693300.0,46350.0,724275.0,274425.0,634625.0,33.0,300.0,33.0,120.0,143600.0,46950.0
2027,588975.0,677825.0,42650.0,736500.0,278375.0,643950.0,33.0,300.0,33.0,120.0,145975.0,45400.0
2028,577200.0,651725.0,39125.0,739350.0,282050.0,641850.0,33.0,300.0,33.0,120.0,30750.0,26000.0
2029,557775.0,686325.0,35650.0,742275.0,279850.0,659675.0,33.0,300.0,33.0,120.0,146775.0,42275.0
2030,551825.0,672525.0,32725.0,739875.0,288275.0,655625.0,33.0,300.0,33.0,120.0,149325.0,42325.0
2031,543350.0,680300.0,29675.0,739750.0,291575.0,685200.0,33.0,300.0,33.0,120.0,151900.0,40725.0
2032,534925.0,677075.0,27325.0,753250.0,294525.0,680425.0,33.0,300.0,33.0,120.0,149575.0,40550.0
2033,525125.0,664475.0,25175.0,753275.0,297700.0,703500.0,33.0,300.0,33.0,120.0,149075.0,38150.0
2034,516500.0,672375.0,23175.0,756350.0,300225.0,704500.0,33.0,300.0,33.0,120.0,147150.0,37825.0
2035,502000.0,664075.0,21325.0,760625.0,303050.0,709150.0,33.0,300.0,33.0,120.0,148300.0,36375.0
2036,500800.0,660625.0,19675.0,762400.0,305550.0,728350.0,33.0,300.0,33.0,120.0,152450.0,35150.0
2037,493275.0,662650.0,18150.0,753400.0,307450.0,726025.0,33.0,300.0,33.0,120.0,150850.0,35200.0
2038,486275.0,660700.0,17275.0,757175.0,310150.0,743925.0,33.0,300.0,33.0,120.0,153950.0,34550.0
2039,479600.0,658250.0,16550.0,763600.0,310975.0,751400.0,33.0,300.0,33.0,120.0,153100.0,33625.0
2040,471750.0,655650.0,15750.0,763500.0,314350.0,756950.0,33.0,300.0,33.0,120.0,147425.0,33375.0
2041,465800.0,653300.0,15075.0,755375.0,316125.0,765350.0,33.0,300.0,33.0,120.0,153700.0,33700.0
2042,460300.0,650375.0,14500.0,766250.0,317875.0,771225.0,33.0,300.0,33.0,120.0,151575.0,32750.0
2043,454075.0,647725.0,13950.0,768425.0,319825.0,778825.0,33.0,300.0,33.0,120.0,153775.0,31600.0
2044,449125.0,644025.0,13425.0,767500.0,319725.0,775550.0,33.0,300.0,33.0,120.0,149950.0,30950.0
2045,437775.0,642050.0,13000.0,768250.0,322750.0,767675.0,33.0,300.0,33.0,120.0,153350.0,29275.0
2046,438875.0,639600.0,12725.0,767875.0,324475.0,796175.0,33.0,300.0,33.0,120.0,152475.0,30625.0
2047,434925.0,623800.0,12550.0,768750.0,325700.0,798525.0,33.0,300.0,33.0,120.0,143625.0,29650.0
2048,429875.0,620550.0,12500.0,767650.0,326675.0,796900.0,33.0,300.0,33.0,120.0,152575.0,29950.0
2049,425650.0,630800.0,12500.0,766600.0,327925.0,813975.0,33.0,300.0,33.0,120.0,155000.0,27675.0
2050,422125.0,630225.0,12500.0,767925.0,328800.0,819400.0,33.0,300.0,33.0,120.0,0.0,0.0
