year,tong_luc,tong_luk,tong_lua_tom,tong_tsl,tong_bhk,tong_lnk,climate_maxTAS_thuysan,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,dt_tsl_risk,dt_lua_caqrisk
2015,828025.0,589775.0,204125.0,537125.0,139425.0,521875.0,33.0,300.0,33.0,120.0,83550.0,99925.0
2016,737875.0,799850.0,198225.0,566400.0,161375.0,519625.0,33.0,300.0,33.0,120.0,87425.0,70250.0
2017,653625.0,842575.0,188975.0,584600.0,182350.0,519200.0,33.0,300.0,33.0,120.0,91125.0,41325.0
2018,597625.0,875400.0,179100.0,602450.0,198225.0,522675.0,33.0,300.0,33.0,120.0,95175.0,22125.0
2019,562375.0,896925.0,170650.0,615475.0,206350.0,524750.0,33.0,300.0,33.0,120.0,98250.0,11375.0
2020,544425.0,903900.0,163375.0,627675.0,209850.0,527700.0,33.0,300.0,33.0,120.0,98100.0,6225.0
2021,533350.0,906350.0,151875.0,637750.0,212325.0,531925.0,33.0,300.0,33.0,120.0,99750.0,4775.0
2022,523975.0,907575.0,148175.0,647150.0,213900.0,533700.0,33.0,300.0,33.0,120.0,101200.0,3425.0
2023,519300.0,908025.0,142025.0,655950.0,215250.0,535900.0,33.0,300.0,33.0,120.0,103625.0,2600.0
2024,513050.0,907900.0,131525.0,667750.0,169075.0,538675.0,33.0,300.0,33.0,120.0,85575.0,2225.0
2025,508800.0,907350.0,131500.0,670675.0,216950.0,542150.0,33.0,300.0,33.0,120.0,105450.0,1300.0
2026,504475.0,906825.0,126375.0,677800.0,216825.0,544400.0,33.0,300.0,33.0,120.0,105900.0,1550.0
2027,501550.0,906300.0,121050.0,683325.0,218275.0,545650.0,33.0,300.0,33.0,120.0,104275.0,1125.0
2028,493150.0,904725.0,87575.0,717175.0,218400.0,547925.0,33.0,300.0,33.0,120.0,31575.0,900.0
2029,495700.0,904950.0,114400.0,693800.0,184975.0,549800.0,33.0,300.0,33.0,120.0,107275.0,800.0
2015,786600.0,794875.0,205725.0,535600.0,139400.0,522600.0,33.0,300.0,33.0,120.0,80500.0,56650.0
2016,660025.0,870100.0,196950.0,564850.0,163000.0,521150.0,33.0,300.0,33.0,120.0,86575.0,25350.0
2017,580350.0,919375.0,189500.0,583325.0,181650.0,521300.0,33.0,300.0,33.0,120.0,92875.0,8275.0
2018,551550.0,928700.0,178575.0,602900.0,192375.0,523000.0,33.0,300.0,33.0,120.0,96350.0,3000.0
2019,501400.0,929275.0,170600.0,614500.0,199825.0,525650.0,33.0,300.0,33.0,120.0,95725.0,1350.0
2020,527125.0,928725.0,162675.0,623650.0,205025.0,527225.0,33.0,300.0,33.0,120.0,99775.0,1050.0
2021,520225.0,927075.0,155550.0,636200.0,205050.0,530425.0,33.0,300.0,33.0,120.0,97400.0,800.0
2022,514400.0,926150.0,148450.0,644975.0,210075.0,532275.0,33.0,300.0,33.0,120.0,99950.0,375.0
2023,509675.0,924400.0,142125.0,654000.0,212300.0,535325.0,33.0,300.0,33.0,120.0,103050.0,300.0
