year,tong_luc,tong_luk,tong_lua_tom,tong_tsl,tong_bhk,tong_lnk,climate_maxTAS_thuysan,climate_maxPR_thuysan,climate_maxTAS_caytrong,climate_minPR_caytrong,dt_tsl_risk,dt_lua_caqrisk
2015,823975.0,751975.0,204950.0,535525.0,139250.0,522425.0,33.0,300.0,33.0,120.0,82200.0,98825.0
2016,736625.0,611275.0,196350.0,566775.0,160825.0,520600.0,33.0,300.0,33.0,120.0,89300.0,69275.0
2017,657750.0,842600.0,187000.0,587250.0,181125.0,522175.0,33.0,300.0,33.0,120.0,93325.0,41250.0
2018,598000.0,875475.0,179125.0,602575.0,197425.0,524250.0,33.0,300.0,33.0,120.0,94625.0,21800.0
2019,561050.0,898050.0,169325.0,617575.0,205750.0,527450.0,33.0,300.0,33.0,120.0,99925.0,10375.0
2020,542550.0,828125.0,161500.0,629000.0,210225.0,529500.0,33.0,300.0,33.0,120.0,98300.0,6300.0
2021,530825.0,906925.0,154350.0,638425.0,212575.0,532275.0,33.0,300.0,33.0,120.0,99150.0,4000.0
2022,523500.0,909475.0,147250.0,648200.0,214550.0,534950.0,33.0,300.0,33.0,120.0,101825.0,3175.0
2023,517500.0,908425.0,143400.0,654875.0,215900.0,537825.0,33.0,300.0,33.0,120.0,101875.0,2350.0
2024,512850.0,908200.0,128375.0,673075.0,216500.0,540125.0,33.0,300.0,33.0,120.0,87975.0,1775.0
2025,508075.0,907050.0,132750.0,668975.0,216875.0,541850.0,33.0,300.0,33.0,120.0,102200.0,1525.0
2026,505225.0,905625.0,126975.0,677425.0,217600.0,544275.0,33.0,300.0,33.0,120.0,103800.0,1150.0
2027,501675.0,905375.0,124075.0,681475.0,218025.0,546125.0,33.0,300.0,33.0,120.0,106325.0,1275.0
2028,498150.0,903400.0,86200.0,719675.0,217875.0,548425.0,33.0,300.0,33.0,120.0,30825.0,850.0
2029,494900.0,904000.0,114850.0,693350.0,218525.0,551975.0,33.0,300.0,33.0,120.0,107900.0,800.0
2015,782750.0,793600.0,205550.0,534675.0,139500.0,521375.0,33.0,300.0,33.0,120.0,80750.0,57025.0
2016,657550.0,873075.0,197425.0,565575.0,162600.0,520925.0,33.0,300.0,33.0,120.0,79875.0,25375.0
2017,580525.0,913525.0,188225.0,587075.0,180700.0,523325.0,33.0,300.0,33.0,120.0,92475.0,8375.0
2018,551575.0,902125.0,179600.0,602150.0,191625.0,525625.0,33.0,300.0,33.0,120.0,94975.0,3200.0
2019,536175.0,929400.0,171925.0,613875.0,198550.0,526825.0,33.0,300.0,33.0,120.0,96225.0,1475.0
2020,526750.0,930150.0,165125.0,623575.0,203175.0,529475.0,33.0,300.0,33.0,120.0,96850.0,900.0
2021,518775.0,928575.0,156925.0,631475.0,205475.0,531050.0,33.0,300.0,33.0,120.0,96475.0,650.0
2022,509025.0,927025.0,150375.0,642025.0,207575.0,533925.0,33.0,300.0,33.0,120.0,98300.0,425.0
2023,458900.0,925850.0,144125.0,650950.0,207450.0,536275.0,33.0,300.0,33.0,120.0,99100.0,375.0
2024,505625.0,923050.0,131850.0,663825.0,210225.0,537100.0,33.0,300.0,33.0,120.0,85425.0,150.0
2025,501775.0,921350.0,132800.0,667050.0,211175.0,537575.0,33.0,300.0,33.0,120.0,101125.0,100.0
2026,498900.0,920500.0,128875.0,670400.0,211325.0,543950.0,33.0,300.0,33.0,120.0,104300.0,75.0
2027,496725.0,917500.0,125700.0,662975.0,211800.0,546425.0,33.0,300.0,33.0,120.0,102375.0,25.0
2028,495125.0,918075.0,91050.0,714275.0,212150.0,549275.0,33.0,300.0,33.0,120.0,29475.0,75.0
2029,491650.0,914625.0,118900.0,687350.0,212650.0,550775.0,33.0,300.0,33.0,120.0,104275.0,25.0
2015,742075.0,835575.0,207800.0,533375.0,139550.0,522075.0,33.0,300.0,33.0,120.0,79425.0,13775.0
2016,605025.0,927750.0,197425.0,543000.0,161425.0,521000.0,33.0,300.0,33.0,120.0,88600.0,3850.0
2017,558925.0,949400.0,188900.0,584375.0,173150.0,521050.0,33.0,300.0,33.0,120.0,92350.0,525.0
2018,540475.0,949225.0,181900.0,595775.0,180950.0,523925.0,33.0,300.0,33.0,120.0,94050.0,200.0
2019,530225.0,947575.0,172600.0,610175.0,187275.0,526350.0,33.0,300.0,33.0,120.0,96200.0,175.0
2020,521575.0,947225.0,164700.0,623100.0,191325.0,529000.0,33.0,300.0,33.0,120.0,98225.0,75.0
2021,515825.0,944650.0,157175.0,633825.0,194250.0,531350.0,33.0,300.0,33.0,120.0,95800.0,0.0
2022,511500.0,932225.0,151050.0,642550.0,196625.0,533900.0,33.0,300.0,33.0,120.0,99100.0,0.0
2023,507450.0,937675.0,144550.0,645600.0,197825.0,536800.0,33.0,300.0,33.0,120.0,102400.0,0.0
2024,504200.0,935825.0,131100.0,666150.0,199250.0,539325.0,33.0,300.0,33.0,120.0,86025.0,0.0
2025,501350.0,823775.0,134375.0,666325.0,200150.0,540850.0,33.0,300.0,33.0,120.0,99500.0,0.0
2026,498625.0,931500.0,127925.0,674475.0,201125.0,543800.0,33.0,300.0,33.0,120.0,103900.0,0.0
2027,497225.0,929375.0,124125.0,679125.0,201850.0,544950.0,33.0,300.0,33.0,120.0,102875.0,0.0
2028,493050.0,927800.0,89425.0,712525.0,202575.0,546775.0,33.0,300.0,33.0,120.0,29325.0,0.0
2029,491550.0,926450.0,115900.0,688875.0,203175.0,549350.0,33.0,300.0,33.0,120.0,103750.0,0.0
2015,826825.0,741775.0,240025.0,500875.0,139275.0,521475.0,33.0,300.0,33.0,120.0,46325.0,102175.0
2016,737975.0,797725.0,241325.0,520575.0,160750.0,519575.0,33.0,300.0,33.0,120.0,48050.0,68300.0
2017,659475.0,843550.0,241500.0,531750.0,180800.0,521875.0,33.0,300.0,33.0,120.0,50350.0,41675.0
2018,598450.0,876900.0,236350.0,542175.0,197625.0,523175.0,33.0,300.0,33.0,120.0,50650.0,23075.0
2019,562350.0,898325.0,233225.0,548425.0,206275.0,525300.0,33.0,300.0,33.0,120.0,49550.0,11225.0
2020,543050.0,907300.0,231250.0,555500.0,210625.0,528825.0,33.0,300.0,33.0,120.0,48600.0,7250.0
2021,532900.0,911100.0,229300.0,560925.0,213475.0,531650.0,33.0,300.0,33.0,120.0,47100.0,4825.0
2022,524225.0,910775.0,227400.0,565950.0,215075.0,534725.0,33.0,300.0,33.0,120.0,46775.0,3875.0
2023,517200.0,909825.0,227100.0,568075.0,216725.0,536900.0,33.0,300.0,33.0,120.0,46300.0,2675.0
2024,512350.0,908925.0,214525.0,581975.0,217200.0,539725.0,33.0,300.0,33.0,120.0,37925.0,2050.0
2025,508300.0,909775.0,220675.0,579450.0,218225.0,541600.0,33.0,300.0,33.0,120.0,46175.0,2125.0
2026,503125.0,908650.0,216400.0,583175.0,218350.0,543875.0,33.0,300.0,33.0,120.0,47550.0,1425.0
2027,500500.0,871250.0,214050.0,589275.0,218675.0,545800.0,33.0,300.0,33.0,120.0,44200.0,1125.0
2028,497950.0,908275.0,161825.0,642750.0,219350.0,548175.0,33.0,300.0,33.0,120.0,11950.0,750.0
2029,493900.0,906525.0,207325.0,599050.0,219850.0,550350.0,33.0,300.0,33.0,120.0,46250.0,625.0
2015,785375.0,793475.0,238575.0,502750.0,139450.0,522600.0,33.0,300.0,33.0,120.0,48350.0,56875.0
2016,607700.0,874350.0,239000.0,521525.0,162375.0,521350.0,33.0,300.0,33.0,120.0,49500.0,25600.0
2017,581000.0,922775.0,237625.0,534675.0,179650.0,523675.0,33.0,300.0,33.0,120.0,50700.0,7075.0
2018,550625.0,934175.0,237925.0,541550.0,190250.0,525325.0,33.0,300.0,33.0,120.0,49050.0,2700.0
2019,536025.0,933550.0,232450.0,534850.0,196275.0,525450.0,33.0,300.0,33.0,120.0,47550.0,1825.0
2020,527000.0,778150.0,230050.0,556825.0,200175.0,528900.0,33.0,300.0,33.0,120.0,48225.0,1075.0
2021,519000.0,933125.0,229475.0,558275.0,203250.0,524825.0,33.0,300.0,33.0,120.0,47075.0,550.0
2022,514000.0,932925.0,226225.0,564925.0,204900.0,534350.0,33.0,300.0,33.0,120.0,47025.0,525.0
2023,509250.0,912250.0,223775.0,569000.0,206575.0,537625.0,33.0,300.0,33.0,120.0,46525.0,300.0
2024,506000.0,926775.0,212850.0,582350.0,207525.0,540575.0,33.0,300.0,33.0,120.0,38700.0,150.0
2025,502375.0,926950.0,217875.0,551425.0,208200.0,542850.0,33.0,300.0,33.0,120.0,45600.0,125.0
2026,498400.0,925200.0,215700.0,580425.0,208625.0,546175.0,33.0,300.0,33.0,120.0,45800.0,125.0
2027,496500.0,922625.0,215250.0,585200.0,209325.0,548225.0,33.0,300.0,33.0,120.0,44875.0,0.0
2028,493925.0,921950.0,163550.0,635400.0,209275.0,549750.0,33.0,300.0,33.0,120.0,10200.0,50.0
2029,492025.0,919875.0,208275.0,594625.0,210375.0,552300.0,33.0,300.0,33.0,120.0,46750.0,25.0
2015,739350.0,839050.0,240150.0,499425.0,139300.0,521825.0,33.0,300.0,33.0,120.0,45400.0,13650.0
2016,601775.0,929025.0,241825.0,518700.0,161050.0,520750.0,33.0,300.0,33.0,120.0,47950.0,3350.0
2017,558650.0,864225.0,234425.0,535175.0,172225.0,522950.0,33.0,300.0,33.0,120.0,49025.0,825.0
2018,540550.0,953275.0,231975.0,545100.0,181725.0,525250.0,33.0,300.0,33.0,120.0,48700.0,250.0
2019,529925.0,950625.0,231600.0,550900.0,187575.0,526500.0,33.0,300.0,33.0,120.0,49725.0,50.0
2020,520350.0,949125.0,228050.0,557150.0,191750.0,529425.0,33.0,300.0,33.0,120.0,48550.0,25.0
2021,516100.0,946650.0,228675.0,558525.0,194750.0,531500.0,33.0,300.0,33.0,120.0,47500.0,50.0
2022,511775.0,945900.0,223875.0,566225.0,197025.0,533750.0,33.0,300.0,33.0,120.0,46825.0,0.0
2023,507725.0,942850.0,221775.0,570450.0,198775.0,535175.0,33.0,300.0,33.0,120.0,45450.0,0.0
2024,504175.0,922075.0,209450.0,579875.0,199775.0,537400.0,33.0,300.0,33.0,120.0,40100.0,0.0
2025,502300.0,938975.0,217175.0,578275.0,200725.0,541175.0,33.0,300.0,33.0,120.0,45400.0,0.0
2026,498125.0,937175.0,215425.0,577850.0,201725.0,542350.0,33.0,300.0,33.0,120.0,45150.0,0.0
2027,497100.0,935475.0,203200.0,586575.0,202525.0,545450.0,33.0,300.0,33.0,120.0,44125.0,0.0
2028,494550.0,932100.0,159825.0,638275.0,203000.0,546425.0,33.0,300.0,33.0,120.0,10675.0,0.0
2029,492100.0,932100.0,205450.0,593550.0,203975.0,549375.0,33.0,300.0,33.0,120.0,45200.0,0.0
2015,826825.0,648200.0,275850.0,464975.0,139350.0,521675.0,33.0,300.0,33.0,120.0,11675.0,98750.0
2016,738950.0,795675.0,285800.0,474275.0,159975.0,518925.0,33.0,300.0,33.0,120.0,11075.0,69475.0
2017,655225.0,842875.0,292825.0,477350.0,180375.0,521575.0,33.0,300.0,33.0,120.0,10575.0,42425.0
2018,597850.0,881500.0,296100.0,481525.0,196700.0,333200.0,33.0,300.0,33.0,120.0,10300.0,21050.0
2019,561075.0,899875.0,294300.0,485775.0,205450.0,528000.0,33.0,300.0,33.0,120.0,9650.0,11025.0
2020,543000.0,909150.0,291025.0,492500.0,210150.0,530725.0,33.0,300.0,33.0,120.0,9175.0,6325.0
2021,533175.0,910900.0,289275.0,499425.0,212200.0,534100.0,33.0,300.0,33.0,120.0,9950.0,4900.0
2022,524775.0,911000.0,284425.0,506025.0,213525.0,536325.0,33.0,300.0,33.0,120.0,9350.0,3325.0
2023,519225.0,810500.0,282525.0,511075.0,214800.0,539100.0,33.0,300.0,33.0,120.0,9650.0,2750.0
2024,513350.0,912200.0,266500.0,528925.0,215875.0,542150.0,33.0,300.0,33.0,120.0,7650.0,2125.0
2025,509975.0,910500.0,275400.0,521300.0,216500.0,543700.0,33.0,300.0,33.0,120.0,9975.0,1600.0
2026,506150.0,911575.0,271200.0,527500.0,216725.0,545800.0,33.0,300.0,33.0,120.0,8800.0,1425.0
2027,502300.0,909650.0,267800.0,530750.0,217375.0,548100.0,33.0,300.0,33.0,120.0,9400.0,1125.0
2028,499450.0,909300.0,204325.0,594850.0,217675.0,549875.0,33.0,300.0,33.0,120.0,2325.0,725.0
2029,496800.0,908625.0,256400.0,544700.0,217875.0,552400.0,33.0,300.0,33.0,120.0,10400.0,850.0
2015,783925.0,790300.0,274500.0,466600.0,139325.0,521525.0,33.0,300.0,33.0,120.0,11700.0,57575.0
2016,660350.0,874750.0,287125.0,474325.0,162800.0,522475.0,33.0,300.0,33.0,120.0,11850.0,27450.0
2017,582400.0,921025.0,290675.0,480425.0,179850.0,523550.0,33.0,300.0,33.0,120.0,10475.0,8075.0
2018,552250.0,929275.0,294175.0,483575.0,189800.0,526750.0,33.0,300.0,33.0,120.0,11050.0,3150.0
2019,536750.0,936500.0,293625.0,487275.0,196375.0,528225.0,33.0,300.0,33.0,120.0,9750.0,1800.0
2020,528475.0,935800.0,292975.0,489975.0,201050.0,530625.0,33.0,300.0,33.0,120.0,9675.0,975.0
2021,421400.0,933050.0,289875.0,495050.0,203750.0,531025.0,33.0,300.0,33.0,120.0,8225.0,725.0
2022,516275.0,930875.0,285200.0,503325.0,206050.0,535750.0,33.0,300.0,33.0,120.0,9550.0,525.0
2023,511325.0,929125.0,283350.0,507175.0,207650.0,538900.0,33.0,300.0,33.0,120.0,8800.0,350.0
2024,507500.0,858250.0,264925.0,526300.0,209150.0,540700.0,33.0,300.0,33.0,120.0,6825.0,175.0
2025,503850.0,926575.0,275175.0,382850.0,210000.0,543675.0,33.0,300.0,33.0,120.0,8600.0,175.0
2026,501550.0,925650.0,274100.0,519800.0,210775.0,544925.0,33.0,300.0,33.0,120.0,9125.0,75.0
2027,498675.0,923800.0,268650.0,527300.0,211275.0,547450.0,33.0,300.0,33.0,120.0,9175.0,50.0
2028,456225.0,922400.0,206000.0,591725.0,211575.0,550000.0,33.0,300.0,33.0,120.0,1950.0,0.0
2029,493325.0,919500.0,258900.0,540550.0,212200.0,551800.0,33.0,300.0,33.0,120.0,9500.0,50.0
