Tram,Thang,doman2016
An Lac Tay,1,4.8
An Lac Tay,2,7.9
An Lac Tay,3,8
An Lac Tay,4,2.1
An Lac Tay,5,0.7
An Lac Tay,6,0
Dai Ngai,1,9.5
Dai Ngai,2,13.7
Dai Ngai,3,13.8
Dai Ngai,4,7.4
Dai Ngai,5,5.3
Dai Ngai,6,5.4
Long Phu,1,18.6
Long Phu,2,20.4
Long Phu,3,23.1
Long Phu,4,17.2
Long Phu,5,17.5
Long Phu,6,9.5
Tran De,1,23.8
Tran De,2,27.3
Tran De,3,27.4
Tran De,4,23.4
Tran De,5,22.5
Tran De,6,15.9
Thanh Phu,1,4.9
Thanh Phu,2,8.4
Thanh Phu,3,11.4
Thanh Phu,4,12.5
Thanh Phu,5,13.5
Thanh Phu,6,2.4
Tp Soc Trang,1,6.9
Tp Soc Trang,2,1.9
Tp Soc Trang,3,9
Tp Soc Trang,4,6.8
Tp Soc Trang,5,5
Tp Soc Trang,6,2.3
Nga Nam,1,4.1
Nga Nam,2,8
Nga Nam,3,14.7
Nga Nam,4,23.1
Nga Nam,5,23.2
Nga Nam,6,5.2
